energy_ev,total_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,2.83360325,1.62008862,1.28816302,0.03806207,0.90549474,0.43908805,0.00000000
-5.99399700,2.77468823,1.58399131,1.26878644,0.03732482,0.87298459,0.44061184,0.00000000
-5.98799400,2.71407298,1.54854360,1.24816973,0.03653107,0.84042822,0.44157339,0.00000000
-5.98199100,2.65272190,1.51413234,1.22673087,0.03569619,0.80829981,0.44199621,0.00000000
-5.97598799,2.59166938,1.48118756,1.20491603,0.03483805,0.77708324,0.44192145,0.00000000
-5.96998499,2.53199482,1.45016826,1.18319050,0.03397655,0.74725862,0.44140850,0.00000000
-5.96398199,2.47479559,1.42154689,1.16202886,0.03313310,0.71928867,0.44053486,0.00000000
-5.95797899,2.42115851,1.39579313,1.14190437,0.03232999,0.69360553,0.43939524,0.00000000
-5.95197599,2.37213093,1.37335785,1.12327816,0.03158966,0.67059847,0.43810006,0.00000000
-5.94597299,2.32869204,1.35465768,1.10658813,0.03093394,0.65060272,0.43677305,0.00000000
-5.93996998,2.29172537,1.34006096,1.09223798,0.03038324,0.63388995,0.43554831,0.00000000
-5.93396698,2.26199293,1.32987512,1.08058657,0.02995574,0.62066037,0.43456666,0.00000000
-5.92796398,2.24011173,1.32433589,1.07193783,0.02966671,0.61103675,0.43397158,0.00000000
-5.92196098,2.22653325,1.32359847,1.06653138,0.02952774,0.60506040,0.43390462,0.00000000
-5.91595798,2.22152629,1.32773060,1.06453432,0.02954623,0.60268919,0.43450064,0.00000000
-5.90995498,2.22516371,1.33670751,1.06603425,0.02972489,0.60379753,0.43588291,0.00000000
-5.90395198,2.23731359,1.35040882,1.07103389,0.03006148,0.60817834,0.43815822,0.00000000
-5.89794897,2.25763502,1.36861728,1.07944761,0.03054867,0.61554696,0.44141234,0.00000000
-5.89194597,2.28557912,1.39101924,1.09110003,0.03117413,0.62554689,0.44570585,0.00000000
-5.88594297,2.32039549,1.41720709,1.10572700,0.03192076,0.63775735,0.45107056,0.00000000
-5.87993997,2.36114425,1.44668358,1.12297916,0.03276715,0.65170252,0.45750687,0.00000000
-5.87393697,2.40671388,1.47886811,1.14242816,0.03368817,0.66686226,0.46498194,0.00000000
