energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,2.94151423,0.00851078,0.39446734,0.68435699,0.46695517,0.70034235,0.99203630,0.02979272,1.32454780
-5.99399700,3.06284276,0.00948274,0.41197055,0.72207954,0.48323263,0.74392646,1.03435900,0.02954940,1.38170221
-5.98799400,3.17891003,0.01052143,0.42872554,0.75939405,0.49872669,0.78764954,1.07432551,0.02914990,1.43693407
-5.98199100,3.28825901,0.01162002,0.44447063,0.79590285,0.51329921,0.83101371,1.11132877,0.02860416,1.48963079
-5.97598799,3.38954254,0.01277010,0.45895588,0.83122202,0.52682709,0.87351525,1.14480495,0.02792471,1.53922424
-5.96998499,3.48154307,0.01396168,0.47194771,0.86498671,0.53920275,0.91465224,1.17424470,0.02712618,1.58519784
-5.96398199,3.56319047,0.01518325,0.48323366,0.89685604,0.55033436,0.95393279,1.19920380,0.02622475,1.62709252
-5.95797899,3.63357767,0.01642194,0.49262696,0.92651760,0.56014591,0.99088361,1.21931289,0.02523763,1.66451185
-5.95197599,3.69197433,0.01766364,0.49997096,0.95369158,0.56857729,1.02505893,1.23428600,0.02418254,1.69712625
-5.94597299,3.73783810,0.01889327,0.50514317,0.97813454,0.57558439,1.05604939,1.24392756,0.02307712,1.72467654
-5.93996998,3.77082357,0.02009501,0.50805867,0.99964288,0.58113924,1.08349084,1.24813754,0.02193856,1.74697685
-5.93396698,3.79078846,0.02125267,0.50867281,1.01805586,0.58523036,1.10707262,1.24691461,0.02078315,1.76391691
-5.92796398,3.79779691,0.02234996,0.50698306,1.03325837,0.58786301,1.12654524,1.24035702,0.01962597,1.77546371
-5.92196098,3.79211955,0.02337092,0.50302982,1.04518307,0.58905965,1.14172693,1.22866106,0.01848068,1.78166235
-5.91595798,3.77422981,0.02430025,0.49689608,1.05381199,0.58886018,1.15250897,1.21211714,0.01735932,1.78263598
-5.90995498,3.74479645,0.02512369,0.48870608,1.05917736,0.58732211,1.15885946,1.19110331,0.01627230,1.77858459
-5.90395198,3.70467178,0.02582839,0.47862271,1.06136149,0.58452040,1.16082533,1.16607664,0.01522831,1.76978242
-5.89794897,3.65487553,0.02640320,0.46684392,1.06049562,0.58054693,1.15853233,1.13756225,0.01423446,1.75657369
-5.89194597,3.59657421,0.02683897,0.45359815,1.05675737,0.57550940,1.15218303,1.10614070,0.01329630,1.73936649
-5.88594297,3.53105625,0.02712880,0.43913887,1.05036698,0.56952976,1.14205268,1.07243364,0.01241803,1.71862476
-5.87993997,3.45970302,0.02726818,0.42373857,1.04158198,0.56274192,1.12848306,1.03708858,0.01160258,1.69485805
-5.87393697,3.38395651,0.02725512,0.40768227,1.03069053,0.55528885,1.11187438,1.00076285,0.01085181,1.66860952
-5.86793397,3.30528427,0.02709020,0.39126078,1.01800340,0.54731907,1.09267554,0.96410751,0.01016666,1.64044196
-5.86193097,3.22514264,0.02677652,0.37476400,1.00384486,0.53898269,1.07137296,0.92775159,0.00954728,1.61092259
-5.85592796,3.14493952,0.02631963,0.35847443,0.98854274,0.53042703,1.04847842,0.89228718,0.00899316,1.58060679
-5.84992496,3.06599788,0.02572734,0.34266113,0.97241810,0.52179203,1.02451631,0.85825592,0.00850322,1.55002161
-5.84392196,2.98952143,0.02500953,0.32757422,0.95577485,0.51320577,1.00001069,0.82613715,0.00807592,1.51964967
-5.83791896,2.91656387,0.02417789,0.31344018,0.93888998,0.50478017,0.97547265,0.79633827,0.00770930,1.48991422
-5.83191596,2.84800297,0.02324557,0.30045791,0.92200473,0.49660715,0.95138846,0.76918748,0.00740100,1.46116609
-5.82591296,2.78452070,0.02222687,0.28879575,0.90531727,0.48875556,0.92820876,0.74492909,0.00714834,1.43367339
-5.81990995,2.72659028,0.02113690,0.27858941,0.88897736,0.48126898,0.90633929,0.72372153,0.00694829,1.40761433
-5.81390695,2.67447071,0.01999116,0.26994077,0.87308314,0.47416456,0.88613332,0.70563802,0.00679754,1.38307384
-5.80790395,2.62820917,0.01880526,0.26291754,0.85768054,0.46743302,0.86788593,0.69066977,0.00669243,1.36004420
-5.80190095,2.58765108,0.01759450,0.25755374,0.84276503,0.46103988,0.85183036,0.67873151,0.00662907,1.33842965
-5.79589795,2.55245735,0.01637361,0.25385078,0.82828599,0.45492780,0.83813616,0.66966906,0.00660327,1.31805492
-5.78989495,2.52212789,0.01515645,0.25177921,0.81415323,0.44902000,0.82690927,0.66326850,0.00661067,1.29867726
-5.78389195,2.49603033,0.01395577,0.25128085,0.80024532,0.44322462,0.81819372,0.65926659,0.00664669,1.28000130
-5.77788894,2.47343246,0.01278300,0.25227132,0.78641946,0.43743973,0.81197467,0.65736196,0.00670668,1.26169602
-5.77188594,2.45353672,0.01164817,0.25464282,0.77252200,0.43155881,0.80818265,0.65722663,0.00678591,1.24341296
-5.76588294,2.43551529,0.01055974,0.25826712,0.75839931,0.42547631,0.80669851,0.65851737,0.00687971,1.22480468
-5.75987994,2.41854400,0.00952463,0.26299858,0.74390824,0.41909323,0.80735901,0.66088655,0.00698351,1.20554242
-5.75387694,2.40183365,0.00854819,0.26867735,0.72892555,0.41232209,0.80996260,0.66399214,0.00709294,1.18533230
-5.74787394,2.38465756,0.00763423,0.27513257,0.71335597,0.40509145,0.81427540,0.66750656,0.00720398,1.16392897
-5.74187094,2.36637430,0.00678515,0.28218555,0.69713839,0.39734942,0.82003700,0.67112419,0.00731296,1.14114638
-5.73586793,2.34644504,0.00600206,0.28965307,0.68024990,0.38906628,0.82696620,0.67456751,0.00741673,1.11686504
-5.72986493,2.32444529,0.00528484,0.29735070,0.66270762,0.38023593,0.83476665,0.67759173,0.00751275,1.09103576
-5.72386193,2.30007105,0.00463241,0.30509613,0.64456836,0.37087633,0.84313236,0.67998806,0.00759914,1.06367973
-5.71785893,2.27313985,0.00404281,0.31271262,0.62592617,0.36102881,0.85175321,0.68158573,0.00767481,1.03488538
-5.71185593,2.24358741,0.00351337,0.32003245,0.60690817,0.35075654,0.86032069,0.68225284,0.00773951,1.00480231
-5.70585293,2.21146057,0.00304094,0.32690041,0.58766897,0.34014214,0.86853371,0.68189632,0.00779391,0.97363288
-5.69984992,2.17690780,0.00262197,0.33317730,0.56838411,0.32928472,0.87610497,0.68046117,0.00783964,0.94162224
-5.69384692,2.14016788,0.00225269,0.33874324,0.54924297,0.31829654,0.88276749,0.67792911,0.00787934,0.90904741
-5.68784392,2.10155807,0.00192923,0.34350096,0.53044169,0.30729946,0.88828171,0.67431692,0.00791668,0.87620616
