energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.69755788,0.64988835,0.33434273,0.00415065,0.44659449,1.45607796,0.77630944,0.01999617,1.03431752
-5.99399700,2.64266362,0.65149137,0.32684946,0.00377175,0.43000227,1.41884427,0.75823566,0.01868941,1.02487280
-5.98799400,2.59360099,0.65370888,0.31965113,0.00343111,0.41432397,1.38786633,0.74146978,0.01745603,1.01737758
-5.98199100,2.55095257,0.65663907,0.31283885,0.00313040,0.39962063,1.36325588,0.72618456,0.01630270,1.01209615
-5.97598799,2.51519100,0.66036734,0.30649099,0.00287057,0.38594071,1.34502873,0.71253318,0.01523391,1.00924765
-5.96998499,2.48667107,0.66496247,0.30067249,0.00265183,0.37332147,1.33310613,0.70064689,0.01425209,1.00899925
-5.96398199,2.46562185,0.67047260,0.29543438,0.00247373,0.36179016,1.32731680,0.69063223,0.01335779,1.01145944
-5.95797899,2.45213904,0.67692119,0.29081318,0.00233520,0.35136522,1.32739989,0.68256785,0.01254993,1.01667189
-5.95197599,2.44617828,0.68430326,0.28683049,0.00223462,0.34205732,1.33300913,0.67650130,0.01182604,1.02460991
-5.94597299,2.44755011,0.69258203,0.28349263,0.00216991,0.33387029,1.34371830,0.67244585,0.01118248,1.03517236
-5.93996998,2.45591727,0.70168649,0.28079048,0.00213857,0.32680200,1.35902832,0.67037784,0.01061477,1.04818101
-5.93396698,2.47079543,0.71150998,0.27869955,0.00213775,0.32084521,1.37837606,0.67023476,0.01011773,1.06338017
-5.92796398,2.49155792,0.72191013,0.27718041,0.00216437,0.31598840,1.40114511,0.67191437,0.00968580,1.08043867
-5.92196098,2.51744530,0.73271034,0.27617955,0.00221512,0.31221663,1.42667824,0.67527525,0.00931315,1.09895474
-5.91595798,2.54757999,0.74370291,0.27563071,0.00228662,0.30951243,1.45429166,0.68013884,0.00899391,1.11846372
-5.90995498,2.58098640,0.75465382,0.27545679,0.00237538,0.30785674,1.48329066,0.68629325,0.00872228,1.13844885
-5.90395198,2.61661598,0.76530913,0.27557227,0.00247799,0.30722989,1.51298627,0.69349871,0.00849265,1.15835475
-5.89794897,2.65337703,0.77540283,0.27588618,0.00259106,0.30761253,1.54271245,0.70149470,0.00829971,1.17760356
-5.89194597,2.69016804,0.78466576,0.27630558,0.00271138,0.30898656,1.57184309,0.71000843,0.00813847,1.19561290
-5.88594297,2.72591362,0.79283540,0.27673934,0.00283589,0.31133586,1.59980832,0.71876440,0.00800438,1.21181525
-5.87993997,2.75960127,0.79966595,0.27710220,0.00296181,0.31464686,1.62610923,0.72749469,0.00789330,1.22567789
-5.87393697,2.79031757,0.80493830,0.27731891,0.00308661,0.31890884,1.65033052,0.73594938,0.00780152,1.23672252
-5.86793397,2.81728197,0.80846937,0.27732821,0.00320808,0.32411387,1.67215031,0.74390659,0.00772584,1.24454368
-5.86193097,2.83987648,0.81012040,0.27708656,0.00332435,0.33025637,1.69134673,0.75118176,0.00766346,1.24882515
-5.85592796,2.85766978,0.80980372,0.27657137,0.00343392,0.33733229,1.70780097,0.75763543,0.00761206,1.24935346
-5.84992496,2.87043448,0.80748761,0.27578351,0.00353562,0.34533790,1.72149647,0.76317931,0.00756974,1.24602787
-5.84392196,2.87815648,0.80319905,0.27474912,0.00362865,0.35426819,1.73251447,0.76778017,0.00753500,1.23886636
-5.83791896,2.88103598,0.79702429,0.27352035,0.00371257,0.36411503,1.74102601,0.77146131,0.00750673,1.22800717
-5.83191596,2.87947998,0.78910691,0.27217522,0.00378724,0.37486516,1.74728074,0.77430156,0.00748416,1.21370589
-5.82591296,2.87408642,0.77964383,0.27081632,0.00385283,0.38649804,1.75159324,0.77643188,0.00746682,1.19632817
-5.81990995,2.86562088,0.76887915,0.26956852,0.00390976,0.39898389,1.75432729,0.77802952,0.00745451,1.17633830
-5.81390695,2.85498664,0.75709625,0.26857569,0.00395869,0.41228186,1.75587896,0.77931023,0.00744726,1.15428413
-5.80790395,2.84318952,0.74460844,0.26799649,0.00400043,0.42633856,1.75665923,0.78051878,0.00744527,1.13077906
-5.80190095,2.83129899,0.73174858,0.26799932,0.00403594,0.44108701,1.75707679,0.78191819,0.00744887,1.10648168
-5.79589795,2.82040706,0.71885810,0.26875675,0.00406628,0.45644619,1.75752174,0.78377825,0.00745847,1.08207390
-5.78989495,2.81158670,0.70627575,0.27043933,0.00409253,0.47232104,1.75835081,0.78636369,0.00747450,1.05823851
-5.78389195,2.80585114,0.69432666,0.27320919,0.00411579,0.48860316,1.75987430,0.78992263,0.00749743,1.03563678
-5.77788894,2.80411560,0.68331194,0.27721362,0.00413710,0.50517194,1.76234543,0.79467559,0.00752763,1.01488710
-5.77188594,2.80716267,0.67349914,0.28257867,0.00415746,0.52189629,1.76595186,0.80080568,0.00756542,0.99654510
-5.76588294,2.81561235,0.66511400,0.28940316,0.00417771,0.53863666,1.77080977,0.80845001,0.00761099,0.98108614
-5.75987994,2.82989759,0.65833355,0.29775324,0.00419859,0.55524744,1.77696041,0.81769286,0.00766439,0.96889044
-5.75387694,2.85024599,0.65328086,0.30765775,0.00422064,0.57157947,1.78436887,0.82856069,0.00772552,0.96023144
-5.74787394,2.87666811,0.65002142,0.31910448,0.00424425,0.58748265,1.79292519,0.84101909,0.00779408,0.95526753
-5.74187094,2.90895270,0.64856149,0.33203763,0.00426956,0.60280853,1.80244749,0.85497178,0.00786960,0.95403755
-5.73586793,2.94666889,0.64884815,0.34635661,0.00429651,0.61741281,1.81268715,0.87026176,0.00795142,0.95646001
-5.72986493,2.98917551,0.65077134,0.36191617,0.00432483,0.63115764,1.82333576,0.88667438,0.00803871,0.96233613
-5.72386193,3.03563726,0.65416777,0.37852820,0.00435400,0.64391386,1.83403391,0.90394249,0.00813048,0.97135665
-5.71785893,3.08504762,0.65882650,0.39596499,0.00438331,0.65556303,1.84438164,0.92175338,0.00822562,0.98311213
-5.71185593,3.13625793,0.66449641,0.41396416,0.00441184,0.66599933,1.85395048,0.93975742,0.00832293,0.99710674
-5.70585293,3.18801217,0.67089507,0.43223500,0.00443850,0.67513142,1.86229699,0.95757827,0.00842122,1.01277488
-5.69984992,3.23898669,0.67771903,0.45046625,0.00446208,0.68288424,1.86897754,0.97482422,0.00851931,1.02950047
-5.69384692,3.28783372,0.68465519,0.46833499,0.00448128,0.68920081,1.87356416,0.99110064,0.00861616,1.04663822
-5.68784392,3.33322771,0.69139291,0.48551646,0.00449475,0.69404399,1.87566094,1.00602291,0.00871093,1.06353622
-5.68184092,3.37391284,0.69763648,0.50169442,0.00450118,0.69739827,1.87492062,1.01922969,0.00880311,1.07955930
-5.67583792,3.40875024,0.70311753,0.51657174,0.00449934,0.69927148,1.87106075,1.03039593,0.00889259,1.09411210
-5.66983492,3.43676307,0.70760687,0.52988070,0.00448815,0.69969627,1.86387865,1.03924522,0.00897974,1.10666128
-5.66383192,3.45717763,0.71092523,0.54139275,0.00446674,0.69873138,1.85326450,1.04556099,0.00906556,1.11675580
-5.65782891,3.46945868,0.71295251,0.55092706,0.00443450,0.69646246,1.83921175,1.04919617,0.00915168,1.12404459
-5.65182591,3.47333719,0.71363484,0.55835773,0.00439117,0.69300234,1.82182417,1.05008062,0.00924046,1.12829065
-5.64582291,3.46882901,0.71298930,0.56361904,0.00433682,0.68849049,1.80131882,1.04822627,0.00933501,1.12938112
-5.63981991,3.45624318,0.71110570,0.56670867,0.00427190,0.68309174,1.77802451,1.04372940,0.00943916,1.12733260
-5.63381691,3.43617909,0.70814542,0.56768857,0.00419727,0.67699391,1.75237545,1.03676994,0.00955746,1.12229151
-5.62781391,3.40951210,0.70433703,0.56668340,0.00411412,0.67040457,1.72490006,1.02760770,0.00969505,1.11452927
-5.62181091,3.37736779,0.69996884,0.56387658,0.00402405,0.66354667,1.69620508,1.01657555,0.00985756,1.10443242
-5.61580790,3.34108565,0.69537864,0.55950400,0.00392890,0.65665329,1.66695563,1.00406979,0.01005093,1.09248804
-5.60980490,3.30217337,0.69094081,0.55384567,0.00383079,0.64996167,1.63785188,0.99053790,0.01028121,1.07926493
-5.60380190,3.26225360,0.68705149,0.54721567,0.00373197,0.64370654,1.60960331,0.97646433,0.01055434,1.06539147
-5.59779890,3.22300535,0.68411236,0.53995066,0.00363477,0.63811327,1.58290189,0.96235462,0.01087586,1.05153094
-5.59179590,3.18610257,0.68251364,0.53239765,0.00354151,0.63339095,1.55839530,0.94871877,0.01125066,1.03835544
-5.58579290,3.15315261,0.68261724,0.52490130,0.00345438,0.62972581,1.53666171,0.93605439,0.01168269,1.02651966
-5.57978989,3.12563733,0.68474075,0.51779151,0.00337534,0.62727538,1.51818725,0.92483032,0.01217471,1.01663539
-5.57378689,3.10485954,0.68914299,0.51137165,0.00330608,0.62616361,1.50334754,0.91547158,0.01272808,1.00924822
-5.56778389,3.09189713,0.69601191,0.50590804,0.00324789,0.62647724,1.49239415,0.90834611,0.01334253,1.00481719
-5.56178089,3.08756699,0.70545529,0.50162103,0.00320166,0.62826375,1.48544667,0.90375391,0.01401605,1.00369848
-5.55577789,3.09240023,0.71749481,0.49867808,0.00316777,0.63153089,1.48249099,0.90191907,0.01474480,1.00613354
-5.54977489,3.10662961,0.73206368,0.49718906,0.00314614,0.63624791,1.48338364,0.90298485,0.01552313,1.01224241
-5.54377189,3.13018958,0.74900800,0.49720398,0.00313615,0.64234848,1.48786209,0.90701195,0.01634366,1.02202220
-5.53776888,3.16272857,0.76809171,0.49871303,0.00313676,0.64973496,1.49556027,0.91398010,0.01719741,1.03535066
-5.53176588,3.20363258,0.78900495,0.50164910,0.00314648,0.65828411,1.50602851,0.92379247,0.01807407,1.05199464
-5.52576288,3.25205860,0.81137532,0.50589233,0.00316345,0.66785355,1.51875671,0.93628285,0.01896223,1.07162281
-5.51975988,3.30697583,0.83478156,0.51127660,0.00318553,0.67828886,1.53319942,0.95122497,0.01984980,1.09382178
-5.51375688,3.36721247,0.85876893,0.51759751,0.00321039,0.68943076,1.54880142,0.96834338,0.02072434,1.11811492
-5.50775388,3.43150541,0.88286557,0.52462151,0.00323558,0.70112203,1.56502246,0.98732541,0.02157346,1.14398271
-5.50175088,3.49855032,0.90659909,0.53209565,0.00325867,0.71321364,1.58135978,1.00783348,0.02238526,1.17088371
-5.49574787,3.56704971,0.92951254,0.53975754,0.00327731,0.72556994,1.59736725,1.02951710,0.02314865,1.19827501
-5.48974487,3.63575648,0.95117919,0.54734514,0.00328935,0.73807228,1.61267022,1.05202408,0.02385371,1.22563129
-5.48374187,3.70351128,0.97121541,0.55460588,0.00329292,0.75062127,1.62697552,1.07501041,0.02449195,1.25246171
-5.47773887,3.76927217,0.98929117,0.56130480,0.00328648,0.76313721,1.64007609,1.09814847,0.02505652,1.27832397
-5.47173587,3.83213568,1.00513783,0.56723147,0.00326890,0.77555895,1.65185047,1.12113332,0.02554232,1.30283497
