energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.86116102,0.00257703,0.03675573,0.62096284,0.36089592,0.00984358,1.16001908,0.37477530,0.11038545
-5.99399700,1.95250893,0.00279215,0.03753122,0.65469535,0.37949462,0.01052477,1.21918710,0.39101695,0.11553772
-5.98799400,2.04346925,0.00302575,0.03821471,0.68818438,0.39828020,0.01122955,1.27820929,0.40735587,0.12055827
-5.98199100,2.13347359,0.00327857,0.03879814,0.72113668,0.41716467,0.01195890,1.33672972,0.42367928,0.12541103
-5.97598799,2.22201926,0.00355138,0.03927630,0.75328033,0.43606676,0.01271442,1.39443199,0.43987990,0.13006550
-5.96998499,2.30867258,0.00384488,0.03964690,0.78436856,0.45491227,0.01349823,1.45104120,0.45585654,0.13449702
-5.96398199,2.39306842,0.00415964,0.03991047,0.81418238,0.47363392,0.01431288,1.50632366,0.47151440,0.13868673
-5.95797899,2.47490597,0.00449598,0.04007014,0.84253198,0.49217068,0.01516110,1.56008415,0.48676499,0.14262119
-5.95197599,2.55394076,0.00485391,0.04013133,0.86925698,0.51046641,0.01604560,1.61216092,0.50152568,0.14629190
-5.94597299,2.62997342,0.00523301,0.04010134,0.89422547,0.52846804,0.01696879,1.66241865,0.51571891,0.14969436
-5.93996998,2.70283580,0.00563237,0.03998887,0.91733201,0.54612329,0.01793250,1.71073980,0.52927120,0.15282713
-5.93396698,2.77237545,0.00605057,0.03980350,0.93849484,0.56337813,0.01893764,1.75701496,0.54211193,0.15569072
-5.92796398,2.83843941,0.00648558,0.03955511,0.95765251,0.58017416,0.01998392,1.80113290,0.55417216,0.15828634
-5.92196098,2.90085871,0.00693478,0.03925341,0.97476030,0.59644606,0.02106953,1.84297096,0.56538352,0.16061486
-5.91595798,2.95943455,0.00739496,0.03890740,0.98978662,0.61211951,0.02219093,1.88238668,0.57567735,0.16267569
-5.90995498,3.01392761,0.00786236,0.03852500,1.00270983,0.62710962,0.02334263,1.91921141,0.58498429,0.16446603
-5.90395198,3.06405127,0.00833275,0.03811270,1.01351571,0.64132026,0.02451705,1.95324639,0.59323435,0.16598019
-5.89794897,3.10946975,0.00880150,0.03767537,1.02219574,0.65464432,0.02570453,1.98426197,0.60035751,0.16720936
-5.89194597,3.14980162,0.00926371,0.03721614,1.02874645,0.66696512,0.02689337,2.01200018,0.60628505,0.16814164
-5.88594297,3.18462874,0.00971437,0.03673652,1.03316979,0.67815892,0.02806997,2.03618082,0.61095145,0.16876235
-5.87993997,3.21351071,0.01014849,0.03623646,1.03547461,0.68809864,0.02921909,2.05651087,0.61429684,0.16905481
-5.87393697,3.23600402,0.01056128,0.03571472,1.03567912,0.69665851,0.03032426,2.07269692,0.61626995,0.16900126
-5.86793397,3.25168509,0.01094830,0.03516915,1.03381409,0.70371961,0.03136816,2.08446001,0.61683136,0.16858407
-5.86193097,3.26017609,0.01130565,0.03459719,1.02992658,0.70917591,0.03233313,2.09155211,0.61595686,0.16778718
-5.85592796,3.26117182,0.01163008,0.03399632,1.02408396,0.71294061,0.03320180,2.09377336,0.61364075,0.16659753
-5.84992496,3.25446644,0.01191915,0.03336453,1.01637774,0.71495225,0.03395759,2.09098900,0.60989879,0.16500653
-5.84392196,3.23997793,0.01217128,0.03270078,1.00692699,0.71518037,0.03458532,2.08314492,0.60477075,0.16301143
-5.83791896,3.21776909,0.01238584,0.03200546,0.99588099,0.71363022,0.03507181,2.07028097,0.59832206,0.16061651
-5.83191596,3.18806324,0.01256313,0.03128064,0.98342074,0.71034619,0.03540629,2.05254083,0.59064470,0.15783399
-5.82591296,3.15125356,0.01270438,0.03053036,0.96975919,0.70541370,0.03558091,2.03017795,0.58185703,0.15468466
-5.81990995,3.10790515,0.01281167,0.02976073,0.95513987,0.69895920,0.03559095,2.00355669,0.57210245,0.15119809
-5.81390695,3.05874904,0.01288782,0.02897991,0.93983398,0.69114830,0.03543513,1.97314850,0.56154705,0.14741246
-5.80790395,3.00466831,0.01293625,0.02819794,0.92413576,0.68218191,0.03511558,1.93952304,0.55037601,0.14337398
-5.80190095,2.94667633,0.01296077,0.02742652,0.90835637,0.67229040,0.03463783,1.90333423,0.53878915,0.13913593
-5.79589795,2.88588805,0.01296544,0.02667855,0.89281631,0.66172618,0.03401061,1.86530207,0.52699553,0.13475728
-5.78989495,2.82348547,0.01295432,0.02596771,0.87783676,0.65075483,0.03324551,1.82619050,0.51520743,0.13030113
-5.78389195,2.76067866,0.01293127,0.02530784,0.86373009,0.63964521,0.03235659,1.78678267,0.50363398,0.12583278
-5.77788894,2.69866423,0.01289976,0.02471235,0.85079000,0.62865909,0.03135985,1.74785439,0.49247459,0.12141778
-5.77188594,2.63858320,0.01286271,0.02419359,0.83928167,0.61804079,0.03027272,1.71014730,0.48191260,0.11711981
-5.76588294,2.58148027,0.01282229,0.02376221,0.82943246,0.60800728,0.02911341,1.67434281,0.47210934,0.11299867
-5.75987994,2.52826650,0.01277987,0.02342663,0.82142356,0.59873942,0.02790034,1.64103822,0.46319901,0.10910840
-5.75387694,2.47968738,0.01273593,0.02319248,0.81538314,0.59037469,0.02665161,1.61072619,0.45528448,0.10549556
-5.74787394,2.43629778,0.01269005,0.02306224,0.81138128,0.58300185,0.02538439,1.58377862,0.44843429,0.10219790
-5.74187094,2.39844512,0.01264092,0.02303496,0.80942708,0.57665787,0.02411456,1.56043567,0.44268109,0.09924327
-5.73586793,2.36626172,0.01258647,0.02310612,0.80946811,0.57132732,0.02285630,1.54080056,0.43802145,0.09664903
-5.72986493,2.33966648,0.01252394,0.02326762,0.81139245,0.56694413,0.02162181,1.52484044,0.43441722,0.09442185
-5.72386193,2.31837608,0.01245007,0.02350799,0.81503309,0.56339584,0.02042120,1.51239310,0.43179822,0.09255786
-5.71785893,2.30192474,0.01236129,0.02381268,0.82017472,0.56053000,0.01926236,1.50317932,0.43006630,0.09104333
-5.71185593,2.28969176,0.01225389,0.02416450,0.82656245,0.55816237,0.01815106,1.49682001,0.42910049,0.08985566
-5.70585293,2.28093507,0.01212431,0.02454422,0.83391225,0.55608649,0.01709102,1.49285731,0.42876291,0.08896461
-5.69984992,2.27482911,0.01196925,0.02493122,0.84192239,0.55408418,0.01608412,1.49077840,0.42890529,0.08833389
-5.69384692,2.27050483,0.01178595,0.02530419,0.85028534,0.55193624,0.01513065,1.49004061,0.42937559,0.08792282
-5.68784392,2.26708980,0.01157230,0.02564194,0.85869966,0.54943289,0.01422958,1.49009670,0.43002453,0.08768808
-5.68184092,2.26374614,0.01132701,0.02592414,0.86688089,0.54638342,0.01337887,1.49041867,0.43071152,0.08758542
-5.67583792,2.25970441,0.01104969,0.02613201,0.87457125,0.54262440,0.01257575,1.49051897,0.43130982,0.08757134
-5.66983492,2.25429161,0.01074089,0.02624904,0.88154727,0.53802625,0.01181702,1.48996804,0.43171057,0.08760445
-5.66383192,2.24695219,0.01040211,0.02626148,0.88762520,0.53249764,0.01109930,1.48840724,0.43182553,0.08764674
-5.65782891,2.23726098,0.01003577,0.02615883,0.89266375,0.52598782,0.01041923,1.48555675,0.43158848,0.08766448
-5.65182591,2.22492791,0.00964511,0.02593410,0.89656423,0.51848652,0.00977366,1.48121817,0.43095503,0.08762881
-5.64582291,2.20979451,0.00923405,0.02558399,0.89926810,0.51002188,0.00915978,1.47527193,0.42990127,0.08751605
-5.63981991,2.19182314,0.00880708,0.02510890,0.90075215,0.50065627,0.00857519,1.46767014,0.42842098,0.08730771
-5.63381691,2.17107979,0.00836906,0.02451273,0.90102180,0.49048066,0.00801791,1.45842540,0.42652207,0.08699022
-5.62781391,2.14771228,0.00792503,0.02380267,0.90010314,0.47960774,0.00748644,1.44759685,0.42422218,0.08655447
-5.62181091,2.12192545,0.00748006,0.02298880,0.89803410,0.46816432,0.00697966,1.43527446,0.42154398,0.08599516
-5.61580790,2.09395532,0.00703901,0.02208355,0.89485580,0.45628362,0.00649683,1.42156284,0.41851053,0.08531013
-5.60980490,2.06404422,0.00660643,0.02110124,0.89060446,0.44409771,0.00603749,1.40656593,0.41514090,0.08449961
-5.60380190,2.03241853,0.00618640,0.02005745,0.88530470,0.43173088,0.00560139,1.39037371,0.41144661,0.08356555
-5.59779890,1.99927083,0.00578238,0.01896846,0.87896474,0.41929393,0.00518846,1.37305182,0.40742889,0.08251106
-5.59179590,1.96474745,0.00539720,0.01785068,0.87157381,0.40688007,0.00479866,1.35463503,0.40307722,0.08134000
