energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,37.23523299,0.14273591,0.03628839,0.19276472,0.07369958,1.08421187,0.71713676,35.90473187
-5.99399700,37.00867121,0.13896551,0.03670021,0.18775559,0.07527033,1.07941113,0.71487095,35.65816584
-5.98799400,36.74088399,0.13522060,0.03707040,0.18270770,0.07705405,1.07317883,0.71127292,35.37139722
-5.98199100,36.43830360,0.13152168,0.03739446,0.17762123,0.07906593,1.06559302,0.70640790,35.05078406
-5.97598799,36.10819445,0.12788966,0.03766822,0.17250099,0.08131774,1.05675777,0.70036000,34.70347990
-5.96998499,35.75849025,0.12434538,0.03788796,0.16735593,0.08381720,1.04679780,0.69322776,34.33727843
-5.96398199,35.39761305,0.12090900,0.03805064,0.16219861,0.08656733,1.03585254,0.68511955,33.96044097
-5.95797899,35.03427854,0.11759942,0.03815400,0.15704442,0.08956605,1.02406999,0.67614902,33.58151066
-5.95197599,34.67729243,0.11443378,0.03819679,0.15191087,0.09280593,1.01160067,0.66643078,33.20911752
-5.94597299,34.33534223,0.11142692,0.03817889,0.14681666,0.09627410,0.99859192,0.65607660,32.85177872
-5.93996998,34.01678892,0.10859100,0.03810148,0.14178100,0.09995244,0.98518290,0.64519218,32.51769776
-5.93396698,33.72946232,0.10593520,0.03796721,0.13682274,0.10381787,0.97150034,0.63387466,32.21456648
-5.92796398,33.48046412,0.10346554,0.03778027,0.13195976,0.10784288,0.95765520,0.62221087,31.94937351
-5.92196098,33.27598171,0.10118479,0.03754650,0.12720835,0.11199622,0.94374045,0.61027640,31.72822235
-5.91595798,33.12111622,0.09909261,0.03727346,0.12258275,0.11624362,0.92982966,0.59813532,31.55616249
-5.90995498,33.01972790,0.09718559,0.03697044,0.11809478,0.12054868,0.91597671,0.58584058,31.43703678
-5.90395198,32.97430183,0.09545761,0.03664841,0.11375360,0.12487373,0.90221613,0.57343490,31.37334822
-5.89794897,32.98583739,0.09390002,0.03631998,0.10956564,0.12918070,0.88856424,0.56095203,31.36614979
-5.89194597,33.05376472,0.09250203,0.03599927,0.10553450,0.13343187,0.87502077,0.54841828,31.41496054
-5.88594297,33.17589174,0.09125104,0.03570177,0.10166112,0.13759060,0.86157080,0.53585411,31.51771182
-5.87993997,33.34838524,0.09013294,0.03544414,0.09794388,0.14162186,0.84818699,0.52327572,31.67072707
-5.87393697,33.56578931,0.08913240,0.03524400,0.09437888,0.14549268,0.83483182,0.51069654,31.86873864
-5.86793397,33.82108442,0.08823314,0.03511972,0.09096019,0.14917237,0.82145986,0.49812857,32.10494465
-5.86193097,34.10578913,0.08741815,0.03509013,0.08768024,0.15263266,0.80801997,0.48558341,32.37110802
-5.85592796,34.41010601,0.08666986,0.03517436,0.08453012,0.15584772,0.79445739,0.47307318,32.65769899
-5.84992496,34.72311166,0.08597034,0.03539154,0.08150006,0.15879398,0.78071571,0.46061116,32.95408092
-5.84392196,35.03298916,0.08530141,0.03576064,0.07857974,0.16145002,0.76673878,0.44821221,33.24873762
-5.83791896,35.32729933,0.08464485,0.03630024,0.07575876,0.16379634,0.75247254,0.43589316,33.52953846
-5.83191596,35.59328507,0.08398254,0.03702841,0.07302701,0.16581516,0.73786679,0.42367296,33.78403559
-5.82591296,35.81820120,0.08329673,0.03796252,0.07037505,0.16749030,0.72287699,0.41157282,33.99978572
-5.81990995,35.98965987,0.08257025,0.03911914,0.06779446,0.16880708,0.70746597,0.39961634,34.16468668
-5.81390695,36.09598022,0.08178688,0.04051385,0.06527812,0.16975237,0.69160563,0.38782952,34.26731793
-5.80790395,36.12652970,0.08093165,0.04216110,0.06282047,0.17031470,0.67527859,0.37624084,34.29727246
-5.80190095,36.07204367,0.07999121,0.04407404,0.06041772,0.17048454,0.65847961,0.36488116,34.24546748
-5.79589795,35.92490991,0.07895431,0.04626422,0.05806790,0.17025458,0.64121687,0.35378365,34.10442087
-5.78989495,35.67940575,0.07781207,0.04874131,0.05577094,0.16962018,0.62351284,0.34298355,33.86848156
-5.78389195,35.33187634,0.07655841,0.05151267,0.05352860,0.16857977,0.60540476,0.33251768,33.53400310
