energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,1.76472227,0.00178077,0.11513836,0.98415682,0.88491415,0.00195703,0.48897537
-5.99399700,1.66919547,0.00171835,0.10774957,0.93329890,0.83944215,0.00189540,0.46089022
-5.98799400,1.57315052,0.00166422,0.10041824,0.88172694,0.79368563,0.00186483,0.43260094
-5.98199100,1.47757196,0.00161872,0.09319706,0.83000237,0.74816205,0.00186585,0.40437048
-5.97598799,1.38344214,0.00158217,0.08614100,0.77869410,0.70338250,0.00189914,0.37646233
-5.96998499,1.29171766,0.00155486,0.07930597,0.72836510,0.65983935,0.00196557,0.34913440
-5.96398199,1.20330795,0.00153698,0.07274767,0.67956017,0.61799485,0.00206616,0.32263339
-5.95797899,1.11905674,0.00152862,0.06652072,0.63279504,0.57827131,0.00220211,0.29719002
-5.95197599,1.03972686,0.00152975,0.06067792,0.58854743,0.54104290,0.00237476,0.27301515
-5.94597299,0.96598879,0.00154018,0.05526983,0.54724992,0.50662947,0.00258566,0.25029686
-5.93996998,0.89841306,0.00155956,0.05034448,0.50928504,0.47529234,0.00283655,0.22919858
-5.93396698,0.83746657,0.00158738,0.04594731,0.47498240,0.44723229,0.00312939,0.20985826
-5.92796398,0.78351253,0.00162295,0.04212117,0.44461789,0.42258944,0.00346639,0.19238846
-5.92196098,0.73681384,0.00166547,0.03890647,0.41841461,0.40144509,0.00385000,0.17687737
-5.91595798,0.69753928,0.00171398,0.03634133,0.39654543,0.38382516,0.00428295,0.16339056
-5.90995498,0.66577193,0.00176744,0.03446172,0.37913667,0.36970500,0.00476823,0.15197331
-5.90395198,0.64151924,0.00182477,0.03330148,0.36627260,0.35901519,0.00530905,0.14265337
-5.89794897,0.62472396,0.00188484,0.03289228,0.35800036,0.35164798,0.00590883,0.13544402
-5.89194597,0.61527521,0.00194658,0.03326336,0.35433476,0.34746408,0.00657111,0.13034712
-5.88594297,0.61301913,0.00200900,0.03444104,0.35526278,0.34629933,0.00729947,0.12735607
-5.87993997,0.61776835,0.00207122,0.03644812,0.36074721,0.34797097,0.00809738,0.12645852
-5.87393697,0.62931004,0.00213253,0.03930296,0.37072948,0.35228334,0.00896811,0.12763870
-5.86793397,0.64741201,0.00219244,0.04301840,0.38513117,0.35903269,0.00991449,0.13087920
-5.86193097,0.67182690,0.00225068,0.04760058,0.40385452,0.36801104,0.01093881,0.13616222
-5.85592796,0.70229424,0.00230728,0.05304756,0.42678176,0.37900908,0.01204253,0.14347020
-5.84992496,0.73854075,0.00236252,0.05934806,0.45377357,0.39181813,0.01322619,0.15278591
-5.84392196,0.78027910,0.00241697,0.06648017,0.48466688,0.40623124,0.01448916,0.16409186
-5.83791896,0.82720550,0.00247149,0.07441029,0.51927236,0.42204366,0.01582953,0.17736934
-5.83191596,0.87899670,0.00252718,0.08309236,0.55737205,0.43905288,0.01724396,0.19259690
-5.82591296,0.93530688,0.00258538,0.09246748,0.59871746,0.45705843,0.01872763,0.20974858
-5.81990995,0.99576493,0.00264761,0.10246393,0.64302853,0.47586172,0.02027424,0.22879188
-5.81390695,1.05997269,0.00271552,0.11299785,0.68999385,0.49526613,0.02187602,0.24968551
-5.80790395,1.12750435,0.00279085,0.12397440,0.73927224,0.51507747,0.02352390,0.27237726
-5.80190095,1.19790741,0.00287533,0.13528952,0.79049603,0.53510497,0.02520766,0.29680169
