energy_ev,total_up,As_p_up,As_d_up,Au_p_up,Au_d_up,S_s_up,S_p_up
-6.00000000,6.35728139,0.91209184,0.00000000,1.00166781,4.25274650,0.03891016,0.72044564
-5.99399700,6.45443565,0.90726505,0.00000000,1.01471594,4.33132434,0.04004795,0.73207613
-5.98799400,6.56085638,0.90286809,0.00000000,1.02953059,4.41634465,0.04142575,0.74450975
-5.98199100,6.67716741,0.89902288,0.00000000,1.04610911,4.50839031,0.04305492,0.75774952
-5.97598799,6.80382703,0.89584133,0.00000000,1.06441613,4.60794128,0.04494473,0.77177342
-5.96998499,6.94110934,0.89342323,0.00000000,1.08438468,4.71535418,0.04710213,0.78653504
-5.96398199,7.08908889,0.89185438,0.00000000,1.10591792,4.83084361,0.04953147,0.80196508
-5.95797899,7.24762845,0.89120519,0.00000000,1.12889122,4.95446561,0.05223414,0.81797345
-5.95197599,7.41637001,0.89152942,0.00000000,1.15315464,5.08610356,0.05520827,0.83445168
-5.94597299,7.59472883,0.89286325,0.00000000,1.17853534,5.22545681,0.05844834,0.85127563
-5.93996998,7.78189041,0.89522446,0.00000000,1.20483990,5.37203239,0.06194492,0.86830831
-5.93396698,7.97681060,0.89861179,0.00000000,1.23185634,5.52514007,0.06568428,0.88540242
-5.92796398,8.17821872,0.90300429,0.00000000,1.25935592,5.68389107,0.06964820,0.90240290
-5.92196098,8.38462393,0.90836076,0.00000000,1.28709453,5.84720075,0.07381375,0.91914902
-5.91595798,8.59432539,0.91461928,0.00000000,1.31481385,6.01379556,0.07815324,0.93547626
-5.90995498,8.80542629,0.92169672,0.00000000,1.34224241,6.18222467,0.08263428,0.95121792
-5.90395198,9.01585258,0.92948851,0.00000000,1.36909660,6.35087624,0.08721991,0.96620651
-5.89794897,9.22337645,0.93786859,0.00000000,1.39508193,6.51799882,0.09186897,0.98027503
-5.89194597,9.42564522,0.94668973,0.00000000,1.41989478,6.68172759,0.09653659,0.99325823
-5.88594297,9.62021566,0.95578431,0.00000000,1.44322459,6.84011542,0.10117478,1.00499406
-5.87993997,9.80459373,0.96496567,0.00000000,1.46475702,6.99116840,0.10573325,1.01532528
-5.87393697,9.97627945,0.97403018,0.00000000,1.48417785,7.13288522,0.11016031,1.02410137
-5.86793397,10.13281629,0.98276000,0.00000000,1.50117791,7.26329962,0.11440382,1.03118091
-5.86193097,10.27184404,0.99092678,0.00000000,1.51545894,7.38052496,0.11841232,1.03643416
-5.85592796,10.39115406,0.99829596,0.00000000,1.52674020,7.48279975,0.12213609,1.03974616
-5.84992496,10.48874525,1.00463200,0.00000000,1.53476582,7.56853269,0.12552825,1.04102000
-5.84392196,10.56287919,1.00970417,0.00000000,1.53931254,7.63634609,0.12854582,1.04018026
-5.83791896,10.61213232,1.01329282,0.00000000,1.54019754,7.68511594,0.13115068,1.03717648
-5.83191596,10.63544353,1.01519595,0.00000000,1.53728604,7.71400747,0.13331045,1.03198652
-5.82591296,10.63215512,1.01523589,0.00000000,1.53049829,7.72250483,0.13499921,1.02461946
-5.81990995,10.60204536,1.01326562,0.00000000,1.51981555,7.71043370,0.13619804,1.01511813
-5.81390695,10.54535127,1.00917479,0.00000000,1.50528474,7.67797591,0.13689542,1.00356079
-5.80790395,10.46278014,1.00289476,0.00000000,1.48702134,7.62567535,0.13708745,0.99006207
-5.80190095,10.35550906,0.99440274,0.00000000,1.46521043,7.55443479,0.13677788,0.97477276
-5.79589795,10.22517187,0.98372455,0.00000000,1.44010549,7.46550326,0.13597791,0.95787867
-5.78989495,10.07383330,0.97093598,0.00000000,1.41202498,7.36045431,0.13470597,0.93959821
-5.78389195,9.90395077,0.95616246,0.00000000,1.38134664,7.24115533,0.13298719,0.92017886
-5.77788894,9.71832454,0.93957711,0.00000000,1.34849957,7.10972881,0.13085290,0.89989254
-5.77188594,9.52003717,0.92139707,0.00000000,1.31395435,6.96850622,0.12833989,0.87902990
-5.76588294,9.31238410,0.90187825,0.00000000,1.27821141,6.81997589,0.12548972,0.85789381
-5.75987994,9.09879700,0.88130860,0.00000000,1.24178807,6.66672605,0.12234787,0.83679211
-5.75387694,8.88276213,0.86000019,0.00000000,1.20520467,6.51138466,0.11896288,0.81602989
-5.74787394,8.66773617,0.83828034,0.00000000,1.16897030,6.35655775,0.11538552,0.79590162
-5.74187094,8.45706202,0.81648213,0.00000000,1.13356864,6.20476790,0.11166785,0.77668329
-5.73586793,8.25388731,0.79493468,0.00000000,1.09944455,6.05839488,0.10786240,0.75862505
-5.72986493,8.06108825,0.77395360,0.00000000,1.06699176,5.91962010,0.10402129,0.74194438
-5.72386193,7.88120146,0.75383191,0.00000000,1.03654233,5.79037679,0.10019543,0.72682029
-5.71785893,7.71636609,0.73483191,0.00000000,1.00835829,5.67230750,0.09643373,0.71338874
-5.71185593,7.56827838,0.71717826,0.00000000,0.98262564,5.56673031,0.09278241,0.70173942
