energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.64467912,0.01694143,0.04887101,0.58833630,0.23171305,0.26165719,0.06729909,1.00380273,0.00000000
-5.99399700,1.62698005,0.01726538,0.04735832,0.57862020,0.23088744,0.25761958,0.06695431,0.99380759,0.00000000
-5.98799400,1.60114007,0.01748395,0.04564630,0.56612813,0.22884195,0.25231423,0.06626705,0.97880619,0.00000000
-5.98199100,1.56746857,0.01759177,0.04376060,0.55103025,0.22559266,0.24581870,0.06524144,0.95897475,0.00000000
-5.97598799,1.52639756,0.01758570,0.04172873,0.53353405,0.22117587,0.23822656,0.06388770,0.93456566,0.00000000
-5.96998499,1.47847040,0.01746487,0.03957929,0.51387876,0.21564729,0.22964513,0.06222173,0.90590097,0.00000000
-5.96398199,1.42432851,0.01723077,0.03734123,0.49232943,0.20908076,0.22019310,0.06026477,0.87336458,0.00000000
-5.95797899,1.36469634,0.01688720,0.03504312,0.46917082,0.20156652,0.20999792,0.05804278,0.83739326,0.00000000
-5.95197599,1.30036488,0.01644012,0.03271261,0.44470112,0.19320909,0.19919316,0.05558581,0.79846669,0.00000000
-5.94597299,1.23217400,0.01589755,0.03037588,0.41922575,0.18412481,0.18791581,0.05292722,0.75709672,0.00000000
-5.93996998,1.16099422,0.01526923,0.02805722,0.39305121,0.17443897,0.17630358,0.05010290,0.71381610,0.00000000
-5.93396698,1.08770808,0.01456637,0.02577870,0.36647929,0.16428293,0.16449238,0.04715038,0.66916701,0.00000000
-5.92796398,1.01319182,0.01380128,0.02355993,0.33980155,0.15379094,0.15261382,0.04410793,0.62368957,0.00000000
-5.92196098,0.93829777,0.01298699,0.02141791,0.31329439,0.14309705,0.14079295,0.04101368,0.57791088,0.00000000
-5.91595798,0.86383795,0.01213689,0.01936696,0.28721460,0.13233211,0.12914628,0.03790475,0.53233464,0.00000000
-5.90995498,0.79056939,0.01126434,0.01741869,0.26179565,0.12162095,0.11778002,0.03481650,0.48743188,0.00000000
-5.90395198,0.71918153,0.01038231,0.01558210,0.23724476,0.11107987,0.10678872,0.03178177,0.44363296,0.00000000
-5.89794897,0.65028610,0.00950307,0.01386365,0.21374066,0.10081449,0.09625420,0.02883033,0.40132102,0.00000000
-5.89194597,0.58440967,0.00863790,0.01226744,0.19143240,0.09091804,0.08624491,0.02598839,0.36082726,0.00000000
-5.88594297,0.52198908,0.00779688,0.01079540,0.17043879,0.08147015,0.07681563,0.02327828,0.32242785,0.00000000
-5.87993997,0.46336975,0.00698874,0.00944748,0.15084885,0.07253611,0.06800765,0.02071824,0.28634277,0.00000000
-5.87393697,0.40880687,0.00622072,0.00822193,0.13272301,0.06416666,0.05984912,0.01832239,0.25273642,0.00000000
-5.86793397,0.35846914,0.00549859,0.00711550,0.11609499,0.05639824,0.05235596,0.01610079,0.22171988,0.00000000
-5.86193097,0.31244504,0.00482658,0.00612373,0.10097440,0.04925369,0.04553290,0.01405970,0.19335477,0.00000000
-5.85592796,0.27075104,0.00420752,0.00524118,0.08734984,0.04274331,0.03937482,0.01220183,0.16765837,0.00000000
-5.84992496,0.23334163,0.00364290,0.00446169,0.07519243,0.03686631,0.03386830,0.01052678,0.14460987,0.00000000
-5.84392196,0.20012051,0.00313305,0.00377861,0.06445967,0.03161242,0.02899328,0.00903152,0.12415746,0.00000000
-5.83791896,0.17095268,0.00267727,0.00318504,0.05509949,0.02696376,0.02472487,0.00771087,0.10622595,0.00000000
-5.83191596,0.14567703,0.00227400,0.00267403,0.04705428,0.02289678,0.02103508,0.00655809,0.09072479,0.00000000
-5.82591296,0.12411887,0.00192108,0.00223880,0.04026501,0.01938429,0.01789464,0.00556540,0.07755603,0.00000000
-5.81990995,0.10610232,0.00161587,0.00187287,0.03467507,0.01639739,0.01527474,0.00472452,0.06662225,0.00000000
-5.81390695,0.09146202,0.00135545,0.00157027,0.03023397,0.01390748,0.01314860,0.00402724,0.05783405,0.00000000
-5.80790395,0.08005399,0.00113681,0.00132566,0.02690060,0.01188806,0.01149304,0.00346580,0.05111701,0.00000000
