energy_ev,total_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.53153868,0.89031162,1.36745228,0.01054530,1.54447421,0.03651349,0.00022310
-5.99399700,2.39981242,0.83321643,1.31524209,0.00968748,1.48361599,0.03356560,0.00020635
-5.98799400,2.26868036,0.77775555,1.26169307,0.00883852,1.42159768,0.03068998,0.00018998
-5.98199100,2.13923575,0.72438231,1.20724737,0.00800844,1.35893837,0.02791143,0.00017413
-5.97598799,2.01252384,0.67350386,1.15237708,0.00720612,1.29619531,0.02525194,0.00015894
-5.96998499,1.88954236,0.62548440,1.09758474,0.00643916,1.23396401,0.02273023,0.00014450
-5.96398199,1.77124524,0.58065036,1.04340376,0.00571373,1.17287841,0.02036157,0.00013090
-5.95797899,1.65854873,0.53929682,0.99039850,0.00503460,1.11361074,0.01815767,0.00011820
-5.95197599,1.55233824,0.50169451,0.93916350,0.00440514,1.05687052,0.01612675,0.00010644
-5.94597299,1.45347500,0.46809660,0.89032127,0.00382734,1.00340198,0.01427377,0.00009564
-5.93996998,1.36280103,0.43874470,0.84451847,0.00330198,0.95397962,0.01260066,0.00008579
-5.93396698,1.28114156,0.41387349,0.80241998,0.00282872,0.90940129,0.01110669,0.00007690
-5.92796398,1.20930392,0.39371335,0.76470073,0.00240628,0.87047857,0.00978887,0.00006895
-5.92196098,1.14807236,0.37849090,0.73203524,0.00203258,0.83802421,0.00864235,0.00006192
-5.91595798,1.09819838,0.36842699,0.70508467,0.00170495,0.81283667,0.00766081,0.00005576
-5.90995498,1.06038660,0.36373216,0.68448183,0.00142024,0.79568176,0.00683684,0.00005046
-5.90395198,1.03527646,0.36459978,0.67081420,0.00117505,0.78727181,0.00616228,0.00004598
-5.89794897,1.02342015,0.37119686,0.66460547,0.00096578,0.78824275,0.00562853,0.00004229
-5.89194597,1.02525774,0.38365319,0.66629617,0.00078887,0.79912980,0.00522677,0.00003934
-5.88594297,1.04109054,0.40204903,0.67622392,0.00064080,0.82034257,0.00494824,0.00003712
-5.87993997,1.07105397,0.42640224,0.69460420,0.00051827,0.85214054,0.00478439,0.00003557
-5.87393697,1.11509132,0.45665537,0.72151234,0.00041822,0.89460998,0.00472704,0.00003468
-5.86793397,1.17293024,0.49266369,0.75686774,0.00033791,0.94764350,0.00476855,0.00003442
-5.86193097,1.24406326,0.53418475,0.80042113,0.00027500,1.01092346,0.00490197,0.00003473
-5.85592796,1.32773427,0.58087054,0.85174585,0.00022752,1.08391056,0.00512123,0.00003561
-5.84992496,1.42293235,0.63226288,0.91023400,0.00019398,1.16583856,0.00542132,0.00003701
-5.84392196,1.52839432,0.68779291,0.97509807,0.00017335,1.25571639,0.00579859,0.00003890
-5.83791896,1.64261713,0.74678502,1.04537893,0.00016510,1.35233836,0.00625100,0.00004124
-5.83191596,1.76388085,0.80846593,1.11996015,0.00016924,1.45430306,0.00677855,0.00004402
-5.82591296,1.89028242,0.87197884,1.19758922,0.00018634,1.56004110,0.00738363,0.00004718
-5.81990995,2.01978003,0.93640280,1.27690509,0.00021759,1.66785153,0.00807159,0.00005071
-5.81390695,2.15024732,1.00077683,1.35647183,0.00026482,1.77594631,0.00885118,0.00005458
-5.80790395,2.27953591,1.06412825,1.43481734,0.00033054,1.88250164,0.00973520,0.00005877
-5.80190095,2.40554439,1.12550422,1.51047618,0.00041800,1.98571466,0.01074097,0.00006327
-5.79589795,2.52629128,1.18400550,1.58203478,0.00053124,2.08386341,0.01189094,0.00006808
-5.78989495,2.63998889,1.23882077,1.64817756,0.00067512,2.17536782,0.01321314,0.00007322
-5.78389195,2.74511499,1.28926028,1.70773187,0.00085533,2.25884910,0.01474152,0.00007871
-5.77788894,2.84047857,1.33478685,1.75970992,0.00107844,2.33318471,0.01651623,0.00008459
-5.77188594,2.92527660,1.37504286,1.80334561,0.00135187,2.39755620,0.01858356,0.00009093
-5.76588294,2.99913810,1.40987144,1.83812445,0.00168385,2.45148745,0.02099574,0.00009779
-5.75987994,3.06215295,1.43933052,1.86380501,0.00208334,2.49487085,0.02381039,0.00010528
-5.75387694,3.11488296,1.46369867,1.88043056,0.00255995,2.52797975,0.02708966,0.00011350
-5.74787394,3.15835367,1.48347180,1.88833006,0.00312371,2.55146589,0.03089896,0.00012257
-5.74187094,3.19402609,1.49935047,1.88810817,0.00378492,2.56634122,0.03530533,0.00013263
-5.73586793,3.22374875,1.51221774,1.88062443,0.00455383,2.57394447,0.04037547,0.00014381
-5.72986493,3.24969120,1.52310827,1.86696236,0.00544034,2.57589320,0.04617334,0.00015625
-5.72386193,3.27426132,1.53316952,1.84838967,0.00645363,2.57402338,0.05275746,0.00017009
-5.71785893,3.30000956,1.54361667,1.82631140,0.00760172,2.57031865,0.06017805,0.00018543
-5.71185593,3.32952415,1.55568298,1.80221791,0.00889103,2.56683256,0.06847395,0.00020238
-5.70585293,3.36532195,1.57056795,1.77763030,0.01032597,2.56560713,0.07766951,0.00022101
-5.69984992,3.40973995,1.58938544,1.75404575,0.01190842,2.56859153,0.08777168,0.00024133
-5.69384692,3.46483268,1.61311438,1.73288519,0.01363734,2.57756480,0.09876729,0.00026335
-5.68784392,3.53228060,1.64255448,1.71544604,0.01550838,2.59406637,0.11062086,0.00028699
-5.68184092,3.61331430,1.67828917,1.70286192,0.01751362,2.61933769,0.12327295,0.00031215
-5.67583792,3.70865845,1.72065778,1.69607131,0.01964135,2.65427804,0.13663929,0.00033866
-5.66983492,3.81849880,1.76973850,1.69579652,0.02187602,2.69941660,0.15061085,0.00036628
-5.66383192,3.94247416,1.82534320,1.70253355,0.02419829,2.75490222,0.16505486,0.00039474
-5.65782891,4.07969420,1.88702456,1.71655319,0.02658535,2.82051142,0.17981688,0.00042371
-5.65182591,4.22878253,1.95409534,1.73791284,0.02901126,2.89567392,0.19472400,0.00045281
-5.64582291,4.38794301,2.02565894,1.76647790,0.03144755,2.97951441,0.20958897,0.00048166
-5.63981991,4.55504604,2.10064982,1.80195122,0.03386396,3.07090805,0.22421532,0.00050981
-5.63381691,4.72773050,2.17788184,1.84390848,0.03622931,3.16854655,0.23840317,0.00053685
-5.62781391,4.90351574,2.25610190,1.89183713,0.03851244,3.27101095,0.25195555,0.00056234
-5.62181091,5.07991773,2.33404626,1.94517624,0.04068324,3.37684709,0.26468508,0.00058589
-5.61580790,5.25456292,2.41049637,2.00335468,0.04271374,3.48463902,0.27642047,0.00060712
-5.60980490,5.42529340,2.48433137,2.06582503,0.04457908,3.59307648,0.28701278,0.00062572
-5.60380190,5.59025751,2.55457434,2.13209116,0.04625848,3.70101208,0.29634102,0.00064145
-5.59779890,5.74798082,2.62042991,2.20172740,0.04773600,3.80750521,0.30431669,0.00065411
-5.59179590,5.89741334,2.68131117,2.27438838,0.04900122,3.91184992,0.31088730,0.00066361
-5.58579290,6.03795058,2.73685457,2.34980872,0.05004960,4.01358540,0.31603835,0.00066995
