energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,3.88680945,0.02315627,0.54805479,0.50780915,0.25535511,1.38693126,1.53156958,1.63388473,0.00000000
-5.99399700,3.93312020,0.02323027,0.54554455,0.50899743,0.26006151,1.40344895,1.54503909,1.66006794,0.00000000
-5.98799400,3.99525880,0.02340680,0.54658776,0.51263014,0.26515535,1.42703095,1.56536356,1.69128755,0.00000000
-5.98199100,4.07325917,0.02368388,0.55122531,0.51875516,0.27066473,1.45779371,1.59248708,1.72753044,0.00000000
-5.97598799,4.16692988,0.02405793,0.55944588,0.52738867,0.27661378,1.49576136,1.62624569,1.76871940,0.00000000
-5.96998499,4.27584255,0.02452380,0.57118437,0.53851254,0.28302089,1.54086116,1.66636651,1.81470788,0.00000000
-5.96398199,4.39932537,0.02507488,0.58632123,0.55207234,0.28989722,1.59292129,1.71246923,1.86527607,0.00000000
-5.95797899,4.53646228,0.02570313,0.60468292,0.56797610,0.29724540,1.65167109,1.76407007,1.92012869,0.00000000
-5.95197599,4.68609865,0.02639932,0.62604357,0.58609394,0.30505853,1.71674394,1.82058830,1.97889481,0.00000000
-5.94597299,4.84685386,0.02715316,0.65012797,0.60625862,0.31331957,1.78768279,1.88135559,2.04112986,0.00000000
-5.93996998,5.01714106,0.02795353,0.67661587,0.62826713,0.32200106,1.86394830,1.94562802,2.10632014,0.00000000
-5.93396698,5.19519411,0.02878875,0.70514772,0.65188328,0.33106533,1.94492952,2.01260072,2.17388967,0.00000000
-5.92796398,5.37910132,0.02964681,0.73533163,0.67684132,0.34046501,2.02995672,2.08142490,2.24320957,0.00000000
-5.92196098,5.56684534,0.03051568,0.76675169,0.70285060,0.35014396,2.11831614,2.15122693,2.31360961,0.00000000
-5.91595798,5.75634789,0.03138358,0.79897712,0.72960102,0.36003848,2.20926597,2.22112887,2.38439174,0.00000000
-5.90995498,5.94551823,0.03223925,0.83157241,0.75676926,0.37007883,2.30205323,2.29026992,2.45484506,0.00000000
-5.90395198,6.13230318,0.03307221,0.86410769,0.78402552,0.38019081,2.39593057,2.35782799,2.52426177,0.00000000
-5.89794897,6.31473706,0.03387300,0.89616931,0.81104066,0.39029760,2.49017242,2.42304045,2.59195341,0.00000000
-5.89194597,6.49098915,0.03463335,0.92736995,0.83749325,0.40032140,2.58408981,2.48522334,2.65726664,0.00000000
-5.88594297,6.65940659,0.03534630,0.95735803,0.86307657,0.41018518,2.67704288,2.54378811,2.71959803,0.00000000
-5.87993997,6.81855082,0.03600634,0.98582582,0.88750501,0.41981410,2.76845075,2.59825497,2.77840700,0.00000000
-5.87393697,6.96722554,0.03660936,1.01251591,0.91051985,0.42913680,2.85779805,2.64826233,2.83322641,0.00000000
-5.86793397,7.10449507,0.03715266,1.03722579,0.93189400,0.43808644,2.94463784,2.69357163,2.88367038,0.00000000
-5.86193097,7.22969211,0.03763488,1.05981016,0.95143567,0.44660139,3.02859089,2.73406742,2.92943892,0.00000000
-5.85592796,7.34241458,0.03805578,1.08018096,0.96899082,0.45462569,3.10934128,2.76975242,2.97031943,0.00000000
-5.84992496,7.44251205,0.03841617,1.09830503,0.98444429,0.46210929,3.18662886,2.80073797,3.00618493,0.00000000
-5.84392196,7.53006243,0.03871760,1.11419956,0.99771968,0.46900802,3.26023901,2.82723010,3.03698950,0.00000000
-5.83791896,7.60534072,0.03896222,1.12792554,1.00877803,0.47528349,3.32999060,2.84951206,3.06276118,0.00000000
