energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.37897750,0.00178908,0.13508344,0.27759038,0.65620757,0.67254249,0.00000000,0.32176362,0.20514898
-5.99399700,1.45246874,0.00191557,0.14773994,0.29694222,0.68197144,0.70970024,0.00000000,0.34800041,0.21458196
-5.98799400,1.52479192,0.00203836,0.16060744,0.31654084,0.70620618,0.74651634,0.00000000,0.37483008,0.22371508
-5.98199100,1.59531644,0.00215544,0.17354923,0.33623940,0.72864949,0.78269644,0.00000000,0.40204182,0.23246691
-5.97598799,1.66338735,0.00226481,0.18642008,0.35587947,0.74904026,0.81793165,0.00000000,0.42940792,0.24075448
-5.96998499,1.72833623,0.00236446,0.19906935,0.37529320,0.76712384,0.85190316,0.00000000,0.45668705,0.24849462
-5.96398199,1.78949383,0.00245248,0.21134435,0.39430594,0.78265792,0.88428754,0.00000000,0.48362806,0.25560561
-5.95797899,1.84620381,0.00252713,0.22309390,0.41273911,0.79541912,0.91476283,0.00000000,0.50997402,0.26200905
-5.95197599,1.89783720,0.00258685,0.23417178,0.43041316,0.80520963,0.94301471,0.00000000,0.53546650,0.26763175
-5.94597299,1.94380673,0.00263036,0.24444011,0.44715067,0.81186391,0.96874296,0.00000000,0.55984973,0.27240770
-5.93996998,1.98358038,0.00265670,0.25377237,0.46277927,0.81525483,0.99166746,0.00000000,0.58287460,0.27627993
-5.93396698,2.01669378,0.00266523,0.26205608,0.47713446,0.81529900,1.01153393,0.00000000,0.60430244,0.27920225
-5.92796398,2.04276065,0.00265571,0.26919487,0.49006216,0.81196093,1.02811878,0.00000000,0.62390831,0.28114069
-5.92196098,2.06148112,0.00262828,0.27511011,0.50142098,0.80525586,1.04123330,0.00000000,0.64148404,0.28207470
-5.91595798,2.07264764,0.00258346,0.27974190,0.51108420,0.79525096,1.05072681,0.00000000,0.65684073,0.28199800
-5.90995498,2.07614843,0.00252217,0.28304944,0.51894146,0.78206486,1.05648897,0.00000000,0.66981102,0.28091902
-5.90395198,2.07196863,0.00244565,0.28501094,0.52490024,0.76586553,1.05845117,0.00000000,0.68025099,0.27886111
-5.89794897,2.06018930,0.00235547,0.28562302,0.52888711,0.74686666,1.05658726,0.00000000,0.68804194,0.27586230
-5.89194597,2.04098473,0.00225347,0.28489974,0.53084887,0.72532266,1.05091352,0.00000000,0.69309196,0.27197486
-5.88594297,2.01461832,0.00214169,0.28287130,0.53075362,0.70152262,1.04148836,0.00000000,0.69533754,0.26726466
-5.87993997,1.98143761,0.00202233,0.27958262,0.52859170,0.67578344,1.02841154,0.00000000,0.69474510,0.26181024
-5.87393697,1.94186865,0.00189768,0.27509177,0.52437667,0.64844260,1.01182331,0.00000000,0.69131249,0.25570189
-5.86793397,1.89641013,0.00177005,0.26946832,0.51814619,0.61985083,0.99190340,0.00000000,0.68507052,0.24904058
-5.86193097,1.84562740,0.00164175,0.26279189,0.50996276,0.59036490,0.96886993,0.00000000,0.67608420,0.24193682
-5.85592796,1.79014649,0.00151499,0.25515057,0.49991428,0.56034101,0.94297817,0.00000000,0.66445377,0.23450952
-5.84992496,1.73064800,0.00139186,0.24663962,0.48811429,0.53012870,0.91451905,0.00000000,0.65031527,0.22688476
-5.84392196,1.66786079,0.00127429,0.23736013,0.47470186,0.50006562,0.88381740,0.00000000,0.63384045,0.21919451
-5.83791896,1.60255515,0.00116402,0.22741782,0.45984086,0.47047316,0.85122958,0.00000000,0.61523594,0.21157521
-5.83191596,1.53553533,0.00106258,0.21692189,0.44371862,0.44165287,0.81714043,0.00000000,0.59474135,0.20416620
-5.82591296,1.46763092,0.00097126,0.20598385,0.42654397,0.41388368,0.78195946,0.00000000,0.57262646,0.19710799
