energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
1.31765883,4.26305170,1.64750932,1.82401850,0.60246676,0.07475054,0.10744862,0.76700097,0.81937011,0.00027386
1.32366183,4.06840230,1.57908266,1.74847196,0.58265106,0.06983505,0.10153967,0.73476882,0.76380236,0.00026108
1.32966483,3.88653281,1.51466277,1.67821973,0.56493965,0.06527153,0.09593486,0.70469146,0.71042356,0.00024904
1.33566783,3.71950993,1.45507513,1.61406374,0.54951111,0.06109536,0.09070308,0.67711364,0.65989898,0.00023796
1.34167084,3.56880840,1.40091223,1.55654561,0.53645325,0.05733312,0.08589953,0.65227783,0.61279689,0.00022800
1.34767384,3.43530561,1.35252911,1.50594604,0.52576526,0.05400245,0.08156544,0.63032217,0.56958388,0.00021933
1.35367684,3.31929849,1.31004835,1.46229418,0.51736318,0.05111211,0.07772840,0.61128235,0.53062410,0.00021202
1.35967984,3.22054094,1.27337374,1.42538632,0.51108826,0.04866224,0.07440318,0.59509724,0.49618185,0.00020617
1.36568284,3.13829908,1.24221171,1.39481247,0.50671782,0.04664484,0.07159302,0.58161792,0.46642735,0.00020178
1.37168584,3.07142115,1.21609901,1.36998948,0.50397806,0.04504438,0.06929129,0.57061943,0.44144494,0.00019884
1.37768884,3.01841823,1.19443522,1.35019889,0.50255815,0.04383857,0.06748343,0.56181478,0.42124315,0.00019732
1.38369185,2.97755162,1.17651830,1.33462758,0.50212494,0.04299919,0.06614903,0.55487036,0.40576602,0.00019713
1.38969485,2.94692301,1.16158151,1.32240944,0.50233766,0.04249309,0.06526391,0.54942211,0.39490495,0.00019817
1.39569785,2.92456314,1.14882996,1.31266606,0.50286193,0.04228314,0.06480220,0.54509167,0.38851051,0.00020032
1.40170085,2.90851574,1.13747526,1.30454494,0.50338249,0.04232923,0.06473818,0.54150200,0.38640362,0.00020342
1.40770385,2.89691327,1.12676703,1.29725358,0.50361422,0.04258934,0.06504792,0.53829168,0.38838559,0.00020732
1.41370685,2.88804235,1.11602011,1.29008852,0.50331098,0.04302046,0.06571056,0.53512759,0.39424676,0.00021185
1.41970985,2.88039676,1.10463670,1.28245829,0.50227204,0.04357960,0.06670926,0.53171559,0.40377337,0.00021685
1.42571286,2.87271730,1.09212305,1.27389995,0.50034603,0.04422465,0.06803174,0.52780887,0.41675262,0.00022216
1.43171586,2.86401792,1.07810046,1.26408909,0.49743229,0.04491527,0.06967041,0.52321407,0.43297582,0.00022761
1.43771886,2.85359869,1.06231075,1.25284331,0.49347986,0.04561364,0.07162222,0.51779493,0.45223984,0.00023308
1.44372186,2.84104638,1.04461664,1.24011991,0.48848434,0.04628520,0.07388806,0.51147390,0.47434689,0.00023844
1.44972486,2.82622423,1.02499750,1.22600826,0.48248283,0.04689927,0.07647196,0.50423162,0.49910309,0.00024359
1.45572786,2.80925247,1.00354133,1.21071793,0.47554762,0.04742969,0.07938007,0.49610472,0.52631595,0.00024847
1.46173087,2.79048176,0.98043380,1.19456339,0.46777871,0.04785525,0.08261950,0.48718220,0.55579132,0.00025303
1.46773387,2.77046149,0.95594509,1.17794643,0.45929608,0.04816013,0.08619708,0.47760063,0.58733010,0.00025728
1.47373687,2.74990494,0.93041554,1.16133718,0.45023171,0.04833427,0.09011813,0.46753861,0.62072499,0.00026125
1.47973987,2.72965321,0.90424084,1.14525482,0.44072218,0.04837355,0.09438538,0.45721061,0.65575788,0.00026500
1.48574287,2.71063948,0.87785741,1.13024860,0.43090194,0.04827999,0.09899789,0.44686062,0.69219792,0.00026865
1.49174587,2.69385505,0.85172871,1.11687999,0.42089770,0.04806179,0.10395031,0.43675567,0.72980064,0.00027234
1.49774887,2.68031796,0.82633266,1.10570635,0.41082407,0.04773327,0.10923229,0.42717946,0.76830826,0.00027626
1.50375188,2.67104513,0.80215074,1.09726656,0.40078071,0.04731478,0.11482807,0.41842621,0.80745132,0.00028063
1.50975488,2.66702814,0.77965873,1.09206866,0.39085082,0.04683238,0.12071645,0.41079480,0.84695143,0.00028568
1.51575788,2.66921291,0.75931918,1.09057968,0.38110112,0.04631759,0.12687087,0.40458320,0.88652533,0.00029170
1.52176088,2.67848295,0.74157560,1.09321740,0.37158304,0.04580693,0.13325971,0.40008333,0.92588979,0.00029896
1.52776388,2.69564607,0.72684805,1.10034404,0.36233497,0.04534142,0.13984687,0.39757622,0.96476741,0.00030777
1.53376688,2.72142384,0.71553003,1.11226157,0.35338543,0.04496606,0.14659230,0.39732754,1.00289270,0.00031843
1.53976988,2.75644347,0.70798630,1.12920834,0.34475656,0.04472911,0.15345279,0.39958346,1.04001842,0.00033125
1.54577289,2.80123153,0.70455133,1.15135685,0.33646807,0.04468144,0.16038269,0.40456685,1.07592167,0.00034651
1.55177589,2.85620894,0.70552822,1.17881245,0.32854092,0.04487575,0.16733469,0.41247388,1.11040944,0.00036450
1.55777889,2.92168691,0.71118754,1.21161262,0.32100073,0.04536574,0.17426052,0.42347086,1.14332333,0.00038546
1.56378189,2.99786347,0.72176609,1.24972689,0.31388056,0.04620522,0.18111164,0.43769153,1.17454320,0.00040960
1.56978489,3.08482029,0.73746522,1.29305716,0.30722285,0.04744713,0.18783984,0.45523479,1.20398956,0.00043711
1.57578789,3.18251974,0.75844859,1.34143841,0.30108042,0.04914256,0.19439769,0.47616277,1.23162452,0.00046812
1.58179090,3.29080217,0.78483933,1.39463989,0.29551638,0.05133958,0.20073904,0.50049946,1.25745128,0.00050273
1.58779390,3.40938333,0.81671643,1.45236665,0.29060296,0.05408214,0.20681929,0.52822977,1.28151221,0.00054095
1.59379690,3.53785236,0.85411059,1.51426171,0.28641933,0.05740877,0.21259570,0.55929925,1.30388551,0.00058279
1.59979990,3.67567016,0.89699941,1.57990868,0.28304846,0.06135134,0.21802761,0.59361431,1.32468057,0.00062817
1.60580290,3.82216872,0.94530234,1.64883514,0.28057318,0.06593366,0.22307662,0.63104303,1.34403233,0.00067695
1.61180590,3.97655148,0.99887544,1.72051670,0.27907171,0.07117022,0.22770677,0.67141666,1.36209469,0.00072896
1.61780890,4.13789505,1.05750639,1.79438186,0.27861277,0.07706484,0.23188471,0.71453172,1.37903320,0.00078396
1.62381191,4.30515255,1.12090996,1.86981762,0.27925066,0.08360951,0.23557987,0.76015274,1.39501739,0.00084164
1.62981491,4.47715894,1.18872456,1.94617601,0.28102052,0.09078328,0.23876464,0.80801559,1.41021285,0.00090168
1.63581791,4.65263845,1.26050997,2.02278131,0.28393395,0.09855146,0.24141457,0.85783146,1.42477323,0.00096366
1.64182091,4.83021443,1.33574695,2.09893807,0.28797541,0.10686501,0.24350853,0.90929140,1.43883269,0.00102714
1.64782391,5.00842187,1.41383890,2.17393984,0.29309944,0.11566038,0.24502897,0.96207127,1.45249864,0.00109164
1.65382691,5.18572254,1.49411593,2.24707845,0.29922895,0.12485971,0.24596202,1.01583723,1.46584534,0.00115663
1.65982991,5.36052302,1.57584163,2.31765378,0.30625478,0.13437147,0.24629775,1.07025148,1.47890841,0.00122155
1.66583292,5.53119551,1.65822254,2.38498392,0.31403640,0.14409164,0.24603027,1.12497817,1.49168055,0.00128581
1.67183592,5.69610119,1.74042037,2.44841546,0.32240399,0.15390544,0.24515788,1.17968941,1.50410876,0.00134878
1.67783892,5.85361606,1.82156678,2.50733380,0.33116173,0.16368949,0.24368317,1.23407106,1.51609315,0.00140984
1.68384192,6.00215871,1.90078035,2.56117334,0.34009216,0.17331447,0.24161315,1.28782826,1.52748773,0.00146834
1.68984492,6.14021956,1.97718535,2.60942712,0.34896165,0.18264821,0.23895931,1.34069034,1.53810317,0.00152365
1.69584792,6.26639086,2.04993156,2.65165595,0.35752653,0.19155907,0.23573770,1.39241505,1.54771173,0.00157515
1.70185093,6.37939658,2.11821455,2.68749657,0.36553990,0.19991951,0.23196904,1.44279176,1.55605445,0.00162222
1.70785393,6.47812143,2.18129548,2.71666866,0.37275862,0.20760974,0.22767880,1.49164360,1.56285029,0.00166430
1.71385693,6.56163786,2.23851967,2.73898056,0.37895042,0.21452134,0.22289729,1.53882830,1.56780739,0.00170089
1.71985993,6.62923009,2.28933307,2.75433330,0.38390078,0.22056052,0.21765980,1.58423769,1.57063583,0.00173151
1.72586293,6.68041425,2.33329587,2.76272293,0.38741925,0.22565120,0.21200667,1.62779580,1.57106166,0.00175580
1.73186593,6.71495356,2.37009266,2.76424097,0.38934508,0.22973737,0.20598344,1.66945566,1.56884158,0.00177347
1.73786893,6.73286805,2.39953856,2.75907279,0.38955194,0.23278503,0.19964084,1.70919491,1.56377772,0.00178431
1.74387194,6.73443789,2.42158116,2.74749411,0.38795147,0.23478325,0.19303484,1.74701037,1.55573163,0.00178825
1.74987494,6.72020034,2.43629813,2.72986554,0.38449570,0.23574454,0.18622656,1.78291193,1.54463700,0.00178532
1.75587794,6.69093991,2.44389063,2.70662526,0.37917811,0.23570442,0.17928204,1.81691606,1.53051014,0.00177567
1.76188094,6.64767216,2.44467305,2.67828026,0.37203352,0.23472021,0.17227198,1.84903933,1.51345765,0.00175958
1.76788394,6.59162139,2.43905941,2.64539604,0.36313657,0.23286905,0.16527118,1.87929226,1.49368073,0.00173744
1.77388694,6.52419302,2.42754746,2.60858545,0.35259923,0.23024529,0.15835790,1.90767411,1.47147553,0.00170975
