energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.88128573,0.40339293,0.24999298,0.00738667,0.57546194,0.64633417,0.00000000,0.65584074,0.56085717
-5.99399700,1.88686747,0.38744636,0.24736366,0.00716393,0.59131617,0.62716575,0.00000000,0.65701150,0.57147872
-5.98799400,1.88936486,0.37166049,0.24472536,0.00692712,0.60501590,0.60809438,0.00000000,0.65631885,0.58035193
-5.98199100,1.88886467,0.35625143,0.24214440,0.00667994,0.61642819,0.58936469,0.00000000,0.65375376,0.58739404
-5.97598799,1.88554071,0.34142835,0.23969663,0.00642645,0.62546795,0.57122610,0.00000000,0.64935703,0.59255949
-5.96998499,1.87965815,0.32739304,0.23746703,0.00617111,0.63210086,0.55393268,0.00000000,0.64322206,0.59584245
-5.96398199,1.87157488,0.31434026,0.23554902,0.00591877,0.63634453,0.53774318,0.00000000,0.63549619,0.59727797
-5.95797899,1.86173979,0.30245846,0.23404342,0.00567465,0.63826777,0.52292110,0.00000000,0.62638042,0.59694170
-5.95197599,1.85068756,0.29193088,0.23305721,0.00544435,0.63798805,0.50973466,0.00000000,0.61612732,0.59494815
-5.94597299,1.83903006,0.28293665,0.23270184,0.00523379,0.63566724,0.49845620,0.00000000,0.60503732,0.59144753
-5.93996998,1.82744427,0.27565162,0.23309136,0.00504919,0.63150583,0.48936109,0.00000000,0.59345311,0.58662128
-5.93396698,1.81665728,0.27024886,0.23434015,0.00489703,0.62573588,0.48272568,0.00000000,0.58175259,0.58067656
-5.92796398,1.80742838,0.26689837,0.23656044,0.00478393,0.61861307,0.47882439,0.00000000,0.57034026,0.57383974
-5.92196098,1.80052915,0.26576604,0.23985955,0.00471657,0.61040814,0.47792558,0.00000000,0.55963744,0.56634937
-5.91595798,1.79672182,0.26701163,0.24433695,0.00470160,0.60139818,0.48028635,0.00000000,0.55007152,0.55844876
-5.90995498,1.79673670,0.27078574,0.25008119,0.00474547,0.59185807,0.48614615,0.00000000,0.54206454,0.55037857
-5.90395198,1.80124936,0.27722572,0.25716673,0.00485428,0.58205241,0.49571931,0.00000000,0.53602149,0.54236960
-5.89794897,1.81085813,0.28645070,0.26565073,0.00503365,0.57222836,0.50918666,0.00000000,0.53231849,0.53463613
-5.89194597,1.82606269,0.29855567,0.27556991,0.00528851,0.56260938,0.52668645,0.00000000,0.53129143,0.52737003
-5.88594297,1.84724433,0.31360506,0.28693758,0.00562291,0.55339036,0.54830479,0.00000000,0.53322515,0.52073567
-5.87993997,1.87464852,0.33162583,0.29974087,0.00603985,0.54473392,0.57406612,0.00000000,0.53834370,0.51486602
-5.87393697,1.90837022,0.35260060,0.31393836,0.00654108,0.53676822,0.60392402,0.00000000,0.54680179,0.50985982
-5.86793397,1.94834276,0.37646110,0.32945818,0.00712694,0.52958596,0.63775291,0.00000000,0.55867788,0.50577993
-5.86193097,1.99433037,0.40308230,0.34619674,0.00779618,0.52324475,0.67534115,0.00000000,0.57396903,0.50265286
-5.85592796,2.04592523,0.43227774,0.36401827,0.00854588,0.51776847,0.71638603,0.00000000,0.59258782,0.50046950
-5.84992496,2.10254905,0.46379634,0.38275521,0.00937129,0.51314970,0.76049121,0.00000000,0.61436152,0.49918677
-5.84392196,2.16345971,0.49732120,0.40220972,0.01026583,0.50935285,0.80716713,0.00000000,0.63903359,0.49873042
-5.83791896,2.22776315,0.53247063,0.42215625,0.01122106,0.50631791,0.85583464,0.00000000,0.66626769,0.49899852
-5.83191596,2.29443046,0.56880165,0.44234533,0.01222673,0.50396463,0.90583223,0.00000000,0.69565413,0.49986581
-5.82591296,2.36232019,0.60581616,0.46250861,0.01327089,0.50219695,0.95642702,0.00000000,0.72671879,0.50118856
-5.81990995,2.43020558,0.64296973,0.48236496,0.01434006,0.50090757,1.00682928,0.00000000,0.75893433,0.50280996
-5.81390695,2.49680615,0.67968294,0.50162767,0.01541946,0.49998251,1.05621047,0.00000000,0.79173346,0.50456575
-5.80790395,2.56082302,0.71535500,0.52001245,0.01649324,0.49930551,1.10372421,0.00000000,0.82452401,0.50629014
-5.80190095,2.62097689,0.74937926,0.53724597,0.01754488,0.49876241,1.14852960,0.00000000,0.85670538,0.50782162
-5.79589795,2.67604749,0.78116008,0.55307461,0.01855750,0.49824505,1.18981602,0.00000000,0.88768582,0.50900870
-5.78989495,2.72491322,0.81013045,0.56727315,0.01951427,0.49765509,1.22682858,0.00000000,0.91690009,0.50971532
-5.78389195,2.76658930,0.83576964,0.57965278,0.02039883,0.49690734,1.25889300,0.00000000,0.94382685,0.50982583
-5.77788894,2.80026298,0.85762004,0.59006815,0.02119568,0.49593264,1.28543894,0.00000000,0.96800508,0.50924930
-5.77188594,2.82532403,0.87530271,0.59842309,0.02189062,0.49468039,1.30602062,0.00000000,0.98904904,0.50792305
-5.76588294,2.84138928,0.88853049,0.60467452,0.02247107,0.49312043,1.32033372,0.00000000,1.00666096,0.50581528
-5.75987994,2.84831957,0.89711849,0.60883438,0.02292644,0.49124430,1.32822764,0.00000000,1.02064106,0.50292660
-5.75387694,2.84622833,0.90099105,0.61096933,0.02324841,0.48906591,1.32971258,0.00000000,1.03089436,0.49929046
-5.74787394,2.83548100,0.90018507,0.61119818,0.02343113,0.48662141,1.32496070,0.00000000,1.03743392,0.49497231
-5.74187094,2.81668493,0.89484931,0.60968715,0.02347136,0.48396825,1.31430153,0.00000000,1.04038028,0.49006764
-5.73586793,2.79067006,0.88523985,0.60664294,0.02336854,0.48118350,1.29821137,0.00000000,1.03995709,0.48469867
-5.72986493,2.75846089,0.87171162,0.60230422,0.02312481,0.47836132,1.27729740,0.00000000,1.03648290,0.47901009
-5.72386193,2.72124074,0.85470663,0.59693162,0.02274487,0.47560964,1.25227687,0.00000000,1.03035956,0.47316373
-5.71785893,2.68030993,0.83473919,0.59079694,0.02223586,0.47304622,1.22395245,0.00000000,1.02205742,0.46733245
-5.71185593,2.63703936,0.81237889,0.58417198,0.02160712,0.47079403,1.19318469,0.00000000,1.01209812,0.46169355
-5.70585293,2.59282176,0.78823201,0.57731761,0.02086990,0.46897636,1.16086286,0.00000000,1.00103543,0.45642179
-5.69984992,2.54902256,0.76292220,0.57047366,0.02003706,0.46771157,1.12787534,0.00000000,0.98943515,0.45168248
-5.69384692,2.50693264,0.73707118,0.56384996,0.01912268,0.46710794,1.09508095,0.00000000,0.97785471,0.44762489
-5.68784392,2.46772492,0.71128034,0.55761926,0.01814170,0.46725877,1.06328217,0.00000000,0.96682342,0.44437621
-5.68184092,2.43241678,0.68611381,0.55191204,0.01710955,0.46823798,1.03320160,0.00000000,0.95682413,0.44203641
-5.67583792,2.40183980,0.66208376,0.54681362,0.01604174,0.47009645,1.00546227,0.00000000,0.94827722,0.44067431
-5.66983492,2.37661800,0.63963828,0.54236362,0.01495355,0.47285930,0.98057262,0.00000000,0.94152735,0.44032482
-5.66383192,2.35715536,0.61915228,0.53855762,0.01385968,0.47652439,0.95891654,0.00000000,0.93683364,0.44098779
-5.65782891,2.34363288,0.60092157,0.53535096,0.01277396,0.48106195,0.94074859,0.00000000,0.93436369,0.44262822
