energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,6.68896940,0.02485716,0.97762704,2.15284559,1.98544919,0.13792084,2.91714155,0.82383761,0.27004804
-5.99399700,6.72330787,0.02437492,0.94976445,2.20272491,1.95565332,0.13913020,2.97639967,0.84319377,0.27452284
-5.98799400,6.76780728,0.02396806,0.92532601,2.26092319,1.93171585,0.13992442,3.03746674,0.86479663,0.27906163
-5.98199100,6.82131335,0.02364669,0.90421674,2.32732339,1.91325111,0.14030021,3.09973556,0.88848333,0.28359615
-5.97598799,6.88255124,0.02341884,0.88627760,2.40167186,1.89979421,0.14026205,3.16260172,0.91404275,0.28806141
-5.96998499,6.95019432,0.02329050,0.87130296,2.48358273,1.89083941,0.13982255,3.22548448,0.94122118,0.29239841
-5.96398199,7.02293404,0.02326573,0.85905890,2.57254631,1.88587879,0.13900256,3.28784743,0.96972990,0.29655689
-5.95797899,7.09954765,0.02334674,0.84930151,2.66794102,1.88443953,0.13783090,3.34921814,0.99925428,0.30049774
-5.95197599,7.17896111,0.02353414,0.84179461,2.76904867,1.88611844,0.13634395,3.40920565,1.02946397,0.30419521
-5.94597299,7.26030420,0.02382708,0.83632608,2.87507247,1.89061206,0.13458488,3.46751520,1.06002371,0.30763863
-5.93996998,7.34295582,0.02422344,0.83272227,2.98515732,1.89774132,0.13260260,3.52395925,1.09060405,0.31083361
-5.93396698,7.42657743,0.02472003,0.83086006,3.09841172,1.90746970,0.13045063,3.57846426,1.12089167,0.31380264
-5.92796398,7.51113326,0.02531274,0.83067613,3.21393067,1.91991423,0.12818559,3.63107277,1.15059869,0.31658503
-5.92196098,7.59689643,0.02599659,0.83217319,3.33081878,1.93534887,0.12586572,3.68194058,1.17947062,0.31923615
-5.91595798,7.68444028,0.02676584,0.83542293,3.44821263,1.95419996,0.12354925,3.73132867,1.20729250,0.32182596
-5.90995498,7.77461515,0.02761403,0.84056555,3.56530169,1.97703396,0.12129272,3.77959034,1.23389317,0.32443679
-5.90395198,7.86851085,0.02853391,0.84780590,3.68134669,2.00453762,0.11914935,3.82715342,1.25914735,0.32716055
-5.89794897,7.96740577,0.02951748,0.85740623,3.79569460,2.03749112,0.11716745,3.87449838,1.28297562,0.33009521
-5.89194597,8.07270400,0.03055586,0.86967560,3.90778936,2.07673498,0.11538904,3.92213266,1.30534231,0.33334085
-5.88594297,8.18586210,0.03163932,0.88495640,4.01717768,2.12313155,0.11384850,3.97056218,1.32625141,0.33699526
