energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,9.57616628,0.80308853,2.99294745,0.01719812,0.92547754,2.08508749,1.07963395,0.09480406,3.19771550
-5.99399700,9.51173673,0.80051927,2.99712601,0.01701285,0.90850330,2.06769419,1.05899626,0.09456866,3.18032338
-5.98799400,9.43357040,0.79721423,2.99545666,0.01679537,0.89062785,2.04662054,1.03710116,0.09416966,3.15846548
-5.98199100,9.34161806,0.79320325,2.98763750,0.01654832,0.87201184,2.02192292,1.01413398,0.09361031,3.13205519
-5.97598799,9.23598831,0.78851908,2.97345349,0.01627460,0.85281984,1.99370427,0.99028713,0.09289576,3.10105615
-5.96998499,9.11695733,0.78319692,2.95278644,0.01597730,0.83321752,1.96211371,0.96575744,0.09203305,3.06548666
-5.96398199,8.98497430,0.77727386,2.92562222,0.01565964,0.81336857,1.92734498,0.94074342,0.09103116,3.02542285
-5.95797899,8.84066228,0.77078852,2.89205502,0.01532490,0.79343181,1.88963369,0.91544249,0.08990091,2.98100048
-5.95197599,8.68481488,0.76378074,2.85228858,0.01497638,0.77355824,1.84925375,0.89004826,0.08865496,2.93241540
-5.94597299,8.51838893,0.75629150,2.80663421,0.01461736,0.75388848,1.80651293,0.86474808,0.08730771,2.87992282
-5.93996998,8.34249365,0.74836291,2.75550605,0.01425104,0.73455062,1.76174790,0.83972076,0.08587514,2.82383533
-5.93396698,8.15837672,0.74003857,2.69941349,0.01388047,0.71565854,1.71531900,0.81513473,0.08437469,2.76451983
-5.92796398,7.96740792,0.73136399,2.63895121,0.01350858,0.69731086,1.66760472,0.79114658,0.08282499,2.70239348
-5.92196098,7.77106058,0.72238719,2.57478707,0.01313810,0.67959061,1.61899635,0.76790009,0.08124567,2.63791869
-5.91595798,7.57089151,0.71315948,2.50764837,0.01277157,0.66256555,1.56989263,0.74552575,0.07965699,2.57159725
-5.90995498,7.36851942,0.70373615,2.43830673,0.01241131,0.64628908,1.52069473,0.72414066,0.07807957,2.50396364
-5.90395198,7.16560232,0.69417717,2.36756217,0.01205946,0.63080174,1.47180134,0.70384887,0.07653395,2.43557761
-5.89794897,6.96381396,0.68454766,2.29622671,0.01171792,0.61613313,1.42360417,0.68474197,0.07504026,2.36701599
-5.89194597,6.76481941,0.67491815,2.22510788,0.01138839,0.60230401,1.37648350,0.66689982,0.07361780,2.29886388
-5.88594297,6.57025001,0.66536446,2.15499267,0.01107237,0.58932853,1.33080396,0.65039141,0.07228460,2.23170528
-5.87993997,6.38167792,0.65596710,2.08663224,0.01077117,0.57721625,1.28691039,0.63527547,0.07105707,2.16611324
-5.87393697,6.20059052,0.64681029,2.02072772,0.01048588,0.56597393,1.24512383,0.62160105,0.06994958,2.10263975
-5.86793397,6.02836509,0.63798054,1.95791750,0.01021739,0.55560680,1.20573742,0.60940766,0.06897416,2.04180568
-5.86193097,5.86624449,0.62956473,1.89876631,0.00996636,0.54611934,1.16901256,0.59872514,0.06814024,1.98409085
-5.85592796,5.71531445,0.62164799,1.84375642,0.00973325,0.53751533,1.13517513,0.58957318,0.06745434,1.92992485
-5.84992496,5.57648331,0.61431133,1.79328109,0.00951824,0.52979741,1.10441198,0.58196047,0.06692003,1.87967866
