energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.08431321,0.01409532,0.30878350,0.01881870,0.16796052,0.50017687,0.29120182
-5.99399700,1.20109602,0.01534480,0.34250554,0.02055642,0.18543009,0.55600327,0.32212375
-5.98799400,1.32285203,0.01660230,0.37775481,0.02233647,0.20351325,0.61452155,0.35430239
-5.98199100,1.44875959,0.01785538,0.41430717,0.02414641,0.22207015,0.67537662,0.38751785
-5.97598799,1.57790744,0.01909188,0.45191126,0.02597476,0.24094917,0.73816117,0.42152914
-5.96998499,1.70931443,0.02030037,0.49029360,0.02781156,0.25999074,0.80242302,0.45607978
-5.96398199,1.84195204,0.02147067,0.52916450,0.02964880,0.27903153,0.86767386,0.49090405
-5.95797899,1.97476881,0.02259428,0.56822455,0.03148094,0.29790896,0.93339921,0.52573359
-5.95197599,2.10671520,0.02366479,0.60717131,0.03330521,0.31646561,0.99906889,0.56030408
-5.94597299,2.23676779,0.02467818,0.64570581,0.03512180,0.33455356,1.06414769,0.59436151
-5.93996998,2.36395155,0.02563304,0.68353869,0.03693389,0.35203815,1.12810567,0.62766783
-5.93396698,2.48735882,0.02653062,0.72039545,0.03874749,0.36880120,1.19042759,0.66000558
-5.92796398,2.60616430,0.02737481,0.75602072,0.04057106,0.38474339,1.25062108,0.69118130
-5.92196098,2.71963516,0.02817194,0.79018124,0.04241492,0.39978569,1.30822325,0.72102749
-5.91595798,2.82713599,0.02893043,0.82266759,0.04429047,0.41386985,1.36280546,0.74940313
-5.90995498,2.92812856,0.02966035,0.85329447,0.04620927,0.42695785,1.41397625,0.77619277
-5.90395198,3.02216676,0.03037289,0.88189981,0.04818199,0.43903050,1.46138251,0.80130424
-5.89794897,3.10888747,0.03107971,0.90834280,0.05021726,0.45008520,1.50470901,0.82466534
-5.89194597,3.18799839,0.03179228,0.93250115,0.05232060,0.46013319,1.54367671,0.84621974
-5.88594297,3.25926403,0.03252126,0.95426786,0.05449331,0.46919633,1.57804021,0.86592250
-5.87993997,3.32249140,0.03327587,0.97354794,0.05673160,0.47730391,1.60758485,0.88373562
-5.87393697,3.37751666,0.03406331,0.99025540,0.05902585,0.48448952,1.63212396,0.89962403
-5.86793397,3.42419415,0.03488841,1.00431090,0.06136017,0.49078839,1.65149673,0.91355232
-5.86193097,3.46238900,0.03575327,1.01564027,0.06371225,0.49623525,1.66556702,0.92548268
-5.85592796,3.49197396,0.03665719,1.02417427,0.06605360,0.50086311,1.67422359,0.93537407
-5.84992496,3.51283112,0.03759663,1.02984947,0.06835003,0.50470275,1.67738179,0.94318294
-5.84392196,3.52485842,0.03856547,1.03261050,0.07056263,0.50778323,1.67498672,0.94886524
-5.83791896,3.52798060,0.03955528,1.03241340,0.07264890,0.51013308,1.66701785,0.95237988
-5.83191596,3.52216386,0.04055579,1.02922984,0.07456429,0.51178231,1.65349465,0.95369306
-5.82591296,3.50743294,0.04155545,1.02305202,0.07626387,0.51276485,1.63448304,0.95278343
-5.81990995,3.48388937,0.04254198,1.01389775,0.07770411,0.51312123,1.61010190,0.94964744
-5.81390695,3.45172925,0.04350301,1.00181532,0.07884471,0.51290131,1.58052930,0.94430452
-5.80790395,3.41125901,0.04442658,0.98688786,0.07965043,0.51216659,1.54600773,0.93680169
-5.80190095,3.36290766,0.04530170,0.96923654,0.08009268,0.51099211,1.50684785,0.92721702
-5.79589795,3.30723435,0.04611870,0.94902263,0.08015095,0.50946746,1.46343027,0.91566185
-5.78989495,3.24493030,0.04686949,0.92644788,0.07981396,0.50769693,1.41620506,0.90228126
-5.78389195,3.17681458,0.04754773,0.90175329,0.07908038,0.50579856,1.36568867,0.88725297
-5.77788894,3.10382383,0.04814877,0.87521623,0.07795932,0.50390225,1.31245836,0.87078439
-5.77188594,3.02699622,0.04866953,0.84714593,0.07647029,0.50214690,1.25714415,0.85310830
-5.76588294,2.94745063,0.04910829,0.81787783,0.07464292,0.50067679,1.20041865,0.83447716
-5.75987994,2.86636231,0.04946430,0.78776676,0.07251627,0.49963744,1.14298518,0.81515669
-5.75387694,2.78493646,0.04973744,0.75717978,0.07013784,0.49917126,1.08556469,0.79541890
-5.74787394,2.70438149,0.04992785,0.72648869,0.06756245,0.49941335,1.02888218,0.77553538
-5.74187094,2.62588374,0.05003558,0.69606293,0.06485080,0.50048771,0.97365314,0.75577104
-5.73586793,2.55058512,0.05006031,0.66626320,0.06206808,0.50250432,0.92057077,0.73637896
-5.72986493,2.47956516,0.05000117,0.63743605,0.05928250,0.50555732,0.87029445,0.71759655
-5.72386193,2.41382855,0.04985663,0.60990974,0.05656379,0.50972461,0.82344004,0.69964337
-5.71785893,2.35429869,0.04962464,0.58399150,0.05398192,0.51506886,0.78057222,0.68272068
-5.71185593,2.30181755,0.04930269,0.55996611,0.05160576,0.52164031,0.74219926,0.66701267
-5.70585293,2.25715148,0.04888819,0.53809578,0.04950202,0.52948102,0.70877010,0.65268926
-5.69984992,2.22100223,0.04837878,0.51862106,0.04773427,0.53863071,0.68067373,0.63991016
-5.69384692,2.19402208,0.04777278,0.50176237,0.04636204,0.54913378,0.65824062,0.62882972
-5.68784392,2.17683159,0.04706961,0.48772203,0.04544015,0.56104734,0.64174584,0.61960219
-5.68184092,2.17003834,0.04627026,0.47668605,0.04501800,0.57444974,0.63141335,0.61238687
-5.67583792,2.17425493,0.04537764,0.46882564,0.04513900,0.58944919,0.62742107,0.60735257
-5.66983492,2.19011450,0.04439687,0.46429788,0.04584001,0.60619193,0.62990604,0.60468098
-5.66383192,2.21828207,0.04333546,0.46324529,0.04715079,0.62486947,0.63896929,0.60456852
-5.65782891,2.25946056,0.04220339,0.46579432,0.04909340,0.64572424,0.65467984,0.60722637
-5.65182591,2.31439017,0.04101296,0.47205245,0.05168166,0.66905315,0.67707746,0.61287849
-5.64582291,2.38384063,0.03977859,0.48210419,0.05492054,0.69520869,0.70617389,0.62175760
