k_distance,band,energy_ev
0.00000000,0,-68.29985318
0.00000000,1,-68.29967606
0.00000000,2,-68.29967364
0.00000000,3,-68.26208343
0.00000000,4,-68.26187477
0.00000000,5,-68.26186719
0.00000000,6,-35.25893831
0.00000000,7,-35.25885599
0.00000000,8,-35.25885018
0.00000000,9,-34.91189102
0.00000000,10,-34.91184557
0.00000000,11,-34.91171034
0.00000000,12,-34.91170386
0.00000000,13,-34.91169017
0.00000000,14,-34.91168373
0.00000000,15,-34.84057402
0.00000000,16,-34.84054335
0.00000000,17,-34.84033234
0.00000000,18,-34.84033140
0.00000000,19,-34.84031962
0.00000000,20,-34.84031868
0.00000000,21,-34.81789277
0.00000000,22,-34.81758763
0.00000000,23,-34.81755163
0.00000000,24,-14.52515014
0.00000000,25,-14.38183291
0.00000000,26,-14.38147006
0.00000000,27,-13.84336447
0.00000000,28,-13.84302585
0.00000000,29,-13.56814952
0.00000000,30,-11.85836734
0.00000000,31,-11.64576214
0.00000000,32,-11.64562473
0.00000000,33,-7.18649918
0.00000000,34,-7.18644004
0.00000000,35,-6.80299914
0.00000000,36,-4.71640496
0.00000000,37,-4.71638179
0.00000000,38,-4.71621219
0.00000000,39,-4.71620823
0.00000000,40,-4.71368793
0.00000000,41,-4.71367864
0.00000000,42,-4.57859895
0.00000000,43,-3.68389223
0.00000000,44,-3.68316440
0.00000000,45,-2.05490572
0.00000000,46,-2.05490108
0.00000000,47,-2.03079461
0.00000000,48,-2.03041208
0.00000000,49,-2.02172789
0.00000000,50,-2.02171556
0.00000000,51,-2.02078354
0.00000000,52,-2.02077516
0.00000000,53,-0.83025980
0.00000000,54,-0.53503326
0.00000000,55,-0.53494987
0.00000000,56,-0.53490081
0.00000000,57,-0.53484067
0.00000000,58,-0.53056706
0.00000000,59,-0.53054950
0.00000000,60,-0.12785642
0.00000000,61,-0.12782064
0.00000000,62,-0.12743761
0.00000000,63,-0.12741064
0.00000000,64,-0.09728802
0.00000000,65,-0.04239851
0.00000000,66,-0.04239460
0.00000000,67,0.39076017
0.00000000,68,0.39089126
0.00000000,69,1.97523195
0.00000000,70,1.97525560
0.00000000,71,1.98232353
0.00000000,72,1.98236935
0.00000000,73,1.98297277
0.00000000,74,1.98301212
0.00000000,75,2.24926427
0.00000000,76,2.24965391
0.00000000,77,2.30225430
0.00000000,78,3.13051791
0.00000000,79,3.13051803
0.01785714,0,-68.29977087
0.01785714,1,-68.29959366
0.01785714,2,-68.29959138
0.01785714,3,-68.26205357
0.01785714,4,-68.26184490
0.01785714,5,-68.26183739
0.01785714,6,-35.25859640
0.01785714,7,-35.25851438
0.01785714,8,-35.25850793
0.01785714,9,-34.91371635
0.01785714,10,-34.91353105
0.01785714,11,-34.91352557
0.01785714,12,-34.91229690
0.01785714,13,-34.91214585
0.01785714,14,-34.91213874
0.01785714,15,-34.84158116
0.01785714,16,-34.84133804
0.01785714,17,-34.84133530
0.01785714,18,-34.84066004
0.01785714,19,-34.84043949
0.01785714,20,-34.84043592
0.01785714,21,-34.81736514
0.01785714,22,-34.81705851
0.01785714,23,-34.81702778
0.01785714,24,-14.51951614
0.01785714,25,-14.37618265
0.01785714,26,-14.37581989
0.01785714,27,-13.83961883
0.01785714,28,-13.83927935
0.01785714,29,-13.56473615
0.01785714,30,-11.85770838
0.01785714,31,-11.64606263
0.01785714,32,-11.64592268
0.01785714,33,-7.17933900
0.01785714,34,-7.17924876
0.01785714,35,-6.79622968
0.01785714,36,-4.79982547
0.01785714,37,-4.73172521
0.01785714,38,-4.73136540
0.01785714,39,-4.71358421
0.01785714,40,-4.71290777
0.01785714,41,-4.71065460
0.01785714,42,-4.49162053
0.01785714,43,-3.67185339
0.01785714,44,-3.67066377
0.01785714,45,-2.14230139
0.01785714,46,-2.13815857
0.01785714,47,-2.08364737
0.01785714,48,-2.05347268
0.01785714,49,-2.02372263
0.01785714,50,-2.01606482
0.01785714,51,-1.92994464
0.01785714,52,-1.92586278
0.01785714,53,-0.82790466
0.01785714,54,-0.59604799
0.01785714,55,-0.59218257
0.01785714,56,-0.58753719
0.01785714,57,-0.58373182
0.01785714,58,-0.57856695
0.01785714,59,-0.57230475
0.01785714,60,-0.16051131
0.01785714,61,-0.13517629
0.01785714,62,-0.11216661
0.01785714,63,-0.09185500
0.01785714,64,-0.06773460
0.01785714,65,-0.00524858
0.01785714,66,0.04392880
0.01785714,67,0.42213132
0.01785714,68,0.42287148
0.01785714,69,1.97365249
0.01785714,70,1.98160435
0.01785714,71,1.98223597
0.01785714,72,1.98257825
0.01785714,73,1.98890856
0.01785714,74,1.99000345
0.01785714,75,2.26777442
0.01785714,76,2.26850612
0.01785714,77,2.32064268
0.01785714,78,3.13218604
0.01785714,79,3.13478457
0.03571429,0,-68.29952055
0.03571429,1,-68.29934333
0.03571429,2,-68.29934093
0.03571429,3,-68.26196206
0.03571429,4,-68.26175326
0.03571429,5,-68.26174621
0.03571429,6,-35.25757051
0.03571429,7,-35.25748979
0.03571429,8,-35.25747975
0.03571429,9,-34.91907072
0.03571429,10,-34.91888617
0.03571429,11,-34.91887848
0.03571429,12,-34.91360595
0.03571429,13,-34.91345460
0.03571429,14,-34.91344840
0.03571429,15,-34.84461660
0.03571429,16,-34.84437354
0.03571429,17,-34.84436909
0.03571429,18,-34.84098438
0.03571429,19,-34.84076388
0.03571429,20,-34.84075933
0.03571429,21,-34.81590061
0.03571429,22,-34.81559481
0.03571429,23,-34.81556485
0.03571429,24,-14.50264996
0.03571429,25,-14.35923121
