energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,1.19104224,0.00323132,0.04113497,0.18393155,0.06583943,0.19518868,0.30936100,0.04338008,0.59348836
-5.99399700,1.19432977,0.00346195,0.04311768,0.18615631,0.06361435,0.18840398,0.31466174,0.04504321,0.59146519
-5.98799400,1.19992388,0.00381001,0.04508305,0.18847042,0.06210629,0.18261656,0.31978178,0.04658370,0.59069343
-5.98199100,1.20747272,0.00428329,0.04703219,0.19081243,0.06131953,0.17774055,0.32462874,0.04798482,0.59096429
-5.97598799,1.21677357,0.00489060,0.04897566,0.19315389,0.06126314,0.17370572,0.32914844,0.04923703,0.59213631
-5.96998499,1.22779223,0.00564148,0.05093395,0.19550319,0.06195185,0.17046191,0.33332983,0.05033832,0.59414557
-5.96398199,1.24067663,0.00654593,0.05293789,0.19790840,0.06340667,0.16798271,0.33720831,0.05129448,0.59701305
-5.95797899,1.25576357,0.00761404,0.05502867,0.20045904,0.06565515,0.16626816,0.34086711,0.05211888,0.60084869
-5.95197599,1.27357838,0.00885571,0.05725767,0.20328668,0.06873136,0.16534652,0.34443678,0.05283219,0.60585190
-5.94597299,1.29482737,0.01028020,0.05968602,0.20656432,0.07267562,0.16527483,0.34809263,0.05346169,0.61230855
-5.93996998,1.32038319,0.01189584,0.06238387,0.21050451,0.07753380,0.16613840,0.35205033,0.05404037,0.62058442
-5.93396698,1.35126396,0.01370960,0.06542952,0.21535627,0.08335657,0.16804918,0.35655988,0.05460586,0.63111543
-5.92796398,1.38860673,0.01572676,0.06890826,0.22140098,0.09019830,0.17114319,0.36189807,0.05519914,0.64439507
-5.92196098,1.43363669,0.01795064,0.07291115,0.22894710,0.09811599,0.17557689,0.36835996,0.05586319,0.66095956
-5.91595798,1.48763313,0.02038233,0.07753365,0.23832416,0.10716803,0.18152289,0.37624960,0.05664156,0.68137133
-5.90995498,1.55189350,0.02302049,0.08287418,0.24987589,0.11741309,0.18916497,0.38587039,0.05757697,0.70620140
-5.90395198,1.62769686,0.02586124,0.08903264,0.26395282,0.12890900,0.19869258,0.39751555,0.05870995,0.73601141
-5.89794897,1.71626788,0.02889818,0.09610887,0.28090442,0.14171181,0.21029507,0.41145894,0.06007765,0.77133574
-5.89194597,1.81874223,0.03212238,0.10420117,0.30107084,0.15587487,0.22415562,0.42794649,0.06171273,0.81266441
-5.88594297,1.93613427,0.03552256,0.11340475,0.32477464,0.17144808,0.24044517,0.44718871,0.06364251,0.86042703
-5.87993997,2.06930745,0.03908527,0.12381013,0.35231226,0.18847722,0.25931637,0.46935408,0.06588830,0.91497823
-5.87393697,2.21894775,0.04279517,0.13550150,0.38394570,0.20700321,0.28089767,0.49456370,0.06846489,0.97658473
-5.86793397,2.38554016,0.04663531,0.14855505,0.41989421,0.22706138,0.30528765,0.52288712,0.07138029,1.04541422
-5.86193097,2.56934821,0.05058743,0.16303709,0.46032629,0.24868052,0.33254967,0.55433930,0.07463563,1.12152601
-5.85592796,2.77039620,0.05463228,0.17900208,0.50535212,0.27188170,0.36270696,0.58887861,0.07822515,1.20486352
