energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.60068814,0.00953093,0.06716664,0.58363721,0.16765155,0.02333989,0.76409999,0.64577203,0.13686012
-5.99399700,1.56296794,0.00917987,0.06677957,0.56737835,0.16326679,0.02275396,0.74262755,0.62732218,0.13469480
-5.98799400,1.52823821,0.00882639,0.06648373,0.55217194,0.15927481,0.02219330,0.72295568,0.61108142,0.13253762
-5.98199100,1.49709951,0.00848016,0.06632248,0.53818052,0.15573684,0.02167798,0.70532961,0.59717467,0.13045193
-5.97598799,1.47010545,0.00815127,0.06633585,0.52554971,0.15270890,0.02122633,0.68997229,0.58570281,0.12849929
-5.96998499,1.44775185,0.00785013,0.06655917,0.51440688,0.15024075,0.02085457,0.67708123,0.57674267,0.12673797
-5.96398199,1.43046697,0.00758724,0.06702193,0.50486005,0.14837498,0.02057637,0.66682566,0.57034712,0.12522149
-5.95797899,1.41860334,0.00737312,0.06774683,0.49699710,0.14714618,0.02040266,0.65934409,0.56654516,0.12399744
-5.95197599,1.41243150,0.00721806,0.06874911,0.49088532,0.14658042,0.02034151,0.65474235,0.56534203,0.12310639
-5.94597299,1.41213577,0.00713196,0.07003628,0.48657130,0.14669490,0.02039808,0.65309230,0.56671951,0.12258117
-5.93996998,1.41781238,0.00712422,0.07160810,0.48408125,0.14749779,0.02057479,0.65443111,0.57063627,0.12244630
-5.93396698,1.42946971,0.00720347,0.07345691,0.48342152,0.14898835,0.02087150,0.65876117,0.57702844,0.12271769
-5.92796398,1.44703075,0.00737748,0.07556831,0.48457957,0.15115725,0.02128581,0.66605065,0.58581021,0.12340271
-5.92196098,1.47033730,0.00765293,0.07792210,0.48752496,0.15398709,0.02181346,0.67623451,0.59687460,0.12450029
-5.91595798,1.49915571,0.00803531,0.08049338,0.49221052,0.15745299,0.02244873,0.68921593,0.61009426,0.12600140
-5.90995498,1.53318370,0.00852874,0.08325390,0.49857349,0.16152337,0.02318484,0.70486802,0.62532233,0.12788958
-5.90395198,1.57205777,0.00913587,0.08617339,0.50653653,0.16616070,0.02401442,0.72303558,0.64239325,0.13014164
-5.89794897,1.61536082,0.00985773,0.08922097,0.51600850,0.17132230,0.02492987,0.74353699,0.66112359,0.13272843
-5.89194597,1.66262942,0.01069367,0.09236639,0.52688492,0.17696105,0.02592367,0.76616585,0.68131280,0.13561561
-5.88594297,1.71336053,0.01164127,0.09558118,0.53904818,0.18302599,0.02698865,0.79069252,0.70274391,0.13876451
-5.87993997,1.76701721,0.01269631,0.09883951,0.55236733,0.18946282,0.02811815,0.81686534,0.72518427,0.14213281
-5.87393697,1.82303330,0.01385275,0.10211878,0.56669759,0.19621422,0.02930605,0.84441163,0.74838624,0.14567531
-5.86793397,1.88081694,0.01510276,0.10539995,0.58187964,0.20322007,0.03054672,0.87303858,0.77208804,0.14934451
-5.86193097,1.93975309,0.01643673,0.10866741,0.59773882,0.21041748,0.03183489,0.90243391,0.79601474,0.15309113
-5.85592796,1.99920523,0.01784339,0.11190868,0.61408435,0.21774073,0.03316543,0.93226671,0.81987949,0.15686463
