energy_ev,total_up,Al_p_up,Al_d_up,Au_p_up,Au_d_up,S_s_up,S_p_up
-6.00000000,3.16982859,0.38743437,0.00000000,0.40344361,2.21075077,0.01524864,0.28921630
-5.99399700,3.27935758,0.40126951,0.00000000,0.41519084,2.30006626,0.01558881,0.29356793
-5.98799400,3.38852764,0.41510259,0.00000000,0.42703575,2.38912239,0.01593640,0.29770654
-5.98199100,3.49608385,0.42879298,0.00000000,0.43882960,2.47694721,0.01628531,0.30154947
-5.97598799,3.60065885,0.44218640,0.00000000,0.45040247,2.56249350,0.01662890,0.30501322
-5.96998499,3.70079667,0.45511741,0.00000000,0.46156668,2.64465670,0.01696008,0.30801451
-5.96398199,3.79498318,0.46741264,0.00000000,0.47212123,2.72229741,0.01727154,0.31047164
-5.95797899,3.88168247,0.47889461,0.00000000,0.48185728,2.79426787,0.01755593,0.31230621
-5.95197599,3.95937834,0.48938607,0.00000000,0.49056432,2.85944182,0.01780606,0.31344515
-5.94597299,4.02661919,0.49871482,0.00000000,0.49803701,2.91674682,0.01801510,0.31382283
-5.93996998,4.08206498,0.50671859,0.00000000,0.50408225,2.96519776,0.01817686,0.31338339
-5.93396698,4.12453411,0.51325011,0.00000000,0.50852616,3.00393042,0.01828596,0.31208298
-5.92796398,4.15304848,0.51818183,0.00000000,0.51122088,3.03223363,0.01833802,0.30989191
-5.92196098,4.16687450,0.52141043,0.00000000,0.51205064,3.04957861,0.01832988,0.30679640
-5.91595798,4.16555831,0.52286065,0.00000000,0.51093691,3.05564420,0.01825973,0.30280010
-5.90995498,4.14895334,0.52248843,0.00000000,0.50784254,3.05033672,0.01812719,0.29792489
-5.90395198,4.11723886,0.52028313,0.00000000,0.50277438,3.03380338,0.01793344,0.29221124
-5.89794897,4.07092839,0.51626883,0.00000000,0.49578453,3.00643862,0.01768117,0.28571778
-5.89194597,4.01086739,0.51050448,0.00000000,0.48697009,2.96888263,0.01737465,0.27852025
-5.88594297,3.93821998,0.50308297,0.00000000,0.47647123,2.92201218,0.01701956,0.27070970
-5.87993997,3.85444513,0.49412921,0.00000000,0.46446793,2.86692369,0.01662295,0.26239017
-5.87393697,3.76126296,0.48379705,0.00000000,0.45117531,2.80490917,0.01619305,0.25367576
-5.86793397,3.66061248,0.47226547,0.00000000,0.43683789,2.73742583,0.01573909,0.24468730
-5.86193097,3.55460224,0.45973389,0.00000000,0.42172286,2.66606033,0.01527106,0.23554882
-5.85592796,3.44545570,0.44641698,0.00000000,0.40611284,2.59248897,0.01479948,0.22638379
-5.84992496,3.33545344,0.43253906,0.00000000,0.39029819,2.51843521,0.01433516,0.21731158
-5.84392196,3.22687412,0.41832838,0.00000000,0.37456936,2.44562596,0.01388890,0.20844400
-5.83791896,3.12193626,0.40401140,0.00000000,0.35920942,2.37574808,0.01347126,0.19988231
-5.83191596,3.02274291,0.38980738,0.00000000,0.34448713,2.31040640,0.01309233,0.19171464
-5.82591296,2.93123065,0.37592338,0.00000000,0.33065068,2.25108471,0.01276147,0.18401406
-5.81990995,2.84912462,0.36254990,0.00000000,0.31792234,2.19911055,0.01248711,0.17683725
-5.81390695,2.77790057,0.34985719,0.00000000,0.30649417,2.15562493,0.01227660,0.17022392
-5.80790395,2.71875488,0.33799249,0.00000000,0.29652476,2.12155752,0.01213605,0.16419681
-5.80190095,2.67258297,0.32707804,0.00000000,0.28813722,2.09760790,0.01207022,0.15876240
-5.79589795,2.63996634,0.31721006,0.00000000,0.28141819,2.08423307,0.01208243,0.15391211
-5.78989495,2.62116826,0.30845854,0.00000000,0.27641805,2.08164138,0.01217455,0.14962408
-5.78389195,2.61613763,0.30086789,0.00000000,0.27315203,2.08979283,0.01234695,0.14586520
-5.77788894,2.62452074,0.29445834,0.00000000,0.27160225,2.10840540,0.01259856,0.14259347
-5.77188594,2.64568007,0.28922788,0.00000000,0.27172053,2.13696732,0.01292688,0.13976049
-5.76588294,2.67871960,0.28515481,0.00000000,0.27343183,2.17475462,0.01332810,0.13731389
-5.75987994,2.72251555,0.28220063,0.00000000,0.27663810,2.22085361,0.01379716,0.13519978
-5.75387694,2.77575182,0.28031320,0.00000000,0.28122255,2.27418765,0.01432789,0.13336492
-5.74787394,2.83695909,0.27942998,0.00000000,0.28705405,2.33354756,0.01491316,0.13175875
-5.74187094,2.90455655,0.27948133,0.00000000,0.29399158,2.39762485,0.01554503,0.13033496
-5.73586793,2.97689530,0.28039367,0.00000000,0.30188864,2.46504709,0.01621491,0.12905289
-5.72986493,3.05230224,0.28209238,0.00000000,0.31059742,2.53441438,0.01691375,0.12787840
-5.72386193,3.12912334,0.28450442,0.00000000,0.31997266,2.60433609,0.01763221,0.12678449
-5.71785893,3.20576523,0.28756056,0.00000000,0.32987514,2.67346672,0.01836086,0.12575153
-5.71185593,3.28073374,0.29119708,0.00000000,0.34017456,2.74053983,0.01909032,0.12476715
-5.70585293,3.35266854,0.29535703,0.00000000,0.35075197,2.80439901,0.01981147,0.12382587
-5.69984992,3.42037245,0.29999090,0.00000000,0.36150145,2.86402488,0.02051556,0.12292846
-5.69384692,3.48283485,0.30505671,0.00000000,0.37233112,2.91855694,0.02119435,0.12208105
