energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up
-6.00000000,12.59629485,3.39023296,7.92359895,0.06356673,1.05099109,2.13250142,0.64594115,0.03949967,2.16129301
-5.99399700,12.48369185,3.36856854,7.86771466,0.06339827,1.04111853,2.08517821,0.64098629,0.03781200,2.12737499
-5.98799400,12.38442931,3.34468316,7.82103594,0.06305510,1.03190637,2.03854734,0.63783890,0.03629911,2.09736135
-5.98199100,12.29988277,3.31913679,7.78410036,0.06253653,1.02329037,1.99380993,0.63659786,0.03497069,2.07187419
-5.97598799,12.23140151,3.29252954,7.75743763,0.06184537,1.01520669,1.95218173,0.63735081,0.03383552,2.05151162
-5.96998499,12.18031154,3.26550021,7.74157858,0.06098793,1.00759684,1.91487073,0.64017306,0.03290110,2.03683846
-5.96398199,12.14791611,3.23872435,7.73706166,0.05997390,1.00041274,1.88305342,0.64512658,0.03217345,2.02837670
-5.95797899,12.13549150,3.21291105,7.74443526,0.05881617,0.99362169,1.85785021,0.65225879,0.03165683,2.02659559
-5.95197599,12.14427618,3.18879808,7.76425444,0.05753057,0.98721080,1.84030038,0.66160120,0.03135361,2.03190139
-5.94597299,12.17545189,3.16714460,7.79707126,0.05613556,0.98119060,1.83133697,0.67316790,0.03126417,2.04462690
-5.93996998,12.23011578,3.14872136,7.84341801,0.05465179,0.97559737,1.83176231,0.68695379,0.03138688,2.06502112
-5.93396698,12.30924378,3.13429813,7.90378371,0.05310177,0.97049412,1.84222488,0.70293280,0.03171809,2.09323912
-5.92796398,12.41364618,3.12462837,7.97858448,0.05150934,0.96596992,1.86319827,0.72105591,0.03225223,2.12933275
-5.92196098,12.54391712,3.12043161,8.06812930,0.04989929,0.96213751,1.89496308,0.74124934,0.03298188,2.17324252
-5.91595798,12.70038084,3.12237391,8.17258296,0.04829683,0.95912931,1.93759260,0.76341288,0.03389794,2.22479116
-5.90995498,12.88303777,3.13104738,8.29192867,0.04672720,0.95709190,1.99094314,0.78741859,0.03498981,2.28367956
-5.90395198,13.09151425,3.14694938,8.42593279,0.04521517,0.95617929,2.05464954,0.81310999,0.03624556,2.34948524
-5.89794897,13.32501954,3.17046274,8.57411444,0.04378469,0.95654521,2.12812670,0.84030198,0.03765216,2.42166417
-5.89194597,13.58231378,3.20183785,8.73572234,0.04245850,0.95833495,2.21057729,0.86878151,0.03919566,2.49955592
-5.88594297,13.86169006,3.24117774,8.90972117,0.04125774,0.96167708,2.30100590,0.89830916,0.04086149,2.58239253
-5.87993997,14.16097301,3.28842721,9.09478899,0.04020167,0.96667555,2.39823956,0.92862170,0.04263458,2.66931091
