energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.57350607,0.03896124,0.00000000,0.29191154,0.00000000,0.26124447,0.07106771
-5.99399700,0.59748916,0.03910637,0.00000000,0.30859860,0.00000000,0.26599739,0.07339337
-5.98799400,0.62681171,0.03928422,0.00000000,0.32862280,0.00000000,0.27164679,0.07651871
-5.98199100,0.66217692,0.03954913,0.00000000,0.35237962,0.00000000,0.27844884,0.08050018
-5.97598799,0.70429242,0.03995972,0.00000000,0.38026518,0.00000000,0.28666552,0.08538999
-5.96998499,0.75385225,0.04057752,0.00000000,0.41266639,0.00000000,0.29655718,0.09123447
-5.96398199,0.81151694,0.04146552,0.00000000,0.44994985,0.00000000,0.30837459,0.09807231
-5.95797899,0.87789205,0.04268659,0.00000000,0.49244989,0.00000000,0.32235106,0.10593276
-5.95197599,0.95350595,0.04430186,0.00000000,0.54045597,0.00000000,0.33869456,0.11483382
-5.94597299,1.03878741,0.04636899,0.00000000,0.59419990,0.00000000,0.35758048,0.12478051
-5.93996998,1.13404381,0.04894056,0.00000000,0.65384314,0.00000000,0.37914494,0.13576341
-5.93396698,1.23944069,0.05206242,0.00000000,0.71946478,0.00000000,0.40347918,0.14775737
-5.92796398,1.35498339,0.05577220,0.00000000,0.79105057,0.00000000,0.43062503,0.16072061
-5.92196098,1.48050169,0.06009790,0.00000000,0.86848349,0.00000000,0.46057160,0.17459423
-5.91595798,1.61563812,0.06505674,0.00000000,0.95153637,0.00000000,0.49325350,0.18930215
-5.90995498,1.75984053,0.07065416,0.00000000,1.03986698,0.00000000,0.52855040,0.20475156
-5.90395198,1.91235979,0.07688309,0.00000000,1.13301605,0.00000000,0.56628806,0.22083388
-5.89794897,2.07225284,0.08372358,0.00000000,1.23040847,0.00000000,0.60624088,0.23742620
-5.89194597,2.23839155,0.09114262,0.00000000,1.33135816,0.00000000,0.64813573,0.25439316
-5.88594297,2.40947760,0.09909444,0.00000000,1.43507644,0.00000000,0.69165704,0.27158938
-5.87993997,2.58406319,0.10752101,0.00000000,1.54068426,0.00000000,0.73645301,0.28886212
