energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.22954752,0.35694328,0.41830728,0.00491361,0.01850659,0.01054794,0.78549479,0.15841414,0.07295251
-5.99399700,1.23972803,0.35124359,0.43537115,0.00482246,0.01815738,0.01008878,0.78959414,0.15337102,0.07250432
-5.98799400,1.25523680,0.34707017,0.45453108,0.00471338,0.01795120,0.00963219,0.79698243,0.14849662,0.07237144
-5.98199100,1.27620503,0.34459152,0.47572983,0.00458679,0.01789905,0.00917898,0.80777724,0.14382528,0.07257385
-5.97598799,1.30276266,0.34398981,0.49889664,0.00444372,0.01801170,0.00873040,0.82210119,0.13939852,0.07313367
-5.96998499,1.33503770,0.34545980,0.52394673,0.00428572,0.01829968,0.00828823,0.84008132,0.13526521,0.07407499
-5.96398199,1.37315335,0.34920675,0.55078064,0.00411487,0.01877307,0.00785480,0.86184691,0.13148151,0.07542351
-5.95797899,1.41722330,0.35544299,0.57928363,0.00393371,0.01944138,0.00743302,0.88752588,0.12811023,0.07720589
-5.95197599,1.46734508,0.36438347,0.60932522,0.00374519,0.02031327,0.00702635,0.91723974,0.12521981,0.07944887
-5.94597299,1.52359213,0.37624008,0.64075893,0.00355257,0.02139616,0.00663872,0.95109746,0.12288290,0.08217819
-5.93996998,1.58600479,0.39121521,0.67342254,0.00335938,0.02269591,0.00627451,0.98918852,0.12117454,0.08541734
-5.93396698,1.65458091,0.40949443,0.70713880,0.00316929,0.02421628,0.00593841,1.03157555,0.12017010,0.08918618
-5.92796398,1.72926670,0.43123886,0.74171685,0.00298604,0.02595850,0.00563535,1.07828692,0.11994301,0.09349950
-5.92196098,1.80994817,0.45657740,0.77695423,0.00281335,0.02792075,0.00537035,1.12930979,0.12056242,0.09836566
-5.91595798,1.89644399,0.48559914,0.81263964,0.00265486,0.03009766,0.00514843,1.18458390,0.12209085,0.10378520
-5.90995498,1.98850002,0.51834640,0.84855630,0.00251402,0.03247987,0.00497447,1.24399657,0.12458198,0.10974969
-5.90395198,2.08578589,0.55480862,0.88448575,0.00239406,0.03505367,0.00485313,1.30737906,0.12807862,0.11624077
-5.89794897,2.18789399,0.59491748,0.92021202,0.00229789,0.03780072,0.00478870,1.37450462,0.13261101,0.12322946
-5.89194597,2.29434077,0.63854348,0.95552598,0.00222811,0.04069787,0.00478504,1.44508831,0.13819541,0.13067577
-5.88594297,2.40457055,0.68549429,0.99022949,0.00218690,0.04371723,0.00484547,1.51878858,0.14483318,0.13852873
-5.87993997,2.51796155,0.73551485,1.02413929,0.00217608,0.04682626,0.00497270,1.59521063,0.15251023,0.14672669
-5.87393697,2.63383397,0.78828948,1.05709031,0.00219701,0.04998819,0.00516877,1.67391140,0.16119701,0.15519810
-5.86793397,2.75145979,0.84344592,1.08893820,0.00225061,0.05316252,0.00543496,1.75440604,0.17084886,0.16386263
-5.86193097,2.87007387,0.90056122,1.11956099,0.00233738,0.05630575,0.00577178,1.83617546,0.18140696,0.17263261
-5.85592796,2.98888603,0.95916934,1.14885964,0.00245738,0.05937219,0.00617889,1.91867494,0.19279955,0.18141478
-5.84992496,3.10709352,1.01877028,1.17675756,0.00261023,0.06231507,0.00665506,2.00134321,0.20494361,0.19011234
-5.84392196,3.22389356,1.07884032,1.20319909,0.00279513,0.06508756,0.00719813,2.08361188,0.21774687,0.19862711
-5.83791896,3.33849543,1.13884319,1.22814692,0.00301089,0.06764403,0.00780503,2.16491477,0.23110997,0.20686183
-5.83191596,3.45013183,1.19824157,1.25157872,0.00325596,0.06994124,0.00847167,2.24469682,0.24492891,0.21472249
-5.82591296,3.55806904,1.25650867,1.27348310,0.00352843,0.07193952,0.00919303,2.32242241,0.25909746,0.22212052
-5.81990995,3.66161566,1.31313939,1.29385511,0.00382608,0.07360391,0.00996308,2.39758269,0.27350965,0.22897496
-5.81390695,3.76012982,1.36766066,1.31269158,0.00414643,0.07490521,0.01077487,2.46970177,0.28806207,0.23521427
-5.80790395,3.85302445,1.41964056,1.32998652,0.00448676,0.07582077,0.01162053,2.53834162,0.30265601,0.24077789
-5.80190095,3.93977088,1.46869588,1.34572684,0.00484415,0.07633519,0.01249136,2.60310557,0.31719928,0.24561746
-5.79589795,4.01990052,1.51449795,1.35988867,0.00521556,0.07644078,0.01337787,2.66364031,0.33160767,0.24969764
-5.78989495,4.09300489,1.55677645,1.37243437,0.00559785,0.07613771,0.01426996,2.71963660,0.34580597,0.25299642
-5.78389195,4.15873414,1.59532119,1.38331055,0.00598781,0.07543400,0.01515700,2.77082853,0.35972844,0.25550513
-5.77788894,4.21679420,1.62998183,1.39244710,0.00638224,0.07434523,0.01602804,2.81699170,0.37331888,0.25722792
-5.77188594,4.26694312,1.66066567,1.39975734,0.00677796,0.07289402,0.01687194,2.85794047,0.38653004,0.25818097
-5.76588294,4.30898659,1.68733373,1.40513930,0.00717185,0.07110927,0.01767759,2.89352448,0.39932263,0.25839124
-5.75987994,4.34277347,1.70999538,1.40847808,0.00756087,0.06902532,0.01843415,2.92362486,0.41166387,0.25789512
-5.75387694,4.36819128,1.72870189,1.40964921,0.00794210,0.06668090,0.01913120,2.94815029,0.42352567,0.25673670
-5.74787394,4.38516238,1.74353924,1.40852288,0.00831269,0.06411803,0.01975903,2.96703344,0.43488253,0.25496612
-5.74187094,4.39364101,1.75462080,1.40496892,0.00866993,0.06138086,0.02030879,2.98022791,0.44570940,0.25263779
-5.73586793,4.39361166,1.76208011,1.39886219,0.00901119,0.05851456,0.02077270,2.98770607,0.45597946,0.24980868
-5.72986493,4.38508880,1.76606433,1.39008839,0.00933392,0.05556420,0.02114423,2.98945804,0.46566216,0.24653680
-5.72386193,4.36811833,1.76672864,1.37854987,0.00963568,0.05257377,0.02141825,2.98549189,0.47472160,0.24287982
-5.71785893,4.34278078,1.76423202,1.36417131,0.00991406,0.04958533,0.02159112,2.97583534,0.48311530,0.23889400
-5.71185593,4.30919601,1.75873453,1.34690510,0.01016671,0.04663821,0.02166078,2.96053874,0.49079367,0.23463331
-5.70585293,4.26752954,1.75039624,1.32673607,0.01039133,0.04376853,0.02162677,2.93967947,0.49770015,0.23014900
-5.69984992,4.21799987,1.73937790,1.30368558,0.01058568,0.04100870,0.02149025,2.91336736,0.50377209,0.22548929
-5.69384692,4.16088666,1.72584306,1.27781461,0.01074759,0.03838724,0.02125396,2.88175104,0.50894237,0.22069946
-5.68784392,4.09653903,1.70996165,1.24922596,0.01087499,0.03592865,0.02092209,2.84502459,0.51314182,0.21582210
-5.68184092,4.02538335,1.69191441,1.21806514,0.01096597,0.03365344,0.02050024,2.80343431,0.51630215,0.21089758
-5.67583792,3.94793005,1.67189796,1.18452025,0.01101880,0.03157831,0.01999521,2.75728471,0.51835948,0.20596459
-5.66983492,3.86477833,1.65012983,1.14882052,0.01103202,0.02971634,0.01941487,2.70694350,0.51925800,0.20106074
-5.66383192,3.77661850,1.62685297,1.11123364,0.01100449,0.02807727,0.01876797,2.65284471,0.51895386,0.19622314
-5.65782891,3.68423081,1.60233921,1.07206190,0.01093547,0.02666782,0.01806391,2.59548957,0.51741873,0.19148879
-5.65182591,3.58848065,1.57689102,1.03163721,0.01082468,0.02549201,0.01731257,2.53544454,0.51464302,0.18689490
-5.64582291,3.49030937,1.55084124,0.99031507,0.01067238,0.02455140,0.01652408,2.47333617,0.51063839,0.18247893
-5.63981991,3.39072059,1.52455030,0.94846759,0.01047937,0.02384535,0.01570862,2.40984255,0.50543934,0.17827829
-5.63381691,3.29076218,1.49840088,0.90647593,0.01024707,0.02337118,0.01487619,2.34568131,0.49910383,0.17432992
-5.62781391,3.19150390,1.47278979,0.86472197,0.00997751,0.02312435,0.01403651,2.28159417,0.49171268,0.17066938
-5.62181091,3.09401143,1.44811735,0.82357990,0.00967331,0.02309841,0.01319875,2.21832869,0.48336781,0.16732988
-5.61580790,2.99931762,1.42477457,0.78340758,0.00933766,0.02328508,0.01237148,2.15661749,0.47418933,0.16434093
-5.60980490,2.90839192,1.40312866,0.74453822,0.00897424,0.02367416,0.01156245,2.09715587,0.46431159,0.16172698
-5.60380190,2.82210935,1.38350746,0.70727241,0.00858719,0.02425346,0.01077857,2.04057881,0.45387838,0.15950585
-5.59779890,2.74122042,1.36618385,0.67187109,0.00818095,0.02500869,0.01002580,1.98743829,0.44303755,0.15768738
-5.59179590,2.66632354,1.35136069,0.63854939,0.00776019,0.02592337,0.00930907,1.93818219,0.43193531,0.15627201
-5.58579290,2.59784139,1.33915757,0.60747188,0.00732968,0.02697882,0.00863231,1.89313591,0.42071048,0.15524980
-5.57978989,2.53600266,1.32960002,0.57874917,0.00689418,0.02815411,0.00799838,1.85248773,0.40948917,0.15459958
-5.57378689,2.48083047,1.32261209,0.55243638,0.00645828,0.02942620,0.00740915,1.81627903,0.39838002,0.15428868
-5.56778389,2.43213836,1.31801303,0.52853316,0.00602636,0.03077006,0.00686550,1.78439993,0.38747037,0.15427305
-5.56178089,2.38953444,1.31551846,0.50698570,0.00560241,0.03215900,0.00636739,1.75659110,0.37682355,0.15449790
-5.55577789,2.35243411,1.31474627,0.48769044,0.00519001,0.03356502,0.00591395,1.73245178,0.36647741,0.15489890
-5.54977489,2.32008089,1.31522740,0.47049952,0.00479225,0.03495933,0.00550355,1.71145406,0.35644429,0.15540380
-5.54377189,2.29157502,1.31642103,0.45522769,0.00441168,0.03631292,0.00513393,1.69296293,0.34671220,0.15593464
