energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.02247201,1.03908536,0.44856587,0.00085536,0.36789716,0.00461451,0.93836007,0.54549010,0.20257639
-5.99399700,2.06463754,1.04926957,0.45794595,0.00094044,0.37166802,0.00456220,0.95779408,0.55389187,0.20670611
-5.98799400,2.11576712,1.06202940,0.46955086,0.00104250,0.37689664,0.00451388,0.98119011,0.56412110,0.21221220
-5.98199100,2.17613477,1.07735593,0.48346354,0.00116188,0.38368804,0.00446925,1.00864952,0.57623595,0.21918545
-5.97598799,2.24582963,1.09521220,0.49971660,0.00129875,0.39212530,0.00442861,1.04018196,0.59024680,0.22769228
-5.96998499,2.32474054,1.11553328,0.51828778,0.00145316,0.40226582,0.00439275,1.07569971,0.60611448,0.23777165
-5.96398199,2.41254682,1.13822723,0.53909701,0.00162495,0.41413797,0.00436279,1.11501548,0.62375053,0.24943261
-5.95797899,2.50871627,1.16317716,0.56200540,0.00181382,0.42773878,0.00434008,1.15784380,0.64301934,0.26265262
-5.95197599,2.61251063,1.19024447,0.58681620,0.00201929,0.44303238,0.00432608,1.20380617,0.66374227,0.27737663
-5.94597299,2.72299874,1.21927302,0.61327794,0.00224067,0.45994968,0.00432224,1.25243991,0.68570364,0.29351697
-5.93996998,2.83907727,1.25009446,0.64108964,0.00247714,0.47838918,0.00432990,1.30321040,0.70865830,0.31095418
-5.93396698,2.95949827,1.28253413,0.66990789,0.00272768,0.49821903,0.00435021,1.35552628,0.73234059,0.32953861
-5.92796398,3.08290271,1.31641739,0.69935588,0.00299110,0.51928023,0.00438408,1.40875705,0.75647411,0.34909290
-5.92196098,3.20785879,1.35157608,0.72903369,0.00326609,0.54139101,0.00443212,1.46225224,0.78078210,0.36941525
-5.91595798,3.33290345,1.38785440,0.75852989,0.00355120,0.56435220,0.00449465,1.51536143,0.80499766,0.39028338
-5.90995498,3.45658531,1.42511405,0.78743361,0.00384487,0.58795328,0.00457171,1.56745418,0.82887360,0.41145912
-5.90395198,3.57750745,1.46323801,0.81534695,0.00414543,0.61197914,0.00466303,1.61793893,0.85219106,0.43269351
-5.89794897,3.69436791,1.50213261,0.84189704,0.00445115,0.63621690,0.00476817,1.66628012,0.87476684,0.45373233
-5.89194597,3.80599637,1.54172780,0.86674725,0.00476023,0.66046285,0.00488650,1.71201260,0.89645876,0.47432172
-5.88594297,3.91138530,1.58197509,0.88960721,0.00507083,0.68452887,0.00501731,1.75475290,0.91716883,0.49421402
-5.87993997,4.00971418,1.62284357,0.91024107,0.00538107,0.70824825,0.00515988,1.79420669,0.93684415,0.51317341
-5.87393697,4.10036595,1.66431380,0.92847373,0.00568904,0.73148046,0.00531357,1.83017220,0.95547532,0.53098129
-5.86793397,4.18293482,1.70637005,0.94419474,0.00599283,0.75411468,0.00547787,1.86253963,0.97309253,0.54744117
