energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,2.50846882,-2.74451731,0.59270441,-1.21600913,1.07592193,-0.74774332,0.00586127,-0.01764498,0.44333212,-0.60106844,0.01471418,-0.01985419,0.95227198,-1.12741177,0.48716698,-0.51470512,0.11247916,-0.09858269
-5.99399700,2.46667226,-2.64190175,0.59571016,-1.16428552,1.06187263,-0.74101741,0.00555923,-0.01630823,0.44617074,-0.59907917,0.01453133,-0.01857496,0.92539881,-1.06167829,0.47219801,-0.48231242,0.10954869,-0.09192825
-5.98799400,2.41745596,-2.53785223,0.59794204,-1.11396160,1.04343498,-0.73218200,0.00533764,-0.01498319,0.44743761,-0.59559113,0.01437030,-0.01728733,0.89623206,-0.99675678,0.45565835,-0.45036458,0.10636559,-0.08544069
-5.98199100,2.36186348,-2.43255044,0.59936805,-1.06490790,1.02102953,-0.72106551,0.00519835,-0.01368372,0.44713922,-0.59034063,0.01423954,-0.01600589,0.86536053,-0.93307203,0.43784074,-0.41910861,0.10299952,-0.07917355
-5.97598799,2.30106425,-2.32620624,0.59997239,-1.01697483,0.99512717,-0.70755095,0.00514287,-0.01242227,0.44529304,-0.58310172,0.01414825,-0.01474422,0.83343566,-0.87102189,0.41907433,-0.38877448,0.09952750,-0.07317509
-5.96998499,2.23631165,-2.21907929,0.59975198,-0.97001324,0.96623345,-0.69158453,0.00517225,-0.01120967,0.44192561,-0.57369797,0.01410595,-0.01351471,0.80114916,-0.81097844,0.39971352,-0.35957444,0.09603116,-0.06748822
-5.96398199,2.16890054,-2.11149567,0.59871365,-0.92389263,0.93487310,-0.67318119,0.00528699,-0.01005509,0.43707115,-0.56201165,0.01412206,-0.01232841,0.76920966,-0.75328864,0.38012634,-0.33170222,0.09259400,-0.06215045
-5.95797899,2.10012589,-2.00385857,0.59687227,-0.87851598,0.90157517,-0.65242704,0.00548698,-0.00896594,0.43077071,-0.54799015,0.01420537,-0.01119491,0.73831938,-0.69827443,0.36068285,-0.30533246,0.08929859,-0.05719402
-5.95197599,2.03124391,-1.89665259,0.59424971,-0.83383082,0.86685942,-0.62947853,0.00577133,-0.00794794,0.42307182,-0.53164932,0.01436366,-0.01012233,0.70915144,-0.64623220,0.34174382,-0.28062007,0.08622377,-0.05264600
-5.94597299,1.96343675,-1.79044191,0.59087433,-0.78983600,0.83122423,-0.60455860,0.00613833,-0.00700512,0.41402875,-0.51307368,0.01460318,-0.00911730,0.68232871,-0.59743174,0.32365025,-0.25769965,0.08344215,-0.04852839
-5.93996998,1.89778193,-1.68586243,0.58678110,-0.74658438,0.79513645,-0.57794995,0.00658529,-0.00613999,0.40370300,-0.49241360,0.01492830,-0.00818498,0.65840479,-0.55211470,0.30671390,-0.23668509,0.08101780,-0.04485832
-5.93396698,1.83522681,-1.58360902,0.58201184,-0.70418143,0.75902328,-0.54998606,0.00710850,-0.00535362,0.39216419,-0.46987982,0.01534118,-0.00732916,0.63784773,-0.51049287,0.29120915,-0.21766916,0.07900424,-0.04164827
-5.92796398,1.77656885,-1.48441855,0.57661552,-0.66278041,0.72326621,-0.52104033,0.00770314,-0.00464588,0.37949093,-0.44573562,0.01584146,-0.00655236,0.62102688,-0.47274626,0.27736634,-0.20072337,0.07744284,-0.03890624
-5.92196098,1.72244149,-1.38905035,0.57064830,-0.62257445,0.68819704,-0.49151403,0.00836326,-0.00401557,0.36577168,-0.42028719,0.01642617,-0.00585596,0.60820311,-0.43902148,0.26536670,-0.18589804,0.07636170,-0.03663601
