energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.98647427,0.01046687,0.14148926,0.27312255,0.68927146,1.14707444,0.03959015,0.62098105
-5.99399700,2.09037008,0.01120106,0.14925018,0.28827796,0.73146273,1.20754418,0.04105670,0.65142151
-5.98799400,2.18616189,0.01190570,0.15646115,0.30226711,0.77132651,1.26345961,0.04230080,0.67910316
-5.98199100,2.27240834,0.01256956,0.16301291,0.31484910,0.80824427,1.31399629,0.04330124,0.70360202
-5.97598799,2.34782986,0.01318182,0.16880701,0.32580295,0.84164438,1.35841902,0.04404155,0.72455217
-5.96998499,2.41134968,0.01373236,0.17375897,0.33493466,0.87102021,1.39610510,0.04451047,0.74165790
-5.96398199,2.46212942,0.01421213,0.17780115,0.34208360,0.89594705,1.42656453,0.04470233,0.75470373
-5.95797899,2.49959744,0.01461343,0.18088510,0.34712792,0.91609666,1.44945643,0.04461724,0.76356191
-5.95197599,2.52346863,0.01493021,0.18298333,0.34998880,0.93124900,1.46460051,0.04426102,0.76819703
-5.94597299,2.53375439,0.01515828,0.18409030,0.35063323,0.94130019,1.47198323,0.04364503,0.76866735
-5.93996998,2.53076223,0.01529543,0.18422267,0.34907526,0.94626636,1.47175817,0.04278573,0.76512285
-5.93396698,2.51508472,0.01534155,0.18341880,0.34537551,0.94628300,1.46424035,0.04170414,0.75779987
-5.92796398,2.48757807,0.01529861,0.18173739,0.33963915,0.94159979,1.44989489,0.04042514,0.74701265
-5.92196098,2.44933114,0.01517054,0.17925535,0.33201219,0.93257099,1.42932010,0.03897660,0.73314193
-5.91595798,2.40162613,0.01496313,0.17606509,0.32267642,0.91964190,1.40322594,0.03738854,0.71662132
-5.90995498,2.34589251,0.01468374,0.17227123,0.31184315,0.90333187,1.37240856,0.03569215,0.69792172
-5.90395198,2.28365639,0.01434103,0.16798689,0.29974610,0.88421470,1.33772212,0.03391889,0.67753468
-5.89794897,2.21648730,0.01394463,0.16332982,0.28663357,0.86289751,1.30004907,0.03209958,0.65595531
-5.89194597,2.14594490,0.01350475,0.15841842,0.27276053,0.83999881,1.26027023,0.03026357,0.63366553
-5.88594297,2.07352795,0.01303183,0.15336800,0.25838074,0.81612720,1.21923591,0.02843799,0.61111832
-5.87993997,2.00062769,0.01253615,0.14828728,0.24373931,0.79186142,1.17773951,0.02664717,0.58872368
-5.87393697,1.92848774,0.01202748,0.14327542,0.22906602,0.76773297,1.13649459,0.02491213,0.56683686
-5.86793397,1.85817217,0.01151480,0.13841962,0.21456966,0.74421188,1.09611640,0.02325030,0.54574934
-5.86193097,1.79054292,0.01100602,0.13379350,0.20043351,0.72169644,1.05710876,0.02167528,0.52568287
-5.85592796,1.72624746,0.01050777,0.12945620,0.18681221,0.70050724,1.01985660,0.02019687,0.50678670
-5.84992496,1.66571686,0.01002535,0.12545227,0.17382989,0.68088557,0.98462443,0.01882115,0.48913813
-5.84392196,1.60917405,0.00956259,0.12181236,0.16157979,0.66299622,0.95156064,0.01755072,0.47274613
-5.83791896,1.55665149,0.00912192,0.11855454,0.15012512,0.64693429,0.92070727,0.01638501,0.45755781
-5.83191596,1.50801706,0.00870443,0.11568626,0.13950103,0.63273537,0.89201447,0.01532076,0.44346730
-5.82591296,1.46300648,0.00831002,0.11320672,0.12971761,0.62038843,0.86535890,0.01435243,0.43032654
-5.81990995,1.42126057,0.00793755,0.11110952,0.12076367,0.60985044,0.84056504,0.01347277,0.41795742
-5.81390695,1.38236505,0.00758508,0.10938541,0.11261101,0.60106176,0.81742803,0.01267333,0.40616462
-5.80790395,1.34589094,0.00725007,0.10802497,0.10521900,0.59396131,0.79573711,0.01194498,0.39474849
-5.80190095,1.31143335,0.00692967,0.10702103,0.09853922,0.58850044,0.77529821,0.01127839,0.38351745
-5.79589795,1.27864692,0.00662088,0.10637066,0.09251999,0.58465471,0.75595474,0.01066449,0.37229930
