energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.70310816,-0.70387053,0.25806675,-0.25828284,0.03646030,-0.03651188,0.15946831,-0.15969166,0.09464353,-0.09472271,0.00010735,-0.00010878,0.08778229,-0.08782593,0.00502769,-0.00504147,0.34777804,-0.34826519
-5.99399700,0.66853329,-0.66934298,0.24651262,-0.24675117,0.03461956,-0.03467381,0.15061956,-0.15085028,0.08982691,-0.08991426,0.00009695,-0.00009825,0.08367996,-0.08373381,0.00472244,-0.00473593,0.33042441,-0.33092818
-5.98799400,0.63283765,-0.63367789,0.23408366,-0.23433905,0.03276371,-0.03281965,0.14185323,-0.14208688,0.08481090,-0.08490415,0.00008775,-0.00008894,0.07930610,-0.07936831,0.00441723,-0.00443035,0.31262760,-0.31313918
-5.98199100,0.59669575,-0.59754878,0.22102560,-0.22129193,0.03093198,-0.03098861,0.13330376,-0.13353576,0.07969583,-0.07979249,0.00007962,-0.00008070,0.07474383,-0.07481243,0.00411567,-0.00412834,0.29472289,-0.29523301
-5.97598799,0.56081893,-0.56166646,0.20759509,-0.20786633,0.02916559,-0.02922194,0.12511538,-0.12534107,0.07458499,-0.07468242,0.00007245,-0.00007343,0.07007959,-0.07015257,0.00382169,-0.00383381,0.27706441,-0.27756362
-5.96998499,0.52593807,-0.52676174,0.19405316,-0.19432325,0.02750687,-0.02756202,0.11743856,-0.11765337,0.06958208,-0.06967757,0.00006617,-0.00006707,0.06540092,-0.06547624,0.00353933,-0.00355079,0.26001666,-0.26049549
-5.96398199,0.49278694,-0.49356873,0.18065894,-0.18092194,0.02599845,-0.02605154,0.11042650,-0.11062601,0.06478896,-0.06487978,0.00006075,-0.00006156,0.06079438,-0.06087008,0.00327266,-0.00328335,0.24394627,-0.24439551
-5.95797899,0.46208663,-0.46280917,0.16766392,-0.16791413,0.02468249,-0.02473275,0.10423163,-0.10441162,0.06030363,-0.06038707,0.00005617,-0.00005690,0.05634367,-0.05641787,0.00302562,-0.00303545,0.22921433,-0.22962514
-5.95197599,0.43453132,-0.43517826,0.15530690,-0.15553892,0.02359988,-0.02364666,0.09900226,-0.09915882,0.05621845,-0.05629191,0.00005241,-0.00005307,0.05212798,-0.05219893,0.00280197,-0.00281086,0.21616931,-0.21653337
-5.94597299,0.41077576,-0.41133196,0.14380972,-0.14401857,0.02278965,-0.02283243,0.09487942,-0.09500899,0.05261882,-0.05267978,0.00004950,-0.00005009,0.04822060,-0.04828671,0.00260518,-0.00261304,0.20514073,-0.20545037
-5.93996998,0.39142431,-0.39187606,0.13337390,-0.13355503,0.02228822,-0.02232662,0.09199392,-0.09209335,0.04958201,-0.04962810,0.00004744,-0.00004797,0.04468788,-0.04474774,0.00243834,-0.00244512,0.19643357,-0.19668185
-5.93396698,0.37702161,-0.37735674,0.12417803,-0.12432741,0.02212891,-0.02216271,0.09046359,-0.09053015,0.04717636,-0.04720533,0.00004625,-0.00004672,0.04158842,-0.04164082,0.00230418,-0.00230981,0.19032340,-0.19050418
-5.92796398,0.36804462,-0.36825268,0.11637612,-0.11649027,0.02234132,-0.02237044,0.09039066,-0.09042209,0.04546066,-0.04547044,0.00004595,-0.00004638,0.03897259,-0.03901655,0.00220496,-0.00220939,0.18705216,-0.18716015
