energy_ev,total_up,Au_p_up,Au_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,7.80670516,0.80121144,3.87159001,0.80170778,0.81490413,0.01724652,0.54488093,0.04435270,2.33758758
-5.99399700,7.92781122,0.81447394,3.95672792,0.80705864,0.83045512,0.01712938,0.55545091,0.04403526,2.35657692
-5.98799400,8.09019605,0.83156306,4.06231840,0.81677288,0.85051799,0.01705051,0.56852503,0.04388066,2.38920735
-5.98199100,8.29543882,0.85259245,4.18900687,0.83106194,0.87527114,0.01700991,0.58421410,0.04390281,2.43611309
-5.97598799,8.54411743,0.87757257,4.33694225,0.85006445,0.90478099,0.01700633,0.60256396,0.04411011,2.49761433
-5.96998499,8.83578782,0.90640998,4.50576552,0.87384376,0.93900081,0.01703745,0.62355263,0.04450544,2.57371120
-5.96398199,9.16899228,0.93890994,4.69461266,0.90238680,0.97777279,0.01710014,0.64708947,0.04508616,2.66408630
-5.95797899,9.54129553,0.97478229,4.90213154,0.93560446,1.02083328,0.01719078,0.67301647,0.04584440,2.76811523
-5.95197599,9.94934640,1.01365026,5.12651177,0.97333305,1.06782085,0.01730554,0.70111144,0.04676748,2.88488440
-5.94597299,10.38896209,1.05506184,5.36552618,1.01533685,1.11828676,0.01744078,0.73109294,0.04783841,3.01321534
-5.93996998,10.85523178,1.09850322,5.61658236,1.06131133,1.17170744,0.01759331,0.76262693,0.04903659,3.15169435
-5.93396698,11.34263559,1.14341382,5.87678233,1.11088717,1.22749857,0.01776074,0.79533466,0.05033848,3.29870663
-5.92796398,11.84517506,1.18920228,6.14298843,1.16363475,1.28503019,0.01794167,0.82880166,0.05171846,3.45247360
-5.92196098,12.35651126,1.23526299,6.41189340,1.21906914,1.34364248,0.01813590,0.86258754,0.05314955,3.61109267
-5.91595798,12.87010663,1.28099256,6.68009269,1.27665555,1.40266175,0.01834450,0.89623621,0.05460429,3.77257812
-5.90995498,13.37936709,1.32580569,6.94415722,1.33581530,1.46141620,0.01856990,0.92928643,0.05605549,3.93490258
-5.90395198,13.87778119,1.36915019,7.20070471,1.39593236,1.51925108,0.01881578,0.96128216,0.05747696,4.09603794
-5.89794897,14.35905342,1.41052045,7.44646831,1.45636058,1.57554300,0.01908695,0.99178274,0.05884418,4.25399519
-5.89194597,14.81722910,1.44946941,7.67836096,1.51643159,1.62971290,0.01938916,1.02037248,0.06013491,4.40686231
-5.88594297,15.24680880,1.48561843,7.89353446,1.57546359,1.68123770,0.01972885,1.04666955,0.06132966,4.55283982
-5.87993997,15.64285020,1.51866510,8.08943226,1.63277094,1.72966013,0.02011280,1.07033404,0.06241215,4.69027317
-5.87393697,16.00105601,1.54838866,8.26383510,1.68767456,1.77459674,0.02054780,1.09107497,0.06336955,4.81768160
-5.86793397,16.31784632,1.57465309,8.41489895,1.73951300,1.81574383,0.02104030,1.10865617,0.06419269,4.93378285
-5.86193097,16.59041434,1.59740769,8.54118451,1.78765397,1.85288129,0.02159600,1.12290095,0.06487618,5.03751328
-5.85592796,16.81676444,1.61668525,8.64167804,1.83150610,1.88587411,0.02221953,1.13369544,0.06541837,5.12804296
-5.84992496,16.99573188,1.63259779,8.71580302,1.87053055,1.91467170,0.02291408,1.14099056,0.06582123,5.20478520
-5.84392196,17.12698357,1.64533004,8.76342260,1.90425211,1.93930484,0.02368112,1.14480258,0.06609016,5.26740043
-5.83791896,17.21099982,1.65513072,8.78483266,1.93226924,1.95988053,0.02452015,1.14521225,0.06623369,5.31579393
