energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.83759794,0.01130346,0.01454262,1.46749120,3.06463950,0.42954366,0.08117720,1.02715498,0.00000000
-5.99399700,3.92651137,0.01185653,0.01440736,1.51102120,3.12756354,0.44930529,0.08359226,1.05443450,0.00000000
-5.98799400,4.00817931,0.01240646,0.01421273,1.55210089,3.18328516,0.46929013,0.08596683,1.08077657,0.00000000
-5.98199100,4.08339310,0.01294746,0.01396600,1.59084048,3.23255645,0.48943090,0.08831587,1.10631845,0.00000000
-5.97598799,4.15321899,0.01347330,0.01367517,1.62738016,3.27644373,0.50963589,0.09065438,1.13120174,0.00000000
-5.96998499,4.21894145,0.01397736,0.01334876,1.66187426,3.31628076,0.52978589,0.09299608,1.15555749,0.00000000
-5.96398199,4.28199611,0.01445269,0.01299541,1.69447528,3.35360915,0.54973251,0.09535223,1.17949179,0.00000000
-5.95797899,4.34389538,0.01489212,0.01262364,1.72531865,3.39010847,0.56929803,0.09773042,1.20307281,0.00000000
-5.95197599,4.40615025,0.01528838,0.01224153,1.75450923,3.42751907,0.58827700,0.10013367,1.22631993,0.00000000
-5.94597299,4.47019182,0.01563429,0.01185652,1.78211006,3.46756123,0.60643944,0.10255955,1.24919559,0.00000000
-5.93996998,4.53729634,0.01592292,0.01147517,1.80813423,3.51185424,0.62353580,0.10499977,1.27160032,0.00000000
-5.93396698,4.60851719,0.01614784,0.01110305,1.83254000,3.56183915,0.63930329,0.10743982,1.29337115,0.00000000
-5.92796398,4.68462709,0.01630331,0.01074462,1.85522965,3.61870893,0.65347337,0.10985912,1.31428362,0.00000000
-5.92196098,4.76607300,0.01638448,0.01040321,1.87605189,3.68334910,0.66578017,0.11223124,1.33405703,0.00000000
-5.91595798,4.85294602,0.01638761,0.01008105,1.89480768,3.75629172,0.67596931,0.11452463,1.35236295,0.00000000
-5.90995498,4.94496729,0.01631022,0.00977930,1.91125899,3.83768474,0.68380676,0.11670339,1.36883627,0.00000000
-5.90395198,5.04149064,0.01615120,0.00949816,1.92514005,3.92727803,0.68908735,0.11872840,1.38308837,0.00000000
-5.89794897,5.14152144,0.01591094,0.00923699,1.93617028,4.02442663,0.69164243,0.12055855,1.39472170,0.00000000
-5.89194597,5.24375066,0.01559132,0.00899450,1.94406820,4.12811075,0.69134639,0.12215211,1.40334508,0.00000000
-5.88594297,5.34660233,0.01519571,0.00876887,1.94856554,4.23697144,0.68812175,0.12346815,1.40858898,0.00000000
-5.87993997,5.44829183,0.01472891,0.00855790,1.94942070,4.34935990,0.68194254,0.12446794,1.41012002,0.00000000
-5.87393697,5.54689220,0.01419700,0.00835923,1.94643094,4.46339794,0.67283587,0.12511631,1.40765422,0.00000000
-5.86793397,5.64040523,0.01360722,0.00817040,1.93944260,4.57704651,0.66088158,0.12538289,1.40096827,0.00000000
-5.86193097,5.72683394,0.01296774,0.00798902,1.92835901,4.68817895,0.64621019,0.12524320,1.38990847,0.00000000
-5.85592796,5.80425317,0.01228742,0.00781287,1.91314566,4.79465552,0.62899905,0.12467948,1.37439706,0.00000000
-5.84992496,5.87087520,0.01157558,0.00763992,1.89383254,4.89439585,0.60946710,0.12368134,1.35443572,0.00000000
-5.84392196,5.92510770,0.01084177,0.00746845,1.87051370,4.98544609,0.58786834,0.12224615,1.33010620,0.00000000
-5.83791896,5.96560182,0.01009546,0.00729701,1.84334411,5.06603823,0.56448449,0.12037912,1.30156821,0.00000000
-5.83191596,5.99128877,0.00934586,0.00712446,1.81253432,5.13463921,0.53961700,0.11809318,1.26905473,0.00000000
-5.82591296,6.00140409,0.00860168,0.00694994,1.77834316,5.18998848,0.51357890,0.11540853,1.23286513,0.00000000
-5.81990995,5.99549914,0.00787093,0.00677284,1.74106907,5.23112305,0.48668669,0.11235210,1.19335631,0.00000000
-5.81390695,5.97344043,0.00716082,0.00659280,1.70104062,5.25738992,0.45925269,0.10895665,1.15093255,0.00000000
-5.80790395,5.93539756,0.00647760,0.00640963,1.65860675,5.26844630,0.43157805,0.10525986,1.10603428,0.00000000
-5.80190095,5.88182133,0.00582650,0.00622330,1.61412725,5.26424880,0.40394660,0.10130327,1.05912647,0.00000000
-5.79589795,5.81341383,0.00521172,0.00603391,1.56796396,5.24503293,0.37661978,0.09713111,1.01068692,0.00000000
-5.78989495,5.73109249,0.00463640,0.00584166,1.52047301,5.21128494,0.34983268,0.09278920,0.96119497,0.00000000
-5.78389195,5.63595042,0.00410268,0.00564684,1.47199854,5.16370786,0.32379129,0.08832384,0.91112103,0.00000000
-5.77788894,5.52921497,0.00361177,0.00544979,1.42286791,5.10318407,0.29867092,0.08378074,0.86091715,0.00000000
-5.77188594,5.41220671,0.00316401,0.00525098,1.37338852,5.03073630,0.27461566,0.07920411,0.81100894,0.00000000
-5.76588294,5.28630043,0.00275901,0.00505092,1.32384634,4.94748901,0.25173894,0.07463589,0.76178893,0.00000000
-5.75987994,5.15288969,0.00239573,0.00485023,1.27450580,4.85463187,0.23012488,0.07011501,0.71361155,0.00000000
-5.75387694,5.01335601,0.00207263,0.00464967,1.22561105,4.75338655,0.20983041,0.06567698,0.66678965,0.00000000
-5.74787394,4.86904340,0.00178778,0.00445009,1.17738821,4.64497799,0.19088792,0.06135346,0.62159252,0.00000000
-5.74187094,4.72123865,0.00153899,0.00425250,1.13004845,4.53061066,0.17330828,0.05717215,0.57824538,0.00000000
-5.73586793,4.57115743,0.00132387,0.00405807,1.08379145,4.41145019,0.15708406,0.05315666,0.53693006,0.00000000
-5.72986493,4.41993591,0.00114002,0.00386810,1.03880917,4.28861042,0.14219287,0.04932663,0.49778678,0.00000000
-5.72386193,4.26862742,0.00098501,0.00368406,0.99528942,4.16314557,0.12860057,0.04569787,0.46091678,0.00000000
-5.71785893,4.11820365,0.00085654,0.00350753,0.95341921,4.03604708,0.11626433,0.04228260,0.42638565,0.00000000
-5.71185593,3.96955931,0.00075243,0.00334022,0.91338757,3.90824456,0.10513539,0.03908976,0.39422703,0.00000000
-5.70585293,3.82351974,0.00067073,0.00318391,0.87538772,3.78060994,0.09516150,0.03612535,0.36444663,0.00000000
