energy_ev,total_up,Os_p_up,Os_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,2.22514430,0.79084000,1.32299018,0.53675429,0.02299947,0.64086801,0.00000000
-5.99399700,2.33809252,0.81760699,1.39797914,0.58284920,0.02444472,0.64769697,0.00000000
-5.98799400,2.46308751,0.84806340,1.48033600,0.63322964,0.02598432,0.65688893,0.00000000
-5.98199100,2.59907308,0.88201303,1.56936309,0.68750378,0.02760352,0.66832310,0.00000000
-5.97598799,2.74490117,0.91926128,1.66429643,0.74525226,0.02928664,0.68185749,0.00000000
-5.96998499,2.89934784,0.95962410,1.76431444,0.80603213,0.03101727,0.69733303,0.00000000
-5.96398199,3.06112917,1.00293591,1.86854700,0.86938116,0.03277837,0.71457728,0.00000000
-5.95797899,3.22891643,1.04905584,1.97608438,0.93482261,0.03455249,0.73340745,0.00000000
-5.95197599,3.40135034,1.09787197,2.08598631,1.00187038,0.03632193,0.75363256,0.00000000
-5.94597299,3.57705432,1.14930288,2.19729101,1.07003437,0.03806889,0.77505489,0.00000000
-5.93996998,3.75464653,1.20329660,2.30902420,1.13882618,0.03977564,0.79747076,0.00000000
-5.93396698,3.93275082,1.25982648,2.42020823,1.20776472,0.04142470,0.82067066,0.00000000
-5.92796398,4.11000675,1.31888441,2.52987122,1.27638182,0.04299905,0.84443913,0.00000000
-5.92196098,4.28507865,1.38047139,2.63705647,1.34422751,0.04448224,0.86855456,0.00000000
-5.91595798,4.45666424,1.44458607,2.74083187,1.41087485,0.04585865,0.89278909,0.00000000
-5.90995498,4.62350279,1.51121171,2.84029962,1.47592409,0.04711369,0.91690895,0.00000000
-5.90395198,4.78438313,1.58030235,2.93460598,1.53900610,0.04823398,0.94067538,0.00000000
-5.89794897,4.93815175,1.65176887,3.02295102,1.59978483,0.04920757,0.96384634,0.00000000
-5.89194597,5.08372091,1.72546591,3.10459831,1.65795882,0.05002421,0.98617897,0.00000000
-5.88594297,5.22007701,1.80118023,3.17888419,1.71326165,0.05067551,1.00743294,0.00000000
-5.87993997,5.34628894,1.87862144,3.24522658,1.76546132,0.05115518,1.02737446,0.00000000
-5.87393697,5.46151640,1.95741556,3.30313280,1.81435865,0.05145918,1.04578094,0.00000000
-5.86793397,5.56501794,2.03710202,3.35220647,1.85978480,0.05158594,1.06244601,0.00000000
-5.86193097,5.65615838,2.11713427,3.39215280,1.90159801,0.05153643,1.07718466,0.00000000
-5.85592796,5.73441533,2.19688425,3.42278238,1.93967972,0.05131425,1.08983823,0.00000000
-5.84992496,5.79938443,2.27565051,3.44401298,1.97393035,0.05092566,1.10027894,0.00000000
-5.84392196,5.85078303,2.35266972,3.45586927,2.00426489,0.05037955,1.10841376,0.00000000
-5.83791896,5.88845193,2.42713127,3.45848046,2.03060855,0.04968733,1.11418725,0.00000000
-5.83191596,5.91235493,2.49819406,3.45207561,2.05289277,0.04886277,1.11758331,0.00000000
-5.82591296,5.92257617,2.56500517,3.43697678,2.07105166,0.04792173,1.11862559,0.00000000
-5.81990995,5.91931502,2.62671931,3.41359027,2.08501927,0.04688194,1.11737654,0.00000000
-5.81390695,5.90287860,2.68251846,3.38239584,2.09472773,0.04576255,1.11393510,0.00000000
-5.80790395,5.87367228,2.73163099,3.34393454,2.10010647,0.04458380,1.10843299,0.00000000
-5.80190095,5.83218810,2.77334939,3.29879534,2.10108251,0.04336653,1.10102992,0.00000000
-5.79589795,5.77899180,2.80704628,3.24760094,2.09758207,0.04213170,1.09190767,0.00000000
-5.78989495,5.71470878,2.83218805,3.19099334,2.08953326,0.04089992,1.08126345,0.00000000
-5.78389195,5.64000950,2.84834591,3.12961955,2.07686998,0.03969094,1.06930270,0.00000000
-5.77788894,5.55559503,2.85520416,3.06411797,2.05953669,0.03852318,1.05623171,0.00000000
-5.77188594,5.46218316,2.85256555,2.99510585,2.03749417,0.03741326,1.04225026,0.00000000
-5.76588294,5.36049577,2.84035396,2.92316833,2.01072571,0.03637562,1.02754473,0.00000000
-5.75987994,5.25124794,2.81861427,2.84884935,1.97924370,0.03542216,1.01228184,0.00000000
-5.75387694,5.13513915,2.78750998,2.77264476,1.94309613,0.03456199,0.99660338,0.00000000
-5.74787394,5.01284693,2.74731851,2.69499788,1.90237285,0.03380121,0.98062209,0.00000000
-5.74187094,4.88502318,2.69842469,2.61629753,1.85721102,0.03314282,0.96441897,0.00000000
-5.73586793,4.75229318,2.64131265,2.53687869,1.80779968,0.03258675,0.94804204,0.00000000
-5.72986493,4.61525718,2.57655633,2.45702546,1.75438290,0.03212995,0.93150664,0.00000000
