energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.33547011,0.88526033,0.00000000,0.00632308,0.15010724,0.92170278,0.70812331,0.02084080,1.27069428
-5.99399700,2.31502245,0.88967088,0.00000000,0.00624189,0.15146505,0.92289307,0.69670395,0.01968430,1.25897784
-5.98799400,2.28261865,0.88885276,0.00000000,0.00612957,0.15226793,0.91944477,0.68185959,0.01847762,1.24024180
-5.98199100,2.23876724,0.88283098,0.00000000,0.00598966,0.15249717,0.91141549,0.66380857,0.01724007,1.21478750
-5.97598799,2.18420371,0.87174103,0.00000000,0.00582645,0.15214676,0.89897053,0.64282742,0.01599031,1.18304843
-5.96998499,2.11986966,0.85582510,0.00000000,0.00564485,0.15122434,0.88237820,0.61924293,0.01474592,1.14557682
-5.96398199,2.04688694,0.83542512,0.00000000,0.00545031,0.14975182,0.86200261,0.59342331,0.01352306,1.10302719
-5.95797899,1.96652772,0.81097274,0.00000000,0.00524864,0.14776575,0.83829396,0.56576861,0.01233619,1.05613738
-5.95197599,1.88018135,0.78297688,0.00000000,0.00504589,0.14531733,0.81177654,0.53670068,0.01119790,1.00570771
-5.94597299,1.78931907,0.75200890,0.00000000,0.00484818,0.14247192,0.78303496,0.50665307,0.01011880,0.95257919
-5.93996998,1.69545762,0.71868637,0.00000000,0.00466157,0.13930821,0.75269874,0.47606102,0.00910747,0.89761124
-5.93396698,1.60012275,0.68365561,0.00000000,0.00449186,0.13591689,0.72142585,0.44535202,0.00817050,0.84165988
-5.92796398,1.50481384,0.64757396,0.00000000,0.00434448,0.13239880,0.68988566,0.41493686,0.00731258,0.78555698
-5.92196098,1.41097033,0.61109222,0.00000000,0.00422436,0.12886277,0.65874169,0.38520173,0.00653660,0.73009114
-5.91595798,1.31994102,0.57483781,0.00000000,0.00413577,0.12542303,0.62863471,0.35650127,0.00584383,0.67599085
-5.90995498,1.23295701,0.53939942,0.00000000,0.00408220,0.12219632,0.60016676,0.32915287,0.00523411,0.62391021
-5.90395198,1.15110868,0.50531334,0.00000000,0.00406630,0.11929879,0.57388639,0.30343220,0.00470601,0.57441765
-5.89794897,1.07532752,0.47305218,0.00000000,0.00408982,0.11684283,0.55027562,0.27957005,0.00425709,0.52798770
-5.89194597,1.00637280,0.44301595,0.00000000,0.00415348,0.11493382,0.52973903,0.25775060,0.00388401,0.48499600
-5.88594297,0.94482352,0.41552596,0.00000000,0.00425704,0.11366710,0.51259527,0.23811087,0.00358280,0.44571741
-5.87993997,0.89107545,0.39082153,0.00000000,0.00439921,0.11312508,0.49907118,0.22074147,0.00334896,0.41032718
-5.87393697,0.84534333,0.36905942,0.00000000,0.00457778,0.11337470,0.48929870,0.20568853,0.00317767,0.37890482
-5.86793397,0.80766781,0.35031605,0.00000000,0.00478957,0.11446542,0.48331473,0.19295661,0.00306391,0.35144051
-5.86193097,0.77792681,0.33459212,0.00000000,0.00503060,0.11642757,0.48106378,0.18251257,0.00300255,0.32784357
-5.85592796,0.75585092,0.32181950,0.00000000,0.00529615,0.11927143,0.48240341,0.17429014,0.00298853,0.30795267
-5.84992496,0.74104206,0.31186994,0.00000000,0.00558092,0.12298684,0.48711222,0.16819515,0.00301688,0.29154732
-5.84392196,0.73299486,0.30456533,0.00000000,0.00587918,0.12754349,0.49490014,0.16411113,0.00308283,0.27836024
-5.83791896,0.73112007,0.29968887,0.00000000,0.00618494,0.13289188,0.50542056,0.16190518,0.00318190,0.26809014
-5.83191596,0.73476915,0.29699700,0.00000000,0.00649212,0.13896483,0.51828400,0.16143394,0.00330990,0.26041449
-5.82591296,0.74325927,0.29623132,0.00000000,0.00679476,0.14567967,0.53307274,0.16254942,0.00346302,0.25500204
-5.81990995,0.75589792,0.29713035,0.00000000,0.00708720,0.15294078,0.54935590,0.16510456,0.00363783,0.25152443
-5.81390695,0.77200648,0.29944046,0.00000000,0.00736422,0.16064269,0.56670447,0.16895839,0.00383132,0.24966695
-5.80790395,0.79094176,0.30292578,0.00000000,0.00762123,0.16867340,0.58470566,0.17398053,0.00404089,0.24913788
-5.80190095,0.81211513,0.30737671,0.00000000,0.00785437,0.17691790,0.60297620,0.18005506,0.00426437,0.24967642
-5.79589795,0.83500858,0.31261678,0.00000000,0.00806059,0.18526182,0.62117398,0.18708342,0.00449996,0.25105892
-5.78989495,0.85918715,0.31850769,0.00000000,0.00823776,0.19359494,0.63900779,0.19498648,0.00474623,0.25310343
-5.78389195,0.88430766,0.32495244,0.00000000,0.00838464,0.20181466,0.65624470,0.20370557,0.00500207,0.25567249
-5.77788894,0.91012345,0.33189657,0.00000000,0.00850086,0.20982909,0.67271515,0.21320248,0.00526660,0.25867425
-5.77188594,0.93648519,0.33932756,0.00000000,0.00858689,0.21755983,0.68831536,0.22345851,0.00553917,0.26206201
-5.76588294,0.96333798,0.34727259,0.00000000,0.00864392,0.22494435,0.70300738,0.23447248,0.00581921,0.26583225
-5.75987994,0.99071497,0.35579476,0.00000000,0.00867373,0.23193780,0.71681683,0.24625803,0.00610622,0.27002157
-5.75387694,1.01872816,0.36498824,0.00000000,0.00867856,0.23851432,0.72982849,0.25884007,0.00639965,0.27470245
-5.74787394,1.04755677,0.37497244,0.00000000,0.00866097,0.24466781,0.74218028,0.27225080,0.00669886,0.27997836
-5.74187094,1.07743387,0.38588567,0.00000000,0.00862362,0.25041210,0.75405575,0.28652530,0.00700303,0.28597830
-5.73586793,1.10863206,0.39787853,0.00000000,0.00856919,0.25578062,0.76567575,0.30169708,0.00731116,0.29285104
-5.72986493,1.14144867,0.41110729,0.00000000,0.00850016,0.26082549,0.77728941,0.31779363,0.00762201,0.30075930
