energy_ev,total_up,In_p_up,In_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,6.14398585,0.19155442,0.00559995,2.56642064,2.47395265,0.02939448,3.94709120
-5.99399700,6.09592264,0.17865114,0.00535630,2.57498398,2.51405776,0.02778509,3.96379595
-5.98799400,6.04391551,0.16606800,0.00511286,2.58257320,2.55108450,0.02614765,3.97631512
-5.98199100,5.98572030,0.15386329,0.00487019,2.58764717,2.58347472,0.02449589,3.98266022
-5.97598799,5.91910284,0.14208880,0.00462883,2.58868471,2.60968642,0.02284334,3.98087050
-5.96998499,5.84194643,0.13079011,0.00438929,2.58424561,2.62825096,0.02120311,3.96909713
-5.96398199,5.75235482,0.12000697,0.00415212,2.57302871,2.63782888,0.01958765,3.94568367
-5.95797899,5.64874576,0.10977363,0.00391788,2.55392464,2.63726181,0.01800854,3.90923923
-5.95197599,5.52993143,0.10011930,0.00368718,2.52606105,2.62561840,0.01647635,3.85870115
-5.94597299,5.39518235,0.09106853,0.00346071,2.48883881,2.60223215,0.01500041,3.79338468
-5.93996998,5.24427228,0.08264165,0.00323920,2.44195782,2.56672952,0.01358881,3.71301774
-5.93396698,5.07750278,0.07485515,0.00302346,2.38543175,2.51904732,0.01224821,3.61775951
-5.92796398,4.89570690,0.06772207,0.00281435,2.31959139,2.45943867,0.01098388,3.50820265
-5.92196098,4.70023248,0.06125233,0.00261276,2.24507712,2.38846739,0.00979966,3.38535954
-5.91595798,4.49290656,0.05545305,0.00241964,2.16282103,2.30699142,0.00869803,3.25063366
-5.90995498,4.27598317,0.05032880,0.00223592,2.07402002,2.21613616,0.00768013,3.10577803
-5.90395198,4.05207727,0.04588169,0.00206254,1.98010143,2.11725911,0.00674590,2.95284300
-5.89794897,3.82408834,0.04211157,0.00190040,1.88268286,2.01190765,0.00589416,2.79411603
-5.89194597,3.59511705,0.03901590,0.00175034,1.78352805,1.90177192,0.00512277,2.63205639
-5.88594297,3.36837881,0.03658966,0.00161314,1.68450084,1.78863488,0.00442877,2.46922770
-5.87993997,3.14711755,0.03482515,0.00148944,1.58751887,1.67432178,0.00380848,2.30823092
