energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.19311374,-1.19289514,0.20699205,-0.20695280,0.17876124,-0.17872710,0.07322451,-0.07321964,0.00067031,-0.00067013,0.01416429,-0.01416202,0.63449470,-0.63437108
-5.99399700,1.25861257,-1.25839395,0.21912474,-0.21908564,0.18805185,-0.18801783,0.07458800,-0.07458331,0.00072255,-0.00072237,0.01484933,-0.01484718,0.67200626,-0.67188233
-5.98799400,1.32381346,-1.32359789,0.23115152,-0.23111314,0.19721532,-0.19718185,0.07591242,-0.07590797,0.00077602,-0.00077584,0.01549851,-0.01549650,0.70944096,-0.70931845
-5.98199100,1.38777351,-1.38756423,0.24289534,-0.24285830,0.20611565,-0.20608322,0.07717691,-0.07717277,0.00082999,-0.00082980,0.01610129,-0.01609947,0.74626623,-0.74614698
-5.97598799,1.44950594,-1.44930629,0.25417309,-0.25413801,0.21461226,-0.21458133,0.07835664,-0.07835290,0.00088369,-0.00088350,0.01664749,-0.01664588,0.78192523,-0.78181111
-5.96998499,1.50800407,-1.50781742,0.26479997,-0.26476746,0.22256366,-0.22253471,0.07942371,-0.07942045,0.00093632,-0.00093614,0.01712752,-0.01712616,0.81584984,-0.81574277
-5.96398199,1.56226718,-1.56209681,0.27459406,-0.27456472,0.22983133,-0.22980482,0.08034826,-0.08034559,0.00098706,-0.00098688,0.01753280,-0.01753172,0.84747478,-0.84737661
-5.95797899,1.61132738,-1.61117640,0.28338107,-0.28335546,0.23628379,-0.23626015,0.08109979,-0.08109779,0.00103509,-0.00103493,0.01785606,-0.01785527,0.87625223,-0.87616471
-5.95197599,1.65427662,-1.65414789,0.29099896,-0.29097760,0.24180044,-0.24178006,0.08164843,-0.08164720,0.00107963,-0.00107948,0.01809160,-0.01809113,0.90166658,-0.90159135
-5.94597299,1.69029295,-1.69018899,0.29730239,-0.29728572,0.24627541,-0.24625862,0.08196632,-0.08196594,0.00111992,-0.00111978,0.01823558,-0.01823543,0.92324886,-0.92318735
-5.93996998,1.71866507,-1.71858797,0.30216675,-0.30215513,0.24962088,-0.24960794,0.08202890,-0.08202943,0.00115526,-0.00115515,0.01828620,-0.01828636,0.94059023,-0.94054365
-5.93396698,1.73881421,-1.73876556,0.30549169,-0.30548540,0.25177008,-0.25176118,0.08181612,-0.08181762,0.00118505,-0.00118495,0.01824380,-0.01824428,0.95335415,-0.95332344
-5.92796398,1.75031272,-1.75029358,0.30720403,-0.30720325,0.25267966,-0.25267491,0.08131345,-0.08131595,0.00120874,-0.00120866,0.01811100,-0.01811177,0.96128682,-0.96127261
-5.92196098,1.75289856,-1.75290940,0.30725990,-0.30726471,0.25233140,-0.25233081,0.08051275,-0.08051625,0.00122594,-0.00122588,0.01789263,-0.01789367,0.96422540,-0.96422800
-5.91595798,1.74648515,-1.74652581,0.30564609,-0.30565645,0.25073324,-0.25073674,0.07941282,-0.07941731,0.00123634,-0.00123631,0.01759566,-0.01759694,0.96210377,-0.96212316
-5.90995498,1.73116623,-1.73123596,0.30238054,-0.30239633,0.24791947,-0.24792690,0.07801978,-0.07802521,0.00123980,-0.00123979,0.01722912,-0.01723061,0.95495567,-0.95499150
-5.90395198,1.70721556,-1.70731301,0.29751196,-0.29753294,0.24395025,-0.24396136,0.07634712,-0.07635343,0.00123628,-0.00123629,0.01680382,-0.01680547,0.94291493,-0.94296650
-5.89794897,1.67508133,-1.67520457,0.29111862,-0.29114445,0.23891030,-0.23892476,0.07441550,-0.07442261,0.00122591,-0.00122594,0.01633214,-0.01633390,0.92621288,-0.92627917
-5.89194597,1.63537549,-1.63552206,0.28330631,-0.28333658,0.23290687,-0.23292428,0.07225231,-0.07226008,0.00120894,-0.00120900,0.01582770,-0.01582953,0.90517288,-0.90525258
