energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,3.56562847,0.63185316,0.00913531,0.34719844,1.14128797,0.93630581,0.03209371,1.79776057
-5.99399700,3.69719489,0.65323885,0.00891246,0.36017598,1.18154820,0.96684988,0.03350816,1.86768912
-5.98799400,3.81708652,0.67225751,0.00867094,0.37193156,1.21740863,0.99370607,0.03483823,1.93234081
-5.98199100,3.92435576,0.68868660,0.00841510,0.38236653,1.24856599,1.01665632,0.03606746,1.99123132
-5.97598799,4.01827885,0.70234719,0.00814898,0.39140387,1.27479766,1.03556025,0.03718119,2.04397700
-5.96998499,4.09835672,0.71310567,0.00787622,0.39898851,1.29596200,1.05035456,0.03816674,2.09029534
-5.96398199,4.16430883,0.72087418,0.00759999,0.40508705,1.31199612,1.06104989,0.03901365,2.13000230
-5.95797899,4.21606109,0.72561017,0.00732303,0.40968711,1.32291149,1.06772533,0.03971372,2.16300690
-5.95197599,4.25372891,0.72731502,0.00704760,0.41279617,1.32878778,1.07052099,0.04026114,2.18930368
-5.94597299,4.27759687,0.72603202,0.00677556,0.41444029,1.32976544,1.06962921,0.04065244,2.20896379
-5.93996998,4.28809629,0.72184379,0.00650840,0.41466263,1.32603761,1.06528475,0.04088643,2.22212511
-5.93396698,4.28578232,0.71486937,0.00624732,0.41352190,1.31784166,1.05775462,0.04096414,2.22898236
-5.92796398,4.27131142,0.70526098,0.00599331,0.41109091,1.30545107,1.04732803,0.04088864,2.22977751
-5.92196098,4.24542055,0.69320077,0.00574723,0.40745510,1.28916772,1.03430681,0.04066491,2.22479104
-5.91595798,4.20890853,0.67889725,0.00550986,0.40271121,1.26931510,1.01899680,0.04029959,2.21433443
-5.90995498,4.16262013,0.66258184,0.00528201,0.39696600,1.24623235,1.00170042,0.03980082,2.19874378
-5.90395198,4.10743285,0.64450512,0.00506454,0.39033498,1.22026935,0.98271061,0.03917804,2.17837491
-5.89794897,4.04424624,0.62493309,0.00485842,0.38294112,1.19178260,0.96230615,0.03844169,2.15359941
-5.89194597,3.97397336,0.60414310,0.00466473,0.37491347,1.16113191,0.94074846,0.03760310,2.12480180
-5.88594297,3.89753373,0.58241970,0.00448467,0.36638564,1.12867747,0.91827964,0.03667421,2.09237709
-5.87993997,3.81584713,0.56005011,0.00431955,0.35749406,1.09477734,0.89512159,0.03566739,2.05672867
-5.87393697,3.72982766,0.53731952,0.00417076,0.34837597,1.05978488,0.87147604,0.03459528,2.01826605
-5.86793397,3.64037731,0.51450617,0.00403973,0.33916726,1.02404612,0.84752521,0.03347060,1.97740219
-5.86193097,3.54837881,0.49187635,0.00392784,0.33000003,0.98789678,0.82343284,0.03230596,1.93455021
-5.85592796,3.45468739,0.46967932,0.00383643,0.32099999,0.95165910,0.79934536,0.03111374,1.89011936
-5.84992496,3.36012152,0.44814252,0.00376670,0.31228379,0.91563826,0.77539310,0.02990596,1.84451029
-5.84392196,3.26545277,0.42746701,0.00371966,0.30395642,0.88011864,0.75169130,0.02869410,1.79810965
-5.83791896,3.17139525,0.40782353,0.00369608,0.29610867,0.84536013,0.72834089,0.02748902,1.75128445
-5.83191596,3.07859524,0.38934924,0.00369649,0.28881496,0.81159456,0.70542911,0.02630085,1.70437627
-5.82591296,2.98762163,0.37214546,0.00372111,0.28213145,0.77902258,0.68302977,0.02513890,1.65769583
-5.81990995,2.89895790,0.35627639,0.00376987,0.27609481,0.74781126,0.66120356,0.02401157,1.61151834
-5.81390695,2.81299646,0.34176910,0.00384241,0.27072143,0.71809258,0.63999818,0.02292632,1.56607991
-5.80790395,2.73003572,0.32861467,0.00393812,0.26600743,0.68996291,0.61944865,0.02188963,1.52157538
-5.80190095,2.65028068,0.31677060,0.00405615,0.26192926,0.66348380,0.59957785,0.02090699,1.47815788
-5.79589795,2.57384693,0.30616438,0.00419548,0.25844506,0.63868380,0.58039735,0.01998288,1.43594016
-5.78989495,2.50076833,0.29669807,0.00435495,0.25549656,0.61556153,0.56190870,0.01912088,1.39499782
-5.78389195,2.43100818,0.28825371,0.00453335,0.25301164,0.59408966,0.54410515,0.01832364,1.35537419
-5.77788894,2.36447316,0.28069936,0.00472945,0.25090724,0.57421968,0.52697394,0.01759302,1.31708683
-5.77188594,2.30102985,0.27389548,0.00494208,0.24909264,0.55588716,0.51049894,0.01693016,1.28013509
-5.76588294,2.24052257,0.26770134,0.00517015,0.24747288,0.53901724,0.49466376,0.01633557,1.24450851
-5.75987994,2.18279201,0.26198129,0.00541270,0.24595217,0.52352994,0.47945503,0.01580928,1.21019555
-5.75387694,2.12769353,0.25661046,0.00566889,0.24443723,0.50934509,0.46486591,0.01535091,1.17719204
-5.74787394,2.07511419,0.25147978,0.00593805,0.24284029,0.49638660,0.45089948,0.01495979,1.14550909
-5.74187094,2.02498780,0.24650008,0.00621963,0.24108173,0.48458576,0.43757195,0.01463508,1.11517982
-5.73586793,1.97730703,0.24160506,0.00651314,0.23909226,0.47388354,0.42491544,0.01437584,1.08626469
-5.72986493,1.93213230,0.23675320,0.00681819,0.23681456,0.46423182,0.41298024,0.01418110,1.05885511
-5.72386193,1.88959671,0.23192835,0.00713435,0.23420437,0.45559347,0.40183630,0.01404992,1.03307506
-5.71785893,1.84990712,0.22713923,0.00746113,0.23123103,0.44794146,0.39157392,0.01398138,1.00908077
-5.71185593,1.81334119,0.22241775,0.00779789,0.22787749,0.44125711,0.38230344,0.01397465,0.98705840
-5.70585293,1.78024051,0.21781642,0.00814384,0.22413988,0.43552769,0.37415394,0.01402892,0.96721981
-5.69984992,1.75100024,0.21340491,0.00849790,0.22002665,0.43074361,0.36727091,0.01414339,0.94979662
-5.69384692,1.72605562,0.20926591,0.00885873,0.21555743,0.42689538,0.36181284,0.01431722,0.93503284
-5.68784392,1.70586576,0.20549062,0.00922467,0.21076166,0.42397066,0.35794686,0.01454947,0.92317617
