energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up
-6.00000000,2.95870841,0.30439486,1.84532121,0.11048250,0.88225449,0.00295876,0.02209736,0.01218099,0.13574485
-5.99399700,2.96635920,0.30013814,1.83967151,0.11147115,0.89845396,0.00278327,0.02154261,0.01117556,0.13481418
-5.98799400,2.97945495,0.29667433,1.83514099,0.11318956,0.91838842,0.00261367,0.02121678,0.01031121,0.13416160
-5.98199100,2.99717711,0.29393522,1.83140771,0.11561620,0.94154685,0.00245039,0.02110686,0.00958543,0.13379731
-5.97598799,3.01874649,0.29185543,1.82819541,0.11872266,0.96740949,0.00229385,0.02119768,0.00899498,0.13373542
-5.96998499,3.04344556,0.29037378,1.82528321,0.12247414,0.99546094,0.00214444,0.02147241,0.00853611,0.13399313
-5.96398199,3.07063447,0.28943403,1.82251111,0.12682985,1.02520173,0.00200255,0.02191302,0.00820478,0.13458964
-5.95797899,3.09976055,0.28898521,1.81978138,0.13174345,1.05615797,0.00186854,0.02250070,0.00799673,0.13554473
-5.95197599,3.13036123,0.28898128,1.81705586,0.13716326,1.08788874,0.00174270,0.02321622,0.00790765,0.13687710
-5.94597299,3.16206100,0.28938060,1.81434982,0.14303255,1.11999129,0.00162528,0.02404019,0.00793321,0.13860263
-5.93996998,3.19456287,0.29014482,1.81172274,0.14928969,1.15210397,0.00151644,0.02495335,0.00806903,0.14073253
-5.93396698,3.22763557,0.29123774,1.80926696,0.15586829,1.18390688,0.00141625,0.02593676,0.00831074,0.14327153
-5.92796398,3.26109736,0.29262390,1.80709491,0.16269739,1.21512062,0.00132472,0.02697190,0.00865391,0.14621627
-5.92196098,3.29479792,0.29426719,1.80532571,0.16970166,1.24550333,0.00124175,0.02804087,0.00909399,0.14955378
-5.91595798,3.32859942,0.29612955,1.80407205,0.17680169,1.27484629,0.00116717,0.02912643,0.00962632,0.15326040
-5.90995498,3.36235810,0.29816977,1.80342811,0.18391436,1.30296860,0.00110074,0.03021211,0.01024601,0.15730096
-5.90395198,3.39590749,0.30034256,1.80345906,0.19095347,1.32971129,0.00104215,0.03128229,0.01094797,0.16162849
-5.89794897,3.42904419,0.30259794,1.80419274,0.19783043,1.35493119,0.00099108,0.03232228,0.01172682,0.16618431
-5.89194597,3.46151711,0.30488094,1.80561395,0.20445528,1.37849515,0.00094719,0.03331839,0.01257689,0.17089867
-5.88594297,3.49302060,0.30713176,1.80766138,0.21073779,1.40027469,0.00091016,0.03425804,0.01349219,0.17569193
-5.87993997,3.52319205,0.30928626,1.81022750,0.21658889,1.42014161,0.00087970,0.03512985,0.01446642,0.18047611
