energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.51818582,0.03698438,0.00262759,0.41884216,0.02229881,0.44734653,0.40775488,0.64499168
-5.99399700,1.60338199,0.03926862,0.00292936,0.43532218,0.02334779,0.48451946,0.42930690,0.67855189
-5.98799400,1.68989609,0.04151039,0.00326134,0.45111031,0.02434830,0.52396449,0.45125426,0.71252539
-5.98199100,1.77788418,0.04369227,0.00362582,0.46616922,0.02529950,0.56585327,0.47363244,0.74696230
-5.97598799,1.86755241,0.04579769,0.00402492,0.48047612,0.02620306,0.61036407,0.49648163,0.78192440
-5.96998499,1.95914454,0.04781107,0.00446055,0.49402184,0.02706309,0.65767396,0.51984379,0.81747979
-5.96398199,2.05292648,0.04971813,0.00493427,0.50680956,0.02788614,0.70794942,0.54375967,0.85369708
-5.95797899,2.14916865,0.05150594,0.00544715,0.51885338,0.02868091,0.76133619,0.56826563,0.89063904
-5.95197599,2.24812679,0.05316319,0.00599970,0.53017660,0.02945798,0.81794832,0.59339071,0.92835621
-5.94597299,2.35002217,0.05468022,0.00659173,0.54081009,0.03022941,0.87785725,0.61915385,0.96688075
-5.93996998,2.45502218,0.05604916,0.00722223,0.55079061,0.03100826,0.94108123,0.64556156,1.00622082
-5.93396698,2.56322216,0.05726400,0.00788934,0.56015927,0.03180804,1.00757575,0.67260615,1.04635575
-5.92796398,2.67462952,0.05832070,0.00859022,0.56896018,0.03264219,1.07722542,0.70026446,1.08723242
-5.92196098,2.78915078,0.05921715,0.00932108,0.57723921,0.03352342,1.14983788,0.72849726,1.12876272
-5.91595798,2.90658222,0.05995330,0.01007712,0.58504301,0.03446318,1.22514013,0.75724926,1.17082251
-5.90995498,3.02660468,0.06053112,0.01085263,0.59241810,0.03547108,1.30277746,0.78644968,1.21325199
-5.90395198,3.14878252,0.06095461,0.01164098,0.59941010,0.03655443,1.38231537,0.81601331,1.25585735
-5.89794897,3.27256695,0.06122979,0.01243482,0.60606300,0.03771773,1.46324439,0.84584194,1.29841380
-5.89194597,3.39730337,0.06136467,0.01322613,0.61241842,0.03896241,1.54498766,0.87582600,1.34066958
-5.88594297,3.52224239,0.06136919,0.01400644,0.61851478,0.04028653,1.62691112,0.90584636,1.38235095
-5.87993997,3.64655403,0.06125514,0.01476702,0.62438640,0.04168470,1.70833593,0.93577609,1.42316776
-5.87393697,3.76934427,0.06103608,0.01549907,0.63006251,0.04314800,1.78855254,0.96548209,1.46281939
-5.86793397,3.88967343,0.06072724,0.01619394,0.63556613,0.04466412,1.86683596,0.99482651,1.50100096
-5.86193097,4.00657560,0.06034540,0.01684332,0.64091303,0.04621759,1.94246160,1.02366801,1.53740929
-5.85592796,4.11907836,0.05990879,0.01743948,0.64611063,0.04779005,2.01472112,1.05186271,1.57174881
-5.84992496,4.22622231,0.05943698,0.01797541,0.65115710,0.04936072,2.08293761,1.07926501,1.60373696
-5.84392196,4.32707988,0.05895084,0.01844500,0.65604079,0.05090690,2.14647976,1.10572834,1.63310923
-5.83791896,4.42077305,0.05847238,0.01884314,0.66073996,0.05240451,2.20477445,1.13110593,1.65962364
-5.83191596,4.50648968,0.05802479,0.01916580,0.66522306,0.05382880,2.25731751,1.15525176,1.68306478
-5.82591296,4.58349848,0.05763241,0.01941010,0.66944957,0.05515492,2.30368252,1.17802179,1.70324738
-5.81990995,4.65116238,0.05732068,0.01957431,0.67337146,0.05635867,2.34352737,1.19927566,1.72001949
-5.81390695,4.70895045,0.05711622,0.01965779,0.67693531,0.05741713,2.37659879,1.21887888,1.73326529
-5.80790395,4.75644835,0.05704682,0.01966100,0.68008498,0.05830933,2.40273487,1.23670560,1.74290755
-5.80190095,4.79336721,0.05714143,0.01958536,0.68276475,0.05901682,2.42186569,1.25264192,1.74890978
-5.79589795,4.81955109,0.05743016,0.01943319,0.68492291,0.05952421,2.43401226,1.26658962,1.75127804
