energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,1.78115513,0.53913374,0.86564267,0.02321559,0.03415935,0.17537929,0.04115515,0.60681217
-5.99399700,1.76543688,0.53059611,0.84102311,0.02429079,0.03361866,0.17339987,0.04264851,0.61280444
-5.98799400,1.74979391,0.52165306,0.81820037,0.02529855,0.03308114,0.17089741,0.04400789,0.61770754
-5.98199100,1.73420246,0.51245293,0.79713412,0.02623085,0.03255533,0.16790444,0.04522221,0.62151978
-5.97598799,1.71859568,0.50312299,0.77773813,0.02708081,0.03204776,0.16445725,0.04628257,0.62424172
-5.96998499,1.70286712,0.49376661,0.75988673,0.02784272,0.03156286,0.16059533,0.04718231,0.62587461
-5.96398199,1.68687422,0.48446136,0.74342135,0.02851191,0.03110285,0.15636076,0.04791683,0.62641866
-5.95797899,1.67044186,0.47525802,0.72815708,0.02908468,0.03066781,0.15179757,0.04848346,0.62587126
-5.95197599,1.65336588,0.46618049,0.71388879,0.02955814,0.03025573,0.14695089,0.04888117,0.62422539
-5.94597299,1.63541691,0.45722661,0.70039708,0.02993007,0.02986263,0.14186623,0.04911033,0.62146831
-5.93996998,1.61634473,0.44836990,0.68745381,0.03019879,0.02948282,0.13658864,0.04917240,0.61758073
-5.93396698,1.59588337,0.43956213,0.67482745,0.03036303,0.02910914,0.13116190,0.04906969,0.61253663
-5.92796398,1.57375733,0.43073672,0.66228824,0.03042186,0.02873325,0.12562778,0.04880511,0.60630384
-5.92196098,1.54968896,0.42181275,0.64961322,0.03037466,0.02834602,0.12002542,0.04838199,0.59884546
-5.91595798,1.52340717,0.41269960,0.63659131,0.03022111,0.02793790,0.11439080,0.04780401,0.59012207
-5.90995498,1.49465730,0.40330198,0.62302835,0.02996127,0.02749933,0.10875636,0.04707516,0.58009480
-5.90395198,1.46321189,0.39352513,0.60875212,0.02959568,0.02702112,0.10315084,0.04619977,0.56872899
-5.89794897,1.42888216,0.38328006,0.59361729,0.02912550,0.02649489,0.09759920,0.04518267,0.55599831
-5.89194597,1.39152938,0.37248864,0.57751013,0.02855269,0.02591340,0.09212278,0.04402931,0.54188910
-5.88594297,1.35107579,0.36108816,0.56035274,0.02788018,0.02527091,0.08673958,0.04274594,0.52640465
-5.87993997,1.30751435,0.34903533,0.54210685,0.02711205,0.02456341,0.08146462,0.04133988,0.50956909
-5.87393697,1.26091663,0.33630950,0.52277665,0.02625367,0.02378886,0.07631043,0.03981964,0.49143067
-5.86793397,1.21143847,0.32291488,0.50241082,0.02531182,0.02294732,0.07128751,0.03819506,0.47206413
-5.86193097,1.15932270,0.30888171,0.48110335,0.02429477,0.02204094,0.06640488,0.03647744,0.45157203
-5.85592796,1.10489894,0.29426636,0.45899316,0.02321226,0.02107399,0.06167051,0.03467953,0.43008474
-5.84992496,1.04858014,0.27915039,0.43626254,0.02207547,0.02005268,0.05709171,0.03281546,0.40775934
-5.84392196,0.99085604,0.26363846,0.41313435,0.02089690,0.01898496,0.05267546,0.03090057,0.38477716
-5.83791896,0.93228381,0.24785553,0.38986807,0.01969017,0.01788029,0.04842856,0.02895124,0.36134018
-5.83191596,0.87347623,0.23194312,0.36675490,0.01846985,0.01674931,0.04435778,0.02698452,0.33766656
-5.82591296,0.81508797,0.21605519,0.34411207,0.01725114,0.01560346,0.04046981,0.02501781,0.31398535
-5.81990995,0.75780057,0.20035354,0.32227647,0.01604959,0.01445464,0.03677112,0.02306847,0.29053081
-5.81390695,0.70230682,0.18500322,0.30159795,0.01488081,0.01331482,0.03326786,0.02115343,0.26753645
-5.80790395,0.64929500,0.17016784,0.28243234,0.01376014,0.01219569,0.02996558,0.01928875,0.24522928
-5.80190095,0.59943373,0.15600530,0.26513449,0.01270236,0.01110831,0.02686897,0.01748932,0.22382432
-5.79589795,0.55335771,0.14266381,0.25005127,0.01172137,0.01006286,0.02398168,0.01576847,0.20351973
-5.78989495,0.51165488,0.13027848,0.23751482,0.01082997,0.00906838,0.02130601,0.01413777,0.18449269
-5.78389195,0.47485507,0.11896851,0.22783591,0.01003965,0.00813259,0.01884283,0.01260681,0.16689610
-5.77788894,0.44342032,0.10883494,0.22129756,0.00936033,0.00726179,0.01659142,0.01118309,0.15085624
-5.77188594,0.41773686,0.09995909,0.21814883,0.00880027,0.00646078,0.01454941,0.00987200,0.13647134
-5.76588294,0.39810863,0.09240156,0.21859877,0.00836589,0.00573289,0.01271288,0.00867688,0.12381105
-5.75987994,0.38475230,0.08620179,0.22281057,0.00806173,0.00507997,0.01107643,0.00759908,0.11291666
-5.75387694,0.37779355,0.08137801,0.23089588,0.00789032,0.00450256,0.00963336,0.00663822,0.10380214
-5.74787394,0.37726459,0.07792768,0.24290949,0.00785215,0.00399996,0.00837596,0.00579233,0.09645563
-5.74187094,0.38310271,0.07582824,0.25884433,0.00794567,0.00357039,0.00729575,0.00505817,0.09084145
-5.73586793,0.39515015,0.07503804,0.27862713,0.00816725,0.00321118,0.00638387,0.00443152,0.08690256
-5.72986493,0.41315497,0.07549768,0.30211502,0.00851119,0.00291897,0.00563142,0.00390743,0.08456309
-5.72386193,0.43677352,0.07713139,0.32909315,0.00896978,0.00268983,0.00502987,0.00348061,0.08373125
-5.71785893,0.46557436,0.07984876,0.35927398,0.00953337,0.00251955,0.00457143,0.00314565,0.08430228
-5.71185593,0.49904422,0.08354662,0.39229831,0.01019045,0.00240372,0.00424949,0.00289740,0.08616152
-5.70585293,0.53659596,0.08811119,0.42773856,0.01092780,0.00233802,0.00405894,0.00273115,0.08918760
-5.69984992,0.57757908,0.09342053,0.46510444,0.01173071,0.00231828,0.00399658,0.00264298,0.09325569
-5.69384692,0.62129261,0.09934719,0.50385119,0.01258317,0.00234077,0.00406146,0.00262990,0.09824087
-5.68784392,0.66700069,0.10576125,0.54339057,0.01346816,0.00240223,0.00425513,0.00269011,0.10402152
-5.68184092,0.71395049,0.11253358,0.58310430,0.01436805,0.00250013,0.00458196,0.00282314,0.11048281
-5.67583792,0.76139229,0.11953933,0.62235986,0.01526487,0.00263272,0.00504929,0.00303001,0.11752014
-5.66983492,0.80860117,0.12666160,0.66052819,0.01614085,0.00279922,0.00566761,0.00331328,0.12504251
-5.66383192,0.85489966,0.13379511,0.69700266,0.01697876,0.00299989,0.00645059,0.00367718,0.13297571
-5.65782891,0.89968036,0.14084989,0.73121866,0.01776239,0.00323614,0.00741504,0.00412757,0.14126525
-5.65182591,0.94242781,0.14775461,0.76267302,0.01847703,0.00351061,0.00858081,0.00467195,0.14987880
-5.64582291,0.98273832,0.15445966,0.79094223,0.01910984,0.00382717,0.00997046,0.00531932,0.15880804
