energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.35970983,-1.35970982,0.00479132,-0.00479132,0.00000000,-0.00000000,0.01067780,-0.01067780,0.16907226,-0.16907226,0.43562436,-0.43562436,0.54925435,-0.54925435,0.01494733,-0.01494733,0.57200418,-0.57200418
-5.99399700,1.44534886,-1.44534886,0.00512489,-0.00512489,0.00000000,-0.00000000,0.01141968,-0.01141968,0.18265053,-0.18265053,0.46645636,-0.46645635,0.58239969,-0.58239968,0.01599168,-0.01599168,0.60565120,-0.60565120
-5.98799400,1.53379859,-1.53379858,0.00548877,-0.00548877,0.00000000,-0.00000000,0.01215934,-0.01215934,0.19700111,-0.19700110,0.49958959,-0.49958959,0.61608781,-0.61608781,0.01703772,-0.01703772,0.64025367,-0.64025366
-5.98199100,1.62519191,-1.62519191,0.00588541,-0.00588541,0.00000000,-0.00000000,0.01288868,-0.01288868,0.21219213,-0.21219213,0.53531032,-0.53531031,0.65031372,-0.65031372,0.01807936,-0.01807936,0.67582379,-0.67582379
-5.97598799,1.71971495,-1.71971494,0.00631726,-0.00631726,0.00000000,-0.00000000,0.01359980,-0.01359980,0.22829759,-0.22829759,0.57390497,-0.57390497,0.68511066,-0.68511066,0.01911066,-0.01911066,0.71239201,-0.71239201
-5.96998499,1.81759335,-1.81759335,0.00678660,-0.00678660,0.00000000,-0.00000000,0.01428518,-0.01428518,0.24539437,-0.24539437,0.61564483,-0.61564483,0.72054953,-0.72054953,0.02012584,-0.02012584,0.75000155,-0.75000155
-5.96398199,1.91907303,-1.91907302,0.00729540,-0.00729540,0.00000000,-0.00000000,0.01493782,-0.01493782,0.26355838,-0.26355838,0.66076876,-0.66076875,0.75673557,-0.75673557,0.02111931,-0.02111931,0.78870082,-0.78870082
-5.95797899,2.02439554,-2.02439553,0.00784512,-0.00784512,0.00000000,-0.00000000,0.01555138,-0.01555138,0.28285984,-0.28285984,0.70946452,-0.70946452,0.79380236,-0.79380235,0.02208563,-0.02208563,0.82853403,-0.82853403
-5.95197599,2.13376924,-2.13376923,0.00843657,-0.00843657,0.00000000,-0.00000000,0.01612028,-0.01612028,0.30335791,-0.30335791,0.76184972,-0.76184972,0.83190313,-0.83190313,0.02301950,-0.02301950,0.86953037,-0.86953037
-5.94597299,2.24733711,-2.24733711,0.00906972,-0.00906972,0.00000000,-0.00000000,0.01663977,-0.01663977,0.32509477,-0.32509477,0.81795298,-0.81795298,0.87119957,-0.87119957,0.02391567,-0.02391567,0.91169221,-0.91169220
-5.93996998,2.36514292,-2.36514292,0.00974352,-0.00974352,0.00000000,-0.00000000,0.01710597,-0.01710597,0.34808933,-0.34808932,0.87769664,-0.87769664,0.91184843,-0.91184843,0.02476887,-0.02476887,0.95498303,-0.95498303
-5.93396698,2.48709743,-2.48709742,0.01045575,-0.01045575,0.00000000,-0.00000000,0.01751580,-0.01751580,0.37233102,-0.37233102,0.94088172,-0.94088171,0.95398659,-0.95398658,0.02557375,-0.02557375,0.99931584,-0.99931584
-5.92796398,2.61294654,-2.61294654,0.01120295,-0.01120295,0.00000000,-0.00000000,0.01786702,-0.01786702,0.39777385,-0.39777385,1.00717641,-1.00717641,0.99771506,-0.99771506,0.02632479,-0.02632479,1.04454269,-1.04454268
-5.92196098,2.74224347,-2.74224346,0.01198027,-0.01198027,0.00000000,-0.00000000,0.01815814,-0.01815814,0.42433108,-0.42433108,1.07610885,-1.07610885,1.04308290,-1.04308290,0.02701629,-0.02701629,1.09044613,-1.09044613
-5.91595798,2.87432675,-2.87432674,0.01278151,-0.01278151,0.00000000,-0.00000000,0.01838831,-0.01838831,0.45187094,-0.45187093,1.14706501,-1.14706500,1.09007171,-1.09007171,0.02764231,-0.02764231,1.13673335,-1.13673335
-5.90995498,3.00830607,-3.00830606,0.01359908,-0.01359908,0.00000000,-0.00000000,0.01855730,-0.01855730,0.48021362,-0.48021361,1.21929222,-1.21929221,1.13858177,-1.13858177,0.02819672,-0.02819672,1.18303341,-1.18303341
-5.90395198,3.14305730,-3.14305729,0.01442412,-0.01442412,0.00000000,-0.00000000,0.01866534,-0.01866534,0.50912997,-0.50912997,1.29190880,-1.29190880,1.18842065,-1.18842064,0.02867326,-0.02867326,1.22889827,-1.22889827
