energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.71571577,0.11399397,3.44371888,0.05762650,0.02526034,0.03181498,0.06194853
-5.99399700,3.51950784,0.11565337,3.24847591,0.05797059,0.02498092,0.03283308,0.06275804
-5.98799400,3.33750968,0.11779870,3.06617495,0.05831031,0.02492726,0.03419466,0.06385510
-5.98199100,3.16984393,0.12044565,2.89695045,0.05866053,0.02510171,0.03586459,0.06522396
-5.97598799,3.01657530,0.12361093,2.74087804,0.05903765,0.02550828,0.03780718,0.06684747
-5.96998499,2.87772019,0.12731228,2.59798285,0.05945934,0.02615241,0.03998707,0.06870787
-5.96398199,2.75325302,0.13156828,2.46824508,0.05994424,0.02704066,0.04236995,0.07078755
-5.95797899,2.64310936,0.13639790,2.35160297,0.06051163,0.02818032,0.04492322,0.07306974
-5.95197599,2.54718619,0.14181977,2.24795331,0.06118103,0.02957879,0.04761653,0.07553908
-5.94597299,2.46533914,0.14785120,2.15714980,0.06197178,0.03124296,0.05042214,0.07818199
-5.93996998,2.39737718,0.15450680,2.07899934,0.06290255,0.03317849,0.05331518,0.08098692
-5.93396698,2.34305467,0.16179691,2.01325663,0.06399075,0.03538890,0.05627361,0.08394426
-5.92796398,2.30206127,0.16972557,1.95961703,0.06525190,0.03787479,0.05927811,0.08704622
-5.92196098,2.27400985,0.17828841,1.91770830,0.06669892,0.04063288,0.06231170,0.09028625
-5.91595798,2.25842300,0.18747029,1.88708130,0.06834139,0.04365518,0.06535923,0.09365842
-5.90995498,2.25471879,0.19724289,1.86720022,0.07018475,0.04692816,0.06840665,0.09715650
-5.90395198,2.26219646,0.20756239,1.85743294,0.07222949,0.05043205,0.07144026,0.10077294
-5.89794897,2.28002319,0.21836736,1.85704222,0.07447042,0.05414032,0.07444586,0.10449772
-5.89194597,2.30722306,0.22957705,1.86517852,0.07689595,0.05801925,0.07740784,0.10831726
-5.88594297,2.34266928,0.24109024,1.88087537,0.07948761,0.06202790,0.08030841,0.11221323
-5.87993997,2.38508113,0.25278482,1.90304824,0.08221961,0.06611822,0.08312691,0.11616172
-5.87393697,2.43302659,0.26451819,1.93049764,0.08505879,0.07023556,0.08583933,0.12013244
-5.86793397,2.48493181,0.27612871,1.96191743,0.08796474,0.07431945,0.08841800,0.12408833
-5.86193097,2.53909788,0.28743809,1.99590853,0.09089027,0.07830468,0.09083166,0.12798555
-5.85592796,2.59372542,0.29825486,2.03099857,0.09378221,0.08212277,0.09304574,0.13177378
-5.84992496,2.64694671,0.30837876,2.06566718,0.09658255,0.08570359,0.09502302,0.13539709
-5.84392196,2.69686478,0.31760605,2.09837656,0.09922984,0.08897727,0.09672449,0.13879513
-5.83791896,2.74159827,0.32573540,2.12760637,0.10166090,0.09187620,0.09811064,0.14190474
-5.83191596,2.77933060,0.33257431,2.15189180,0.10381276,0.09433712,0.09914273,0.14466194
-5.82591296,2.80836120,0.33794555,2.16986320,0.10562468,0.09630319,0.09978444,0.14700414
-5.81990995,2.82715677,0.34169362,2.18028566,0.10704027,0.09772587,0.10000334,0.14887249
-5.81390695,2.83439998,0.34369061,2.18209648,0.10800949,0.09856667,0.09977255,0.15021428
-5.80790395,2.82903322,0.34384138,2.17443876,0.10849062,0.09879854,0.09907208,0.15098528
-5.80190095,2.81029506,0.34208769,2.15668938,0.10845189,0.09840690,0.09789012,0.15115181
-5.79589795,2.77774756,0.33841109,2.12847969,0.10787282,0.09739029,0.09622395,0.15069250
-5.78989495,2.73129269,0.33283438,2.08970788,0.10674524,0.09576046,0.09408055,0.14959970
-5.78389195,2.67117707,0.32542164,2.04054222,0.10507376,0.09354212,0.09147683,0.14788027
-5.77788894,2.59798455,0.31627666,1.98141482,0.10287586,0.09077211,0.08843945,0.14555590
-5.77188594,2.51261692,0.30554002,1.91300628,0.10018151,0.08749824,0.08500428,0.14266286
-5.76588294,2.41626357,0.29338485,1.83622175,0.09703234,0.08377771,0.08121547,0.13925112
-5.75987994,2.31036167,0.28001149,1.75215972,0.09348041,0.07967527,0.07712420,0.13538299
-5.75387694,2.19654873,0.26564136,1.66207488,0.08958663,0.07526118,0.07278725,0.13113134
-5.74787394,2.07660976,0.25051028,1.56733696,0.08541901,0.07060900,0.06826529,0.12657737
-5.74187094,1.95242151,0.23486160,1.46938739,0.08105061,0.06579349,0.06362120,0.12180816
-5.73586793,1.82589642,0.21893937,1.36969569,0.07655755,0.06088839,0.05891827,0.11691406
-5.72986493,1.69892844,0.20298195,1.26971757,0.07201689,0.05596461,0.05421859,0.11198611
-5.72386193,1.57334316,0.18721618,1.17085632,0.06750478,0.05108841,0.04958151,0.10711343
-5.71785893,1.45085388,0.17185248,1.07442891,0.06309457,0.04632001,0.04506236,0.10238096
-5.71185593,1.33302517,0.15708083,0.98163789,0.05885534,0.04171249,0.04071137,0.09786742
-5.70585293,1.22124473,0.14306794,0.89354972,0.05485053,0.03731102,0.03657294,0.09364367
-5.69984992,1.11670403,0.12995545,0.81107990,0.05113696,0.03315241,0.03268516,0.08977147
-5.69384692,1.02038771,0.11785923,0.73498474,0.04776412,0.02926503,0.02907959,0.08630283
-5.68784392,0.93307113,0.10686972,0.66585943,0.04477370,0.02566900,0.02578140,0.08327967
-5.68184092,0.85532536,0.09705311,0.60414160,0.04219942,0.02237664,0.02280963,0.08073407
-5.67583792,0.78752824,0.08845324,0.55011965,0.04006704,0.01939314,0.02017770,0.07868884
-5.66983492,0.72988033,0.08109405,0.50394451,0.03839463,0.01671737,0.01789401,0.07715847
-5.66383192,0.68242419,0.07498242,0.46564401,0.03719284,0.01434282,0.01596268,0.07615033
-5.65782891,0.64506544,0.07011108,0.43513851,0.03646539,0.01225854,0.01438423,0.07566606
-5.65182591,0.61759438,0.06646165,0.41225684,0.03620949,0.01045018,0.01315632,0.07570298
-5.64582291,0.59970663,0.06400737,0.39675165,0.03641634,0.00890089,0.01227437,0.07625544
-5.63981991,0.59102205,0.06271559,0.38831339,0.03707158,0.00759221,0.01173206,0.07731613
-5.63381691,0.59110086,0.06254982,0.38658234,0.03815565,0.00650490,0.01152175,0.07887702
-5.62781391,0.59945657,0.06347133,0.39115841,0.03964418,0.00561955,0.01163469,0.08093008
-5.62181091,0.61556545,0.06544013,0.40160855,0.04150821,0.00491721,0.01206115,0.08346760
-5.61580790,0.63887254,0.06841549,0.41747182,0.04371448,0.00437977,0.01279029,0.08648214
-5.60980490,0.66879455,0.07235593,0.43826236,0.04622559,0.00399029,0.01381003,0.08996609
-5.60380190,0.70472000,0.07721867,0.46347075,0.04900023,0.00373319,0.01510670,0.09391081
-5.59779890,0.74600745,0.08295876,0.49256410,0.05199338,0.00359439,0.01666466,0.09830551
-5.59179590,0.79198256,0.08952788,0.52498554,0.05515661,0.00356124,0.01846592,0.10313588
-5.58579290,0.84193481,0.09687298,0.56015380,0.05843839,0.00362253,0.02048967,0.10838258
-5.57978989,0.89511479,0.10493478,0.59746320,0.06178463,0.00376834,0.02271197,0.11401965
-5.57378689,0.95073298,0.11364641,0.63628487,0.06513919,0.00398986,0.02510541,0.12001311
-5.56778389,1.00796066,0.12293219,0.67596953,0.06844468,0.00427926,0.02763903,0.12631973
-5.56178089,1.06593362,0.13270672,0.71585207,0.07164328,0.00462947,0.03027827,0.13288611
-5.55577789,1.12375907,0.14287435,0.75525828,0.07467776,0.00503400,0.03298520,0.13964829
-5.54977489,1.18052598,0.15332914,0.79351377,0.07749259,0.00548679,0.03571889,0.14653182
-5.54377189,1.23531880,0.16395546,0.82995473,0.08003513,0.00598208,0.03843599,0.15345245
-5.53776888,1.28723436,0.17462904,0.86394066,0.08225685,0.00651432,0.04109153,0.16031747
-5.53176588,1.33540140,0.18521877,0.89486827,0.08411462,0.00707814,0.04363983,0.16702758
-5.52576288,1.37900215,0.19558903,0.92218626,0.08557181,0.00766834,0.04603562,0.17347944
-5.51975988,1.41729502,0.20560259,0.94541035,0.08659944,0.00827996,0.04823518,0.17956857
-5.51375688,1.44963752,0.21512395,0.96413773,0.08717709,0.00890844,0.05019758,0.18519281
-5.50775388,1.47550824,0.22402312,0.97806042,0.08729360,0.00954974,0.05188588,0.19025586
-5.50175088,1.49452696,0.23217958,0.98697671,0.08694753,0.01020056,0.05326826,0.19467103
-5.49574787,1.50647175,0.23948635,0.99080015,0.08614740,0.01085862,0.05431908,0.19836486
-5.48974487,1.51129218,0.24585399,0.98956547,0.08491157,0.01152293,0.05501969,0.20128057
-5.48374187,1.50911784,0.25121438,0.98343104,0.08326779,0.01219403,0.05535908,0.20338103
-5.47773887,1.50026145,0.25552400,0.97267764,0.08125250,0.01287427,0.05533430,0.20465123
-5.47173587,1.48521632,0.25876669,0.95770334,0.07890981,0.01356809,0.05495050,0.20510005
-5.46573287,1.46464788,0.26095563,0.93901452,0.07629024,0.01428213,0.05422084,0.20476124
-5.45972986,1.43937940,0.26213444,0.91721336,0.07344921,0.01502540,0.05316601,0.20369359
-5.45372686,1.41037216,0.26237722,0.89298206,0.07044539,0.01580928,0.05181357,0.20198009
-5.44772386,1.37870074,0.26178763,0.86706423,0.06733899,0.01664741,0.05019698,0.19972634
-5.44172086,1.34552402,0.26049681,0.84024425,0.06418989,0.01755551,0.04835456,0.19705797
-5.43571786,1.31205297,0.25866015,0.81332508,0.06105595,0.01855098,0.04632818,0.19411735
-5.42971486,1.27951606,0.25645310,0.78710545,0.05799132,0.01965248,0.04416197,0.19105961
-5.42371186,1.24912370,0.25406603,0.76235701,0.05504490,0.02087923,0.04190098,0.18804805
-5.41770885,1.22203261,0.25169825,0.73980238,0.05225907,0.02225034,0.03958977,0.18524920
-5.41170585,1.19931146,0.24955148,0.72009471,0.04966866,0.02378390,0.03727122,0.18282764
-5.40570285,1.18190887,0.24782288,0.70379939,0.04730016,0.02549610,0.03498536,0.18094078
-5.39969985,1.17062482,0.24669798,0.69137857,0.04517129,0.02740021,0.03276839,0.17973374
-5.39369685,1.16608639,0.24634376,0.68317883,0.04329093,0.02950564,0.03065185,0.17933462
-5.38769385,1.16872863,0.24690207,0.67942253,0.04165925,0.03181699,0.02866206,0.17985018
-5.38169085,1.17878125,0.24848381,0.68020280,0.04026826,0.03433323,0.02681973,0.18136223
-5.37568784,1.19626146,0.25116400,0.68548256,0.03910257,0.03704696,0.02513977,0.18392477
-5.36968484,1.22097325,0.25497799,0.69509729,0.03814042,0.03994390,0.02363135,0.18756203
-5.36368184,1.25251319,0.25991911,0.70876162,0.03735484,0.04300264,0.02229809,0.19226749
-5.35767884,1.29028240,0.26593773,0.72607924,0.03671506,0.04619453,0.02113848,0.19800386
-5.35167584,1.33350455,0.27294191,0.74655603,0.03618785,0.04948401,0.02014641,0.20470409
-5.34567284,1.38124903,0.28079965,0.76961571,0.03573902,0.05282912,0.01931179,0.21227334
-5.33966983,1.43245875,0.28934268,0.79461761,0.03533481,0.05618236,0.01862126,0.22059188
-5.33366683,1.48598146,0.29837164,0.82087595,0.03494324,0.05949179,0.01805899,0.22951873
-5.32766383,1.54060371,0.30766249,0.84767998,0.03453531,0.06270241,0.01760742,0.23889603
-5.32166083,1.59508627,0.31697397,0.87431437,0.03408602,0.06575773,0.01724805,0.24855383
-5.31565783,1.64819975,0.32605569,0.90007919,0.03357528,0.06860148,0.01696214,0.25831531
-5.30965483,1.69875947,0.33465663,0.92430885,0.03298848,0.07117940,0.01673137,0.26800204
-5.30365183,1.74565827,0.34253367,0.94638957,0.03231693,0.07344099,0.01653845,0.27743934
-5.29764882,1.78789628,0.34945988,0.96577469,0.03155805,0.07534130,0.01636757,0.28646125
-5.29164582,1.82460689,0.35523207,0.98199762,0.03071534,0.07684244,0.01620478,0.29491529
-5.28564282,1.85507805,0.35967755,0.99468201,0.02979815,0.07791497,0.01603829,0.30266659
-5.27963982,1.87876833,0.36265955,1.00354892,0.02882127,0.07853898,0.01585862,0.30960138
-5.27363682,1.89531760,0.36408142,1.00842100,0.02780435,0.07870486,0.01565866,0.31562982
