energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,1.42553566,0.01693823,0.02926289,0.74828903,0.28905178,0.37180657,0.10685408,0.00393862,0.95823909
-5.99399700,1.32386038,0.01555207,0.02685086,0.69920706,0.26555424,0.34897793,0.09939754,0.00359933,0.89173535
-5.98799400,1.22381227,0.01421767,0.02447735,0.65029590,0.24290410,0.32610236,0.09196005,0.00326952,0.82617926
-5.98199100,1.12684045,0.01295118,0.02217291,0.60233566,0.22138432,0.30355315,0.08464922,0.00295239,0.76255542
-5.97598799,1.03428498,0.01176692,0.01996431,0.55606182,0.20124656,0.28168910,0.07756513,0.00265066,0.70178193
-5.96998499,0.94736031,0.01067721,0.01787431,0.51215366,0.18271007,0.26084793,0.07079898,0.00236659,0.64469836
-5.96398199,0.86714427,0.00969230,0.01592150,0.47122531,0.16596185,0.24134075,0.06443216,0.00210195,0.59205732
-5.95797899,0.79457218,0.00882032,0.01412042,0.43381931,0.15115792,0.22344755,0.05853569,0.00185807,0.54451930
-5.95197599,0.73043561,0.00806739,0.01248173,0.40040256,0.13842539,0.20741371,0.05317024,0.00163587,0.50265057
-5.94597299,0.67538518,0.00743758,0.01101253,0.37136450,0.12786525,0.19344749,0.04838643,0.00143585,0.46692370
-5.93996998,0.62993648,0.00693310,0.00971674,0.34701713,0.11955555,0.18171837,0.04422549,0.00125824,0.43772022
-5.93396698,0.59447853,0.00655434,0.00859562,0.32759661,0.11355484,0.17235614,0.04072018,0.00110296,0.41533502
-5.92796398,0.56928402,0.00629999,0.00764820,0.31326613,0.10990572,0.16545075,0.03789593,0.00096975,0.39998204
-5.92196098,0.55452062,0.00616716,0.00687185,0.30411975,0.10863818,0.16105261,0.03577209,0.00085824,0.39180072
-5.91595798,0.55026286,0.00615147,0.00626271,0.30018702,0.10977291,0.15917347,0.03436328,0.00076796,0.39086316
-5.90995498,0.55650427,0.00624714,0.00581619,0.30143813,0.11332419,0.15978770,0.03368070,0.00069844,0.39718145
-5.90395198,0.57316935,0.00644707,0.00552737,0.30778939,0.11930259,0.16283397,0.03373347,0.00064928,0.41071521
-5.89794897,0.60012523,0.00674296,0.00539136,0.31910922,0.12771723,0.16821728,0.03452986,0.00062014,0.43137917
-5.89194597,0.63719310,0.00712533,0.00540358,0.33522430,0.13857781,0.17581148,0.03607835,0.00061086,0.45905074
-5.88594297,0.68415910,0.00758368,0.00555996,0.35592605,0.15189625,0.18546211,0.03838863,0.00062141,0.49357759
-5.87993997,0.74078494,0.00810652,0.00585711,0.38097748,0.16768808,0.19698973,0.04147232,0.00065198,0.53478521
-5.87393697,0.80681796,0.00868159,0.00629241,0.41012018,0.18597346,0.21019375,0.04534351,0.00070295,0.58248447
-5.86793397,0.88200080,0.00929594,0.00686395,0.44308165,0.20677798,0.22485664,0.05001908,0.00077493,0.63647895
-5.86193097,0.96608022,0.00993616,0.00757055,0.47958273,0.23013308,0.24074861,0.05551871,0.00086869,0.69657213
-5.85592796,1.05881501,0.01058854,0.00841157,0.51934498,0.25607598,0.25763270,0.06186466,0.00098523,0.76257398
-5.84992496,1.15998257,0.01123940,0.00938680,0.56209786,0.28464934,0.27527001,0.06908117,0.00112566,0.83430678
-5.84392196,1.26938355,0.01187526,0.01049618,0.60758532,0.31590009,0.29342521,0.07719366,0.00129123,0.91160974
-5.83791896,1.38684421,0.01248320,0.01173961,0.65557163,0.34987782,0.31187185,0.08622751,0.00148325,0.99434204
-5.83191596,1.51221585,0.01305110,0.01311656,0.70584587,0.38663223,0.33039747,0.09620657,0.00170304,1.08238379
-5.82591296,1.64537088,0.01356795,0.01462587,0.75822501,0.42620981,0.34880826,0.10715138,0.00195184,1.17563454
-5.81990995,1.78619500,0.01402411,0.01626534,0.81255496,0.46864952,0.36693292,0.11907707,0.00223078,1.27400903
-5.81390695,1.93457545,0.01441156,0.01803141,0.86870958,0.51397763,0.38462574,0.13199117,0.00254079,1.37742986
-5.80790395,2.09038513,0.01472407,0.01991888,0.92658735,0.56220157,0.40176852,0.14589108,0.00288248,1.48581711
-5.80190095,2.25346285,0.01495738,0.02192058,0.98610565,0.61330313,0.41827130,0.16076167,0.00325613,1.59907494
