energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,1.34070807,0.00979515,0.08755149,0.06385714,0.26787500,0.69716994,0.65586678,0.00000000
-5.99399700,1.23800946,0.00899915,0.08014349,0.05856508,0.24475253,0.64850184,0.60280671,0.00000000
-5.98799400,1.13958202,0.00821846,0.07286521,0.05338035,0.22243259,0.60286149,0.55151046,0.00000000
-5.98199100,1.04672322,0.00746400,0.06580580,0.04837369,0.20117763,0.56089992,0.50260538,0.00000000
-5.97598799,0.96053797,0.00674556,0.05904244,0.04360872,0.18121369,0.52316239,0.45662410,0.00000000
-5.96998499,0.88193199,0.00607174,0.05263957,0.03914160,0.16272983,0.49008597,0.41400115,0.00000000
-5.96398199,0.81161263,0.00544989,0.04664867,0.03502116,0.14587890,0.46200096,0.37507317,0.00000000
-5.95797899,0.75009646,0.00488615,0.04110845,0.03128919,0.13077954,0.43913572,0.34008244,0.00000000
-5.95197599,0.69772250,0.00438549,0.03604550,0.02798130,0.11751909,0.42162448,0.30918325,0.00000000
-5.94597299,0.65466998,0.00395181,0.03147521,0.02512775,0.10615716,0.40951730,0.28245051,0.00000000
-5.93996998,0.62097929,0.00358805,0.02740292,0.02275463,0.09672958,0.40279172,0.25988997,0.00000000
-5.93396698,0.59657471,0.00329628,0.02382532,0.02088502,0.08925239,0.40136520,0.24144942,0.00000000
-5.92796398,0.58128762,0.00307787,0.02073177,0.01954017,0.08372577,0.40510778,0.22703029,0.00000000
-5.92196098,0.57487893,0.00293352,0.01810579,0.01874059,0.08013740,0.41385410,0.21649891,0.00000000
-5.91595798,0.57705947,0.00286345,0.01592634,0.01850700,0.07846540,0.42741430,0.20969713,0.00000000
-5.90995498,0.58750749,0.00286738,0.01416904,0.01886099,0.07868037,0.44558313,0.20645162,0.00000000
-5.90395198,0.60588236,0.00294461,0.01280731,0.01982546,0.08074670,0.46814682,0.20658167,0.00000000
-5.89794897,0.63183402,0.00309402,0.01181318,0.02142468,0.08462292,0.49488746,0.20990510,0.00000000
-5.89194597,0.66500778,0.00331407,0.01115803,0.02368399,0.09026126,0.52558460,0.21624226,0.00000000
-5.88594297,0.70504452,0.00360274,0.01081311,0.02662909,0.09760640,0.56001408,0.22541795,0.00000000
-5.87993997,0.75157658,0.00395747,0.01074988,0.03028504,0.10659355,0.59794426,0.23726146,0.00000000
-5.87393697,0.80421960,0.00437510,0.01094017,0.03467477,0.11714605,0.63912990,0.25160479,0.00000000
-5.86793397,0.86256144,0.00485176,0.01135631,0.03981741,0.12917276,0.68330428,0.26827940,0.00000000
-5.86193097,0.92614883,0.00538281,0.01197104,0.04572624,0.14256531,0.73017000,0.28711180,0.00000000
-5.85592796,0.99447302,0.00596279,0.01275748,0.05240655,0.15719566,0.77938941,0.30791837,0.00000000
-5.84992496,1.06695573,0.00658534,0.01368900,0.05985345,0.17291406,0.83057535,0.33050000,0.00000000
-5.84392196,1.14293663,0.00724320,0.01473912,0.06804958,0.18954776,0.88328318,0.35463683,0.00000000
-5.83791896,1.22166380,0.00792825,0.01588150,0.07696319,0.20690065,0.93700491,0.38008382,0.00000000
-5.83191596,1.30228815,0.00863153,0.01708989,0.08654635,0.22475396,0.99116625,0.40656744,0.00000000
-5.82591296,1.38386307,0.00934339,0.01833824,0.09673370,0.24286826,1.04512723,0.43378403,0.00000000
-5.81990995,1.46535006,0.01005362,0.01960089,0.10744174,0.26098676,1.09818698,0.46140006,0.00000000
-5.81390695,1.54563071,0.01075165,0.02085283,0.11856874,0.27883982,1.14959284,0.48905465,0.00000000
-5.80790395,1.62352530,0.01142681,0.02207002,0.12999551,0.29615086,1.19855392,0.51636447,0.00000000
-5.80190095,1.69781781,0.01206856,0.02322990,0.14158693,0.31264322,1.24425879,0.54293095,0.00000000
-5.79589795,1.76728651,0.01266681,0.02431184,0.15319432,0.32804800,1.28589690,0.56834973,0.00000000
-5.78989495,1.83073941,0.01321223,0.02529774,0.16465873,0.34211248,1.32268274,0.59222212,0.00000000
-5.78389195,1.88705289,0.01369656,0.02617260,0.17581486,0.35460889,1.35388201,0.61416807,0.00000000
-5.77788894,1.93521220,0.01411288,0.02692508,0.18649578,0.36534311,1.37883838,0.63384023,0.00000000
-5.77188594,1.97435181,0.01445593,0.02754813,0.19653803,0.37416299,1.39699970,0.65093845,0.00000000
-5.76588294,2.00379381,0.01472231,0.02803944,0.20578716,0.38096594,1.40794231,0.66522407,0.00000000
-5.75987994,2.02308237,0.01491068,0.02840198,0.21410327,0.38570536,1.41139218,0.67653332,0.00000000
-5.75387694,2.03201260,0.01502186,0.02864425,0.22136644,0.38839578,1.40724170,0.68478916,0.00000000
-5.74787394,2.03065209,0.01505895,0.02878066,0.22748175,0.38911626,1.39556120,0.69001081,0.00000000
-5.74187094,2.01935399,0.01502726,0.02883153,0.23238366,0.38801202,1.37660455,0.69232056,0.00000000
-5.73586793,1.99876062,0.01493424,0.02882321,0.23603949,0.38529407,1.35080822,0.69194732,0.00000000
-5.72986493,1.96979715,0.01478935,0.02878782,0.23845187,0.38123683,1.31878399,0.68922648,0.00000000
-5.72386193,1.93365537,0.01460381,0.02876305,0.23965988,0.37617387,1.28130520,0.68459607,0.00000000
-5.71785893,1.89176770,0.01439029,0.02879161,0.23973892,0.37049161,1.23928732,0.67858901,0.00000000
-5.71185593,1.84577259,0.01416263,0.02892073,0.23879921,0.36462139,1.19376339,0.67182172,0.00000000
-5.70585293,1.79747197,0.01393537,0.02920129,0.23698285,0.35902999,1.14585549,0.66497918,0.00000000
-5.69984992,1.74878267,0.01372341,0.02968704,0.23445973,0.35420886,1.09674322,0.65879698,0.00000000
-5.69384692,1.70168311,0.01354153,0.03043346,0.23142220,0.35066230,1.04763051,0.65404082,0.00000000
