energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,3.83020468,0.00500713,0.62871656,1.51098562,1.30650932,0.03017418,1.18726503
-5.99399700,3.68870196,0.00503379,0.60091710,1.46487076,1.27604873,0.02938909,1.14634380
-5.98799400,3.58684915,0.00511883,0.57866147,1.43379802,1.25921435,0.02901392,1.11931768
-5.98199100,3.52516209,0.00526099,0.56225783,1.41811450,1.25613958,0.02906487,1.10604060
-5.97598799,3.50342206,0.00545798,0.55190677,1.41787421,1.26669430,0.02955321,1.10612135
-5.96998499,3.52070279,0.00570649,0.54770150,1.43284167,1.29049198,0.03048536,1.11893838
-5.96398199,3.57541219,0.00600222,0.54963039,1.46250184,1.32690267,0.03186319,1.14365904
-5.95797899,3.66534762,0.00634002,0.55758183,1.50607632,1.37507147,0.03368423,1.17926265
-5.95197599,3.78776303,0.00671394,0.57135106,1.56254534,1.43394203,0.03594199,1.22456700
-5.94597299,3.93944641,0.00711743,0.59064864,1.63067511,1.50228469,0.03862626,1.27825784
-5.93996998,4.11680554,0.00754346,0.61511033,1.70904997,1.57872851,0.04172336,1.33892075
-5.93396698,4.31596009,0.00798476,0.64430803,1.79610849,1.66179633,0.04521638,1.40507475
-5.92796398,4.53283751,0.00843395,0.67776133,1.89018285,1.74994222,0.04908535,1.47520715
-5.92196098,4.76327054,0.00888382,0.71494938,1.98954033,1.84158995,0.05330739,1.54780855
-5.91595798,5.00309360,0.00932748,0.75532274,2.09242594,1.93517176,0.05785677,1.62140754
-5.90995498,5.24823558,0.00975859,0.79831486,2.19710492,2.02916589,0.06270487,1.69460391
-5.90395198,5.49480641,0.01017156,0.84335293,2.30190400,2.12213221,0.06782020,1.76609966
-5.89794897,5.73917521,0.01056164,0.88986787,2.40525003,2.21274436,0.07316825,1.83472672
-5.89194597,5.97803792,0.01092513,0.93730326,2.50570512,2.29981798,0.07871140,1.89947079
-5.88594297,6.20847279,0.01125941,0.98512327,2.60199684,2.38233369,0.08440884,1.95949027
-5.87993997,6.42798254,0.01156303,1.03281936,2.69304309,2.45945469,0.09021649,2.01412991
-5.87393697,6.63452262,0.01183566,1.07991595,2.77797055,2.53053831,0.09608704,2.06292863
-5.86793397,6.82651565,0.01207812,1.12597522,2.85612671,2.59514146,0.10197005,2.10562138
-5.86193097,7.00285228,0.01229225,1.17060093,2.92708503,2.65302025,0.10781224,2.14213504
-5.85592796,7.16287974,0.01248080,1.21344181,2.99064357,2.70412383,0.11355791,2.17257862
-5.84992496,7.30637942,0.01264728,1.25419424,3.04681740,2.74858336,0.11914958,2.19722824
-5.84392196,7.43353503,0.01279579,1.29260480,3.09582544,2.78669644,0.12452879,2.21650764
-5.83791896,7.54489338,0.01293081,1.32847232,3.13807241,2.81890797,0.12963708,2.23096489
-5.83191596,7.64131944,0.01305701,1.36164981,3.17412685,2.84578826,0.13441723,2.24124643
-5.82591296,7.72394743,0.01317903,1.39204592,3.20469609,2.86800896,0.13881445,2.24806926
-5.81990995,7.79412961,0.01330131,1.41962589,3.23059912,2.88631788,0.14277786,2.25219238
-5.81390695,7.85338368,0.01342789,1.44441177,3.25273827,2.90151294,0.14626178,2.25438845
-5.80790395,7.90334007,0.01356226,1.46648161,3.27207036,2.91441624,0.14922713,2.25541646
-5.80190095,7.94568960,0.01370725,1.48596735,3.28957825,2.92584830,0.15164258,2.25599620
-5.79589795,7.98213203,0.01386488,1.50305109,3.30624310,2.93660318,0.15348558,2.25678530
-5.78989495,8.01432605,0.01403634,1.51795975,3.32301810,2.94742470,0.15474307,2.25835919
-5.78389195,8.04384084,0.01422194,1.53095771,3.34080388,2.95898409,0.15541186,2.26119438
-5.77788894,8.07211002,0.01442109,1.54233776,3.36042606,2.97185959,0.15549872,2.26565551
