energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,0.18671535,0.05666038,0.02470864,0.00000000,0.02500510,0.00002157,0.09785555
-5.99399700,0.19086266,0.05696414,0.02563123,0.00000000,0.02391167,0.00002868,0.10260025
-5.98799400,0.19456412,0.05714520,0.02648696,0.00000000,0.02278392,0.00003788,0.10704169
-5.98199100,0.19781291,0.05721578,0.02726840,0.00000000,0.02164616,0.00004968,0.11112861
-5.97598799,0.20061593,0.05719130,0.02797014,0.00000000,0.02052280,0.00006472,0.11481826
-5.96998499,0.20299626,0.05709083,0.02858917,0.00000000,0.01943820,0.00008374,0.11807843
-5.96398199,0.20499542,0.05693758,0.02912523,0.00000000,0.01841657,0.00010759,0.12088905
-5.95797899,0.20667506,0.05675930,0.02958108,0.00000000,0.01748193,0.00013728,0.12324331
-5.95197599,0.20811804,0.05658852,0.02996261,0.00000000,0.01665823,0.00017396,0.12514829
-5.94597299,0.20942871,0.05646269,0.03027883,0.00000000,0.01596938,0.00021893,0.12662485
-5.93996998,0.21073217,0.05642411,0.03054171,0.00000000,0.01543944,0.00027362,0.12770687
-5.93396698,0.21217263,0.05651957,0.03076584,0.00000000,0.01509270,0.00033963,0.12843990
-5.92796398,0.21391064,0.05679980,0.03096801,0.00000001,0.01495378,0.00041866,0.12887910
-5.92196098,0.21611931,0.05731858,0.03116658,0.00000001,0.01504766,0.00051254,0.12908662
-5.91595798,0.21897962,0.05813159,0.03138076,0.00000001,0.01539958,0.00062315,0.12912864
-5.90995498,0.22267485,0.05929504,0.03162987,0.00000001,0.01603485,0.00075245,0.12907206
-5.90395198,0.22738439,0.06086398,0.03193241,0.00000001,0.01697855,0.00090234,0.12898108
-5.89794897,0.23327714,0.06289053,0.03230532,0.00000002,0.01825500,0.00107468,0.12891386
-5.89194597,0.24050469,0.06542187,0.03276306,0.00000002,0.01988715,0.00127118,0.12891944
-5.88594297,0.24919456,0.06849828,0.03331695,0.00000003,0.02189580,0.00149332,0.12903506
-5.87993997,0.25944389,0.07215108,0.03397448,0.00000004,0.02429867,0.00174230,0.12928409
-5.87393697,0.27131359,0.07640070,0.03473888,0.00000006,0.02710939,0.00201892,0.12967462
-5.86793397,0.28482351,0.08125500,0.03560873,0.00000008,0.03033639,0.00232350,0.13019889
-5.86193097,0.29994864,0.08670771,0.03657789,0.00000010,0.03398183,0.00265581,0.13083351
-5.85592796,0.31661656,0.09273732,0.03763555,0.00000014,0.03804045,0.00301496,0.13154057
-5.84992496,0.33470646,0.09930631,0.03876645,0.00000019,0.04249864,0.00339939,0.13226947
-5.84392196,0.35404963,0.10636089,0.03995142,0.00000026,0.04733358,0.00380676,0.13295955
-5.83791896,0.37443157,0.11383126,0.04116788,0.00000036,0.05251262,0.00423398,0.13354314
-5.83191596,0.39559578,0.12163241,0.04239072,0.00000049,0.05799296,0.00467714,0.13394924
-5.82591296,0.41724908,0.12966554,0.04359308,0.00000067,0.06372166,0.00513161,0.13410725
-5.81990995,0.43906850,0.13781997,0.04474738,0.00000090,0.06963602,0.00559204,0.13395088
-5.81390695,0.46070936,0.14597573,0.04582628,0.00000122,0.07566440,0.00605243,0.13342190
-5.80790395,0.48181471,0.15400653,0.04680372,0.00000162,0.08172745,0.00650631,0.13247357
-5.80190095,0.50202546,0.16178329,0.04765586,0.00000216,0.08773979,0.00694682,0.13107370
-5.79589795,0.52099135,0.16917789,0.04836205,0.00000285,0.09361209,0.00736691,0.12920703
-5.78989495,0.53838208,0.17606733,0.04890563,0.00000373,0.09925346,0.00775947,0.12687704
-5.78389195,0.55389851,0.18233785,0.04927465,0.00000486,0.10457423,0.00811760,0.12410700
-5.77788894,0.56728351,0.18788913,0.04946247,0.00000629,0.10948878,0.00843477,0.12094028
-5.77188594,0.57833204,0.19263829,0.04946819,0.00000808,0.11391865,0.00870499,0.11743999
-5.76588294,0.58690015,0.19652360,0.04929692,0.00001031,0.11779547,0.00892305,0.11368781
-5.75987994,0.59291264,0.19950770,0.04895992,0.00001306,0.12106389,0.00908466,0.10978241
-5.75387694,0.59636885,0.20158026,0.04847451,0.00001643,0.12368415,0.00918659,0.10583715
-5.74787394,0.59734657,0.20275984,0.04786393,0.00002051,0.12563439,0.00922677,0.10197746
-5.74187094,0.59600362,0.20309507,0.04715692,0.00002544,0.12691236,0.00920439,0.09833787
-5.73586793,0.59257711,0.20266474,0.04638721,0.00003132,0.12753672,0.00911989,0.09505880
-5.72986493,0.58738017,0.20157710,0.04559293,0.00003828,0.12754760,0.00897496,0.09228312
-5.72386193,0.58079619,0.19996810,0.04481572,0.00004645,0.12700651,0.00877250,0.09015279
-5.71785893,0.57327066,0.19799869,0.04409994,0.00005597,0.12599563,0.00851650,0.08880532
-5.71185593,0.56530074,0.19585123,0.04349159,0.00006696,0.12461633,0.00821193,0.08837037
-5.70585293,0.55742271,0.19372502,0.04303725,0.00007953,0.12298710,0.00786455,0.08896640
-5.69984992,0.55019780,0.19183118,0.04278293,0.00009378,0.12124084,0.00748078,0.09069743
-5.69384692,0.54419658,0.19038689,0.04277284,0.00010979,0.11952168,0.00706745,0.09364994
-5.68784392,0.53998248,0.18960914,0.04304820,0.00012761,0.11798127,0.00663163,0.09789003
-5.68184092,0.53809475,0.18970835,0.04364599,0.00014726,0.11677487,0.00618045,0.10346074
-5.67583792,0.53903159,0.19088175,0.04459777,0.00016872,0.11605704,0.00572085,0.11037971
-5.66983492,0.54323375,0.19330697,0.04592857,0.00019191,0.11597734,0.00525950,0.11863717
-5.66383192,0.55106921,0.19713587,0.04765586,0.00021673,0.11667598,0.00480257,0.12819445
-5.65782891,0.56281941,0.20248883,0.04978863,0.00024300,0.11827949,0.00435566,0.13898292
-5.65182591,0.57866751,0.20944978,0.05232673,0.00027049,0.12089670,0.00392372,0.15090360
-5.64582291,0.59868904,0.21806191,0.05526026,0.00029893,0.12461496,0.00351094,0.16382747
-5.63981991,0.62284531,0.22832449,0.05856934,0.00032800,0.12949672,0.00312079,0.17759659
-5.63381691,0.65097983,0.24019070,0.06222397,0.00035730,0.13557669,0.00275599,0.19202593
-5.62781391,0.68281806,0.25356670,0.06618430,0.00038643,0.14285946,0.00241855,0.20690627
-5.62181091,0.71797031,0.26831195,0.07040107,0.00041493,0.15131791,0.00210986,0.22200780
-5.61580790,0.75593815,0.28424091,0.07481637,0.00044233,0.16089218,0.00183074,0.23708460
-5.60980490,0.79612397,0.30112602,0.07936467,0.00046816,0.17148962,0.00158156,0.25187993
-5.60380190,0.83784359,0.31870200,0.08397405,0.00049193,0.18298542,0.00136237,0.26613205
-5.59779890,0.88034177,0.33667141,0.08856775,0.00051321,0.19522427,0.00117305,0.27958056
-5.59179590,0.92280999,0.35471129,0.09306578,0.00053155,0.20802283,0.00101342,0.29197300
-5.58579290,0.96440629,0.37248084,0.09738682,0.00054660,0.22117314,0.00088343,0.30307147
-5.57978989,1.00427646,0.38962980,0.10145007,0.00055804,0.23444693,0.00078329,0.31265908
-5.57378689,1.04157615,0.40580742,0.10517726,0.00056563,0.24760070,0.00071369,0.32054596
-5.56778389,1.07549310,0.42067178,0.10849458,0.00056921,0.26038146,0.00067591,0.32657457
-5.56178089,1.10526897,0.43389898,0.11133452,0.00056870,0.27253315,0.00067205,0.33062413
-5.55577789,1.13022003,0.44519220,0.11363764,0.00056410,0.28380332,0.00070517,0.33261403
-5.54977489,1.14975607,0.45429005,0.11535407,0.00055553,0.29395009,0.00077948,0.33250596
-5.54377189,1.16339696,0.46097415,0.11644481,0.00054316,0.30274899,0.00090050,0.33030481
-5.53776888,1.17078632,0.46507550,0.11688277,0.00052726,0.30999965,0.00107523,0.32605823
-5.53176588,1.17170174,0.46647955,0.11665339,0.00050815,0.31553178,0.00131227,0.31985486
-5.52576288,1.16606141,0.46512962,0.11575502,0.00048623,0.31921053,0.00162196,0.31182140
-5.51975988,1.15392675,0.46102878,0.11419895,0.00046191,0.32094084,0.00201643,0.30211858
