energy_ev,total_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.26040009,0.33936893,0.40911814,0.11761969,0.42822817,0.05546472,0.00000000
-5.99399700,1.23924241,0.32787432,0.40344333,0.11610989,0.43168016,0.05338514,0.00000000
-5.98799400,1.21558215,0.31574154,0.39691945,0.11430810,0.43380958,0.05125379,0.00000000
-5.98199100,1.18951928,0.30308936,0.38959225,0.11223076,0.43449170,0.04908373,0.00000000
-5.97598799,1.16115496,0.29003421,0.38150451,0.10989417,0.43361872,0.04688742,0.00000000
-5.96998499,1.13059491,0.27668844,0.37269654,0.10731447,0.43110499,0.04467663,0.00000000
-5.96398199,1.09795345,0.26315902,0.36320718,0.10450779,0.42689178,0.04246245,0.00000000
-5.95797899,1.06335799,0.24954650,0.35307521,0.10149040,0.42095128,0.04025523,0.00000000
-5.95197599,1.02695367,0.23594449,0.34234104,0.09827916,0.41328975,0.03806468,0.00000000
-5.94597299,0.98890776,0.22243941,0.33104862,0.09489182,0.40394966,0.03589986,0.00000000
-5.93996998,0.94941356,0.20911052,0.31924728,0.09134747,0.39301058,0.03376928,0.00000000
-5.93396698,0.90869354,0.19603029,0.30699356,0.08766691,0.38058901,0.03168096,0.00000000
-5.92796398,0.86700139,0.18326487,0.29435274,0.08387301,0.36683690,0.02964248,0.00000000
-5.92196098,0.82462290,0.17087476,0.28140006,0.07999094,0.35193920,0.02766107,0.00000000
-5.91595798,0.78187550,0.15891545,0.26822142,0.07604834,0.33611035,0.02574365,0.00000000
-5.90995498,0.73910641,0.14743813,0.25491367,0.07207531,0.31958988,0.02389689,0.00000000
-5.90395198,0.69668946,0.13649030,0.24158426,0.06810429,0.30263750,0.02212720,0.00000000
-5.89794897,0.65502067,0.12611627,0.22835037,0.06416983,0.28552762,0.02044074,0.00000000
-5.89194597,0.61451270,0.11635756,0.21533752,0.06030816,0.26854361,0.01884341,0.00000000
-5.88594297,0.57558834,0.10725309,0.20267765,0.05655670,0.25197207,0.01734079,0.00000000
-5.87993997,0.53867324,0.09883925,0.19050678,0.05295348,0.23609712,0.01593809,0.00000000
-5.87393697,0.50418817,0.09114975,0.17896241,0.04953642,0.22119490,0.01464006,0.00000000
-5.86793397,0.47254086,0.08421530,0.16818048,0.04634260,0.20752846,0.01345091,0.00000000
-5.86193097,0.44411779,0.07806320,0.15829240,0.04340753,0.19534301,0.01237417,0.00000000
-5.85592796,0.41927594,0.07271674,0.14942183,0.04076436,0.18486154,0.01141264,0.00000000
-5.84992496,0.39833481,0.06819449,0.14168159,0.03844313,0.17628091,0.01056825,0.00000000
-5.84392196,0.38156877,0.06450956,0.13517070,0.03647013,0.16976839,0.00984194,0.00000000
-5.83791896,0.36919989,0.06166878,0.12997153,0.03486718,0.16545847,0.00923361,0.00000000
-5.83191596,0.36139139,0.05967188,0.12614735,0.03365111,0.16345014,0.00874198,0.00000000
-5.82591296,0.35824183,0.05851071,0.12374011,0.03283330,0.16380444,0.00836457,0.00000000
-5.81990995,0.35978013,0.05816850,0.12276872,0.03241923,0.16654237,0.00809762,0.00000000
-5.81390695,0.36596169,0.05861926,0.12322770,0.03240829,0.17164327,0.00793610,0.00000000
-5.80790395,0.37666554,0.05982735,0.12508638,0.03279358,0.17904351,0.00787366,0.00000000
-5.80190095,0.39169296,0.06174711,0.12828863,0.03356186,0.18863579,0.00790274,0.00000000
-5.79589795,0.41076751,0.06432290,0.13275315,0.03469365,0.20026911,0.00801454,0.00000000
-5.78989495,0.43353670,0.06748925,0.13837437,0.03616349,0.21374944,0.00819921,0.00000000
-5.78389195,0.45957557,0.07117133,0.14502393,0.03794019,0.22884133,0.00844591,0.00000000
-5.77788894,0.48839202,0.07528576,0.15255279,0.03998739,0.24527058,0.00874304,0.00000000
-5.77188594,0.51943423,0.07974169,0.16079392,0.04226413,0.26272791,0.00907839,0.00000000
-5.76588294,0.55209990,0.08444217,0.16956552,0.04472557,0.28087397,0.00943940,0.00000000
-5.75987994,0.58574745,0.08928584,0.17867468,0.04732382,0.29934539,0.00981341,0.00000000
-5.75387694,0.61970873,0.09416883,0.18792156,0.05000886,0.31776201,0.01018796,0.00000000
-5.74787394,0.65330324,0.09898693,0.19710376,0.05272953,0.33573513,0.01055105,0.00000000
-5.74187094,0.68585326,0.10363781,0.20602085,0.05543460,0.35287650,0.01089149,0.00000000
-5.73586793,0.71669954,0.10802339,0.21447907,0.05807376,0.36880792,0.01119919,0.00000000
-5.72986493,0.74521706,0.11205214,0.22229576,0.06059876,0.38317100,0.01146543,0.00000000
-5.72386193,0.77083022,0.11564139,0.22930359,0.06296437,0.39563679,0.01168318,0.00000000
-5.71785893,0.79302702,0.11871931,0.23535441,0.06512931,0.40591494,0.01184736,0.00000000
-5.71185593,0.81137155,0.12122677,0.24032246,0.06705711,0.41376189,0.01195501,0.00000000
-5.70585293,0.82551436,0.12311881,0.24410698,0.06871684,0.41898783,0.01200552,0.00000000
-5.69984992,0.83520041,0.12436574,0.24663405,0.07008360,0.42146202,0.01200073,0.00000000
-5.69384692,0.84027405,0.12495378,0.24785754,0.07113899,0.42111634,0.01194502,0.00000000
-5.68784392,0.84068111,0.12488533,0.24775934,0.07187131,0.41794675,0.01184536,0.00000000
-5.68184092,0.83646787,0.12417872,0.24634861,0.07227558,0.41201271,0.01171124,0.00000000
-5.67583792,0.82777708,0.12286751,0.24366042,0.07235349,0.40343443,0.01155461,0.00000000
-5.66983492,0.81484132,0.12099949,0.23975352,0.07211308,0.39238829,0.01138978,0.00000000
-5.66383192,0.79797388,0.11863518,0.23470770,0.07156836,0.37910040,0.01123315,0.00000000
-5.65782891,0.77755776,0.11584620,0.22862054,0.07073877,0.36383879,0.01110308,0.00000000
-5.65182591,0.75403317,0.11271331,0.22160402,0.06964859,0.34690443,0.01101956,0.00000000
-5.64582291,0.72788418,0.10932433,0.21378081,0.06832622,0.32862160,0.01100390,0.00000000
-5.63981991,0.69962495,0.10577205,0.20528068,0.06680351,0.30932795,0.01107845,0.00000000
-5.63381691,0.66978610,0.10215206,0.19623702,0.06511495,0.28936468,0.01126617,0.00000000
-5.62781391,0.63890175,0.09856065,0.18678353,0.06329696,0.26906725,0.01159025,0.00000000
-5.62181091,0.60749747,0.09509293,0.17705130,0.06138711,0.24875686,0.01207373,0.00000000
-5.61580790,0.57607958,0.09184092,0.16716632,0.05942346,0.22873313,0.01273905,0.00000000
-5.60980490,0.54512590,0.08889197,0.15724735,0.05744379,0.20926800,0.01360759,0.00000000
-5.60380190,0.51507819,0.08632728,0.14740432,0.05548503,0.19060107,0.01469926,0.00000000
-5.59779890,0.48633614,0.08422069,0.13773709,0.05358259,0.17293651,0.01603199,0.00000000
-5.59179590,0.45925302,0.08263759,0.12833473,0.05176981,0.15644123,0.01762134,0.00000000
-5.58579290,0.43413272,0.08163403,0.11927502,0.05007745,0.14124458,0.01948002,0.00000000
-5.57978989,0.41122822,0.08125610,0.11062443,0.04853319,0.12743912,0.02161747,0.00000000
-5.57378689,0.39074113,0.08153931,0.10243822,0.04716117,0.11508248,0.02403946,0.00000000
-5.56778389,0.37282216,0.08250822,0.09476083,0.04598165,0.10419998,0.02674772,0.00000000
-5.56178089,0.35757243,0.08417619,0.08762631,0.04501067,0.09478785,0.02973963,0.00000000
-5.55577789,0.34504532,0.08654522,0.08105901,0.04425974,0.08681687,0.03300793,0.00000000
-5.54977489,0.33524880,0.08960596,0.07507413,0.04373569,0.08023609,0.03654053,0.00000000
-5.54377189,0.32814808,0.09333775,0.06967850,0.04344054,0.07497664,0.04032034,0.00000000
-5.53776888,0.32366852,0.09770888,0.06487118,0.04337142,0.07095530,0.04432524,0.00000000
-5.53176588,0.32169870,0.10267690,0.06064424,0.04352066,0.06807795,0.04852808,0.00000000
-5.52576288,0.32209372,0.10818911,0.05698339,0.04387588,0.06624248,0.05289679,0.00000000
-5.51975988,0.32467853,0.11418309,0.05386868,0.04442026,0.06534153,0.05739456,0.00000000
-5.51375688,0.32925150,0.12058751,0.05127517,0.04513281,0.06526470,0.06198021,0.00000000
-5.50775388,0.33558807,0.12732296,0.04917362,0.04598883,0.06590040,0.06660848,0.00000000
-5.50175088,0.34344459,0.13430299,0.04753113,0.04696031,0.06713740,0.07123062,0.00000000
-5.49574787,0.35256225,0.14143529,0.04631187,0.04801656,0.06886606,0.07579493,0.00000000
-5.48974487,0.36267127,0.14862303,0.04547772,0.04912477,0.07097931,0.08024747,0.00000000
-5.48374187,0.37349512,0.15576632,0.04498897,0.05025070,0.07337343,0.08453288,0.00000000
-5.47773887,0.38475493,0.16276379,0.04480500,0.05135940,0.07594880,0.08859520,0.00000000
-5.47173587,0.39617391,0.16951432,0.04488492,0.05241588,0.07861045,0.09237890,0.00000000
-5.46573287,0.40748181,0.17591880,0.04518822,0.05338590,0.08126873,0.09582986,0.00000000
-5.45972986,0.41841930,0.18188200,0.04567534,0.05423668,0.08383983,0.09889646,0.00000000
-5.45372686,0.42874216,0.18731432,0.04630822,0.05493760,0.08624646,0.10153072,0.00000000
-5.44772386,0.43822530,0.19213365,0.04705073,0.05546086,0.08841847,0.10368938,0.00000000
-5.44172086,0.44666624,0.19626702,0.04786909,0.05578213,0.09029346,0.10533500,0.00000000
-5.43571786,0.45388829,0.19965211,0.04873216,0.05588106,0.09181748,0.10643695,0.00000000
-5.42971486,0.45974300,0.20223860,0.04961161,0.05574178,0.09294558,0.10697237,0.00000000
-5.42371186,0.46411197,0.20398912,0.05048204,0.05535322,0.09364229,0.10692688,0.00000000
-5.41770885,0.46690794,0.20488004,0.05132096,0.05470937,0.09388208,0.10629521,0.00000000
-5.41170585,0.46807495,0.20490178,0.05210873,0.05380942,0.09364950,0.10508158,0.00000000
-5.40570285,0.46758783,0.20405876,0.05282835,0.05265775,0.09293925,0.10329976,0.00000000
-5.39969985,0.46545071,0.20236902,0.05346522,0.05126375,0.09175599,0.10097305,0.00000000
-5.39369685,0.46169492,0.19986333,0.05400688,0.04964161,0.09011390,0.09813375,0.00000000
-5.38769385,0.45637613,0.19658409,0.05444267,0.04780985,0.08803602,0.09482259,0.00000000
-5.38169085,0.44957104,0.19258384,0.05476343,0.04579084,0.08555340,0.09108774,0.00000000
-5.37568784,0.44137361,0.18792349,0.05496119,0.04361017,0.08270397,0.08698366,0.00000000
-5.36968484,0.43189124,0.18267052,0.05502893,0.04129594,0.07953134,0.08256981,0.00000000
-5.36368184,0.42124076,0.17689691,0.05496039,0.03887801,0.07608341,0.07790908,0.00000000
-5.35767884,0.40954474,0.17067726,0.05474998,0.03638721,0.07241097,0.07306632,0.00000000
-5.35167584,0.39692809,0.16408685,0.05439269,0.03385460,0.06856623,0.06810667,0.00000000
-5.34567284,0.38351507,0.15719994,0.05388422,0.03131063,0.06460144,0.06309408,0.00000000
