energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.79744990,0.00719652,0.00000000,0.00271770,1.31490588,1.21987169,0.64043891
-5.99399700,1.86406015,0.00741281,0.00000000,0.00258285,1.36439905,1.24377408,0.67054307
-5.98799400,1.93314592,0.00766076,0.00000000,0.00246527,1.41559173,1.26867137,0.70180606
-5.98199100,2.00401238,0.00794088,0.00000000,0.00236411,1.46801610,1.29440970,0.73390441
-5.97598799,2.07590752,0.00825338,0.00000000,0.00227823,1.52117049,1.32080686,0.76649182
-5.96998499,2.14804585,0.00859816,0.00000000,0.00220626,1.57453596,1.34766052,0.79921046
-5.96398199,2.21963250,0.00897473,0.00000000,0.00214666,1.62759254,1.37475660,0.83170226
-5.95797899,2.28988645,0.00938227,0.00000000,0.00209781,1.67983434,1.40187709,0.86361946
-5.95197599,2.35806151,0.00981952,0.00000000,0.00205804,1.73078251,1.42880669,0.89463397
-5.94597299,2.42346395,0.01028482,0.00000000,0.00202571,1.77999531,1.45533774,0.92444499
-5.93996998,2.48546586,0.01077604,0.00000000,0.00199926,1.82707474,1.48127312,0.95278441
-5.93396698,2.54351364,0.01129060,0.00000000,0.00197723,1.87166940,1.50642681,0.97941993
-5.92796398,2.59713140,0.01182545,0.00000000,0.00195829,1.91347355,1.53062224,1.00415572
-5.92196098,2.64591939,0.01237708,0.00000000,0.00194131,1.95222268,1.55368857,1.02683077
-5.91595798,2.68954807,0.01294150,0.00000000,0.00192533,1.98768620,1.57545537,1.04731525
-5.90995498,2.72774876,0.01351435,0.00000000,0.00190961,2.01965793,1.59574643,1.06550535
-5.90395198,2.76030202,0.01409091,0.00000000,0.00189360,2.04794572,1.61437330,1.08131708
-5.89794897,2.78702516,0.01466624,0.00000000,0.00187696,2.07236108,1.63112962,1.09467983
-5.89194597,2.80776053,0.01523530,0.00000000,0.00185959,2.09271012,1.64578700,1.10553020
-5.88594297,2.82236579,0.01579314,0.00000000,0.00184155,2.10878704,1.65809324,1.11380695
-5.87993997,2.83070767,0.01633505,0.00000000,0.00182312,2.12037090,1.66777367,1.11944744
-5.87393697,2.83265998,0.01685689,0.00000000,0.00180476,2.12722651,1.67453584,1.12238615
-5.86793397,2.82810677,0.01735527,0.00000000,0.00178712,2.12910987,1.67807796,1.12255548
-5.86193097,2.81695041,0.01782783,0.00000000,0.00177101,2.12577797,1.67810085,1.11988893
-5.85592796,2.79912460,0.01827354,0.00000000,0.00175740,2.11700279,1.67432294,1.11432648
-5.84992496,2.77461123,0.01869293,0.00000000,0.00174742,2.10258857,1.66649768,1.10582191
-5.84392196,2.74346015,0.01908829,0.00000000,0.00174233,2.08239140,1.65443228,1.09435143
-5.83791896,2.70580991,0.01946385,0.00000000,0.00174350,2.05633976,1.63800680,1.07992310
-5.83191596,2.66190810,0.01982586,0.00000000,0.00175242,2.02445446,1.61719200,1.06258613
-5.82591296,2.61212907,0.02018262,0.00000000,0.00177064,1.98686660,1.59206497,1.04243944
-5.81990995,2.55698746,0.02054437,0.00000000,0.00179979,1.94383194,1.56282116,1.01963857
-5.81390695,2.49714590,0.02092311,0.00000000,0.00184149,1.89574045,1.52978171,0.99440036
-5.80790395,2.43341561,0.02133231,0.00000000,0.00189735,1.84312004,1.49339535,0.96700480
-5.80190095,2.36674903,0.02178653,0.00000000,0.00196891,1.78663383,1.45423440,0.93779377
-5.79589795,2.29822445,0.02230089,0.00000000,0.00205757,1.72707057,1.41298455,0.90716644
-5.78989495,2.22902258,0.02289058,0.00000000,0.00216458,1.66532860,1.37042884,0.87557143
-5.78389195,2.16039619,0.02357022,0.00000000,0.00229094,1.60239371,1.32742622,0.84349602
-5.77788894,2.09363380,0.02435323,0.00000000,0.00243738,1.53931206,1.28488575,0.81145295
-5.77188594,2.03001952,0.02525123,0.00000000,0.00260427,1.47715921,1.24373749,0.77996532
