energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.11684495,-4.27957095,0.99827307,-0.72429363,1.27983409,-0.61413190,0.00985038,-0.01516529,1.09281766,-1.12491039,0.12434219,-0.10599011,0.59722209,-0.96238345
-5.99399700,4.08235963,-4.02434362,1.00073350,-0.68003182,1.27585318,-0.57819643,0.01087944,-0.01428978,1.08709871,-1.05755776,0.12478188,-0.09997124,0.58857278,-0.90529382
-5.98799400,4.04836119,-3.76281942,1.00333696,-0.63467057,1.27252844,-0.54143111,0.01196573,-0.01340082,1.08148591,-0.98853247,0.12539242,-0.09382543,0.57996403,-0.84680381
-5.98199100,4.01656078,-3.49970197,1.00647581,-0.58902259,1.27029925,-0.50451664,0.01310247,-0.01251700,1.07642979,-0.91907883,0.12619889,-0.08767176,0.57165655,-0.78796223
-5.97598799,3.98830228,-3.23949133,1.01046394,-0.54387008,1.26947931,-0.46810486,0.01428123,-0.01165650,1.07228752,-0.85038989,0.12721112,-0.08162462,0.56385541,-0.72976975
-5.96998499,3.96451197,-2.98638763,1.01552150,-0.49994901,1.27024339,-0.43280483,0.01549190,-0.01083672,1.06930828,-0.78358226,0.12842300,-0.07579123,0.55670364,-0.67315699
-5.96398199,3.94566823,-2.74421147,1.02176388,-0.45793608,1.27262050,-0.39917113,0.01672286,-0.01007407,1.06762383,-0.71967537,0.12981252,-0.07026957,0.55027886,-0.61896649
-5.95797899,3.93179237,-2.51634241,1.02919545,-0.41843873,1.27649391,-0.36769484,0.01796102,-0.00938367,1.06724449,-0.65957534,0.13134250,-0.06514679,0.54459306,-0.56793875
-5.95197599,3.92246028,-2.30567592,1.03770820,-0.38198796,1.28160766,-0.33879708,0.01919205,-0.00877921,1.06806066,-0.60406368,0.13296210,-0.06049801,0.53959530,-0.52070258
-5.94597299,3.91683381,-2.11459827,1.04708536,-0.34903411,1.28757930,-0.31282511,0.02040059,-0.00827280,1.06984970,-0.55379057,0.13460882,-0.05638558,0.53517734,-0.47776953
