energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,2.04503324,0.01571987,0.08373196,0.26302362,0.39173275,1.37815221,0.72266958,0.00000000
-5.99399700,1.99467436,0.01423163,0.07565060,0.24543254,0.36868624,1.36890398,0.69483070,0.00000000
-5.98799400,1.94825609,0.01285032,0.06799348,0.22878723,0.34749035,1.36049089,0.66916240,0.00000000
-5.98199100,1.90599375,0.01158691,0.06082400,0.21325476,0.32829039,1.35273498,0.64587622,0.00000000
-5.97598799,1.86794720,0.01044916,0.05419120,0.19897389,0.31118058,1.34539455,0.62511096,0.00000000
-5.96998499,1.83404029,0.00944174,0.04813030,0.18605491,0.29620857,1.33818155,0.60693710,0.00000000
-5.96398199,1.80408493,0.00856649,0.04266379,0.17457992,0.28338136,1.33078136,0.59136327,0.00000000
-5.95797899,1.77780810,0.00782257,0.03780262,0.16460342,0.27267223,1.32287351,0.57834428,0.00000000
-5.95197599,1.75488049,0.00720683,0.03354775,0.15615325,0.26402806,1.31415264,0.56779036,0.00000000
-5.94597299,1.73494518,0.00671409,0.02989173,0.14923176,0.25737703,1.30434825,0.55957702,0.00000000
-5.93996998,1.71764504,0.00633744,0.02682039,0.14381726,0.25263600,1.29324257,0.55355517,0.00000000
-5.93396698,1.70264755,0.00606862,0.02431452,0.13986570,0.24971755,1.28068543,0.54956110,0.00000000
-5.92796398,1.68966612,0.00589829,0.02235138,0.13731258,0.24853618,1.26660545,0.54742589,0.00000000
-5.92196098,1.67847714,0.00581639,0.02090622,0.13607513,0.24901370,1.25101716,0.54698418,0.00000000
-5.91595798,1.66893229,0.00581241,0.01995353,0.13605482,0.25108348,1.23402364,0.54808181,0.00000000
-5.90995498,1.66096585,0.00587572,0.01946816,0.13714004,0.25469369,1.21581467,0.55058252,0.00000000
-5.90395198,1.65459723,0.00599580,0.01942621,0.13920907,0.25980931,1.19666062,0.55437327,0.00000000
-5.89794897,1.64992888,0.00616253,0.01980577,0.14213330,0.26641311,1.17690248,0.55936850,0.00000000
-5.89194597,1.64714020,0.00636645,0.02058736,0.14578058,0.27450557,1.15693870,0.56551302,0.00000000
-5.88594297,1.64647798,0.00659891,0.02175426,0.15001858,0.28410390,1.13720944,0.57278376,0.00000000
-5.87993997,1.64824424,0.00685236,0.02329264,0.15471829,0.29524026,1.11817935,0.58119034,0.00000000
-5.87393697,1.65278217,0.00712047,0.02519143,0.15975726,0.30795930,1.10031951,0.59077446,0.00000000
-5.86793397,1.66046094,0.00739826,0.02744220,0.16502266,0.32231519,1.08408963,0.60160825,0.00000000
-5.86193097,1.67166012,0.00768229,0.03003873,0.17041401,0.33836822,1.06992127,0.61379151,0.00000000
-5.85592796,1.68675430,0.00797060,0.03297658,0.17584540,0.35618111,1.05820282,0.62744796,0.00000000
-5.84992496,1.70609840,0.00826287,0.03625251,0.18124720,0.37581510,1.04926678,0.64272047,0.00000000
-5.84392196,1.73001405,0.00856028,0.03986386,0.18656713,0.39732597,1.04337982,0.65976536,0.00000000
-5.83791896,1.75877720,0.00886547,0.04380779,0.19177069,0.42075993,1.04073585,0.67874582,0.00000000
-5.83191596,1.79260725,0.00918241,0.04808057,0.19684084,0.44614958,1.04145206,0.69982449,0.00000000
-5.82591296,1.83165741,0.00951618,0.05267679,0.20177710,0.47350983,1.04556792,0.72315542,0.00000000
-5.81990995,1.87600656,0.00987274,0.05758861,0.20659404,0.50283402,1.05304677,0.74887541,0.00000000
-5.81390695,1.92565221,0.01025859,0.06280495,0.21131919,0.53409008,1.06377963,0.77709510,0.00000000
-5.80790395,1.98050469,0.01068047,0.06831086,0.21599059,0.56721691,1.07759084,0.80788992,0.00000000
-5.80190095,2.04038227,0.01114497,0.07408681,0.22065411,0.60212105,1.09424494,0.84129125,0.00000000
-5.79589795,2.10500734,0.01165814,0.08010816,0.22536053,0.63867372,1.11345424,0.87727809,0.00000000
-5.78989495,2.17400356,0.01222510,0.08634466,0.23016270,0.67670823,1.13488681,0.91576956,0.00000000
-5.78389195,2.24689414,0.01284966,0.09276018,0.23511290,0.71601810,1.15817423,0.95661856,0.00000000
-5.77788894,2.32310144,0.01353396,0.09931250,0.24026035,0.75635584,1.18291908,0.99960705,0.00000000
-5.77188594,2.40194806,0.01427817,0.10595327,0.24564923,0.79743262,1.20870167,1.04444311,0.00000000
-5.76588294,2.48265986,0.01508025,0.11262821,0.25131708,0.83891898,1.23508628,1.09076014,0.00000000
-5.75987994,2.56437108,0.01593579,0.11927747,0.25729376,0.88044670,1.26162656,1.13811848,0.00000000
-5.75387694,2.64613200,0.01683793,0.12583614,0.26360079,0.92161194,1.28787051,1.18600948,0.00000000
-5.74787394,2.72691934,0.01777735,0.13223507,0.27025134,0.96197979,1.31336505,1.23386218,0.00000000
-5.74187094,2.80564959,0.01874245,0.13840178,0.27725049,1.00109018,1.33766038,1.28105248,0.00000000
-5.73586793,2.88119541,0.01971950,0.14426164,0.28459586,1.03846521,1.36031455,1.32691480,0.00000000
-5.72986493,2.95240492,0.02069302,0.14973916,0.29227846,1.07361780,1.38089820,1.37075584,0.00000000
-5.72386193,3.01812371,0.02164615,0.15475951,0.30028364,1.10606149,1.39899989,1.41187015,0.00000000
-5.71785893,3.07721923,0.02256115,0.15925008,0.30859198,1.13532118,1.41423190,1.44955715,0.00000000
-5.71185593,3.12860680,0.02341994,0.16314213,0.31718005,1.16094456,1.42623672,1.48313893,0.00000000
-5.70585293,3.17127675,0.02420469,0.16637253,0.32602100,1.18251378,1.43469409,1.51197845,0.00000000
-5.69984992,3.20432160,0.02489839,0.16888542,0.33508470,1.19965718,1.43932839,1.53549731,0.00000000
-5.69384692,3.22696250,0.02548550,0.17063382,0.34433772,1.21206032,1.43991627,1.55319260,0.00000000
-5.68784392,3.23857384,0.02595247,0.17158110,0.35374288,1.21947626,1.43629411,1.56465222,0.00000000
-5.68184092,3.23870518,0.02628827,0.17170228,0.36325855,1.22173436,1.42836513,1.56956803,0.00000000
-5.67583792,3.22709935,0.02648488,0.17098503,0.37283777,1.21874739,1.41610555,1.56774627,0.00000000
-5.66983492,3.20370619,0.02653761,0.16943044,0.38242730,1.21051652,1.39956975,1.55911508,0.00000000
-5.66383192,3.16869104,0.02644537,0.16705342,0.39196673,1.19713400,1.37889382,1.54372850,0.00000000
-5.65782891,3.12243774,0.02621085,0.16388272,0.40138788,1.17878334,1.35429744,1.52176702,0.00000000
-5.65182591,3.06554577,0.02584057,0.15996061,0.41061452,1.15573691,1.32608377,1.49353459,0.00000000
-5.64582291,2.99882151,0.02534478,0.15534213,0.41956271,1.12835100,1.29463724,1.45945205,0.00000000
-5.63981991,2.92326410,0.02473731,0.15009400,0.42814170,1.09705855,1.26041922,1.42004751,0.00000000
-5.63381691,2.84004595,0.02403534,0.14429317,0.43625565,1.06235968,1.22396160,1.37594368,0.00000000
-5.62781391,2.75048885,0.02325896,0.13802509,0.44380603,1.02481047,1.18585839,1.32784290,0.00000000
-5.62181091,2.65603626,0.02243080,0.13138172,0.45069474,0.98501021,1.14675551,1.27651026,0.00000000
-5.61580790,2.55822267,0.02157554,0.12445939,0.45682782,0.94358778,1.10733898,1.22275534,0.00000000
-5.60980490,2.45864090,0.02071933,0.11735649,0.46211956,0.90118734,1.06832182,1.16741323,0.00000000
-5.60380190,2.35890818,0.01988928,0.11017127,0.46649679,0.85845394,1.03042991,1.11132549,0.00000000
-5.59779890,2.26063198,0.01911282,0.10299952,0.46990320,0.81601946,0.99438704,1.05532134,0.00000000
-5.59179590,2.16537620,0.01841717,0.09593251,0.47230312,0.77448916,0.96089954,1.00019985,0.00000000
-5.58579290,2.07462849,0.01782871,0.08905508,0.47368478,0.73442926,0.93064065,0.94671341,0.00000000
-5.57978989,1.98976927,0.01737240,0.08244388,0.47406259,0.69635571,0.90423502,0.89555275,0.00000000
-5.57378689,1.91204300,0.01707129,0.07616607,0.47347820,0.66072447,0.88224344,0.84733400,0.00000000
-5.56778389,1.84253201,0.01694592,0.07027817,0.47200025,0.62792338,0.86514831,0.80258774,0.00000000
-5.56178089,1.78213340,0.01701385,0.06482536,0.46972264,0.59826562,0.85333988,0.76175029,0.00000000
-5.55577789,1.73153927,0.01728920,0.05984103,0.46676134,0.57198508,0.84710380,0.72515729,0.00000000
-5.54977489,1.69122071,0.01778218,0.05534670,0.46324979,0.54923328,0.84661009,0.69303953,0.00000000
-5.54377189,1.66141573,0.01849878,0.05135226,0.45933314,0.53007821,0.85190419,0.66552105,0.00000000
-5.53776888,1.64212171,0.01944037,0.04785649,0.45516152,0.51450476,0.86290010,0.64261952,0.00000000
-5.53176588,1.63309253,0.02060350,0.04484779,0.45088272,0.50241698,0.87937636,0.62424873,0.00000000
-5.52576288,1.63384085,0.02197969,0.04230513,0.44663471,0.49364184,0.90097498,0.61022320,0.00000000
-5.51975988,1.64364579,0.02355536,0.04019927,0.44253828,0.48793471,0.92720378,0.60026483,0.00000000
-5.51375688,1.66156629,0.02531182,0.03849393,0.43869043,0.48498634,0.95744245,0.59401140,0.00000000
-5.50775388,1.68646012,0.02722546,0.03714726,0.43515876,0.48443119,0.99095234,0.59102695,0.00000000
-5.50175088,1.71700869,0.02926796,0.03611316,0.43197724,0.48585717,1.02689021,0.59081365,0.00000000
-5.49574787,1.75174723,0.03140675,0.03534275,0.42914359,0.48881644,1.06432570,0.59282514,0.00000000
-5.48974487,1.78909987,0.03360552,0.03478581,0.42661859,0.49283716,1.10226230,0.59648101,0.00000000
-5.48374187,1.82741897,0.03582496,0.03439207,0.42432717,0.49743584,1.13966133,0.60118208,0.00000000
-5.47773887,1.86502763,0.03802350,0.03411252,0.42216147,0.50213010,1.17546833,0.60632614,0.00000000
-5.47173587,1.90026419,0.04015835,0.03390055,0.41998551,0.50645137,1.20864101,0.61132373,0.00000000
-5.46573287,1.93152734,0.04218644,0.03371302,0.41764144,0.50995726,1.23817791,0.61561359,0.00000000
-5.45972986,1.95732030,0.04406557,0.03351109,0.41495681,0.51224311,1.26314659,0.61867713,0.00000000
-5.45372686,1.97629254,0.04575550,0.03326094,0.41175273,0.51295241,1.28271056,0.62005166,0.00000000
-5.44772386,1.98727742,0.04721908,0.03293436,0.40785230,0.51178573,1.29615356,0.61934190,0.00000000
-5.44172086,1.98932438,0.04842326,0.03250902,0.40308898,0.50850779,1.30290048,0.61622927,0.00000000
-5.43571786,1.98172439,0.04934011,0.03196870,0.39731443,0.50295248,1.30253396,0.61047884,0.00000000
-5.42971486,1.96402767,0.04994759,0.03130326,0.39040548,0.49502567,1.29480592,0.60194355,0.00000000
-5.42371186,1.93605311,0.05023019,0.03050846,0.38226991,0.48470571,1.27964372,0.59056571,0.00000000
-5.41770885,1.89788893,0.05017940,0.02958561,0.37285074,0.47204159,1.25715050,0.57637571,0.00000000
-5.41170585,1.84988492,0.04979394,0.02854116,0.36212895,0.45714909,1.22760004,0.55948814,0.00000000
-5.40570285,1.79263648,0.04907967,0.02738605,0.35012446,0.44020481,1.19142609,0.54009539,0.00000000
-5.39969985,1.72696145,0.04804943,0.02613512,0.33689554,0.42143877,1.14920704,0.51845929,0.00000000
-5.39369685,1.65387087,0.04672250,0.02480633,0.32253654,0.40112556,1.10164638,0.49490095,0.00000000
-5.38769385,1.57453489,0.04512397,0.02342007,0.30717437,0.37957471,1.04955007,0.46978940,0.00000000
-5.38169085,1.49024554,0.04328385,0.02199836,0.29096376,0.35712061,0.99380173,0.44352952,0.00000000
-5.37568784,1.40237781,0.04123613,0.02056419,0.27408167,0.33411241,0.93533679,0.41654965,0.00000000
-5.36968484,1.31235069,0.03901767,0.01914081,0.25672119,0.31090426,0.87511658,0.38928942,0.00000000
-5.36368184,1.22158969,0.03666710,0.01775109,0.23908519,0.28784632,0.81410347,0.36218827,0.00000000
