energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up
-6.00000000,1.56695583,0.16142886,1.26467904,0.00001312,0.04641678,0.11919281,0.08681339,0.17830288,0.00000000
-5.99399700,1.57849852,0.16144931,1.27067201,0.00001577,0.04866764,0.12142983,0.08858384,0.17906498,0.00000000
-5.98799400,1.58700404,0.16113963,1.27437405,0.00001965,0.05082423,0.12327726,0.09022691,0.17955451,0.00000000
-5.98199100,1.59293443,0.16058009,1.27615875,0.00002499,0.05287415,0.12477116,0.09177097,0.17986587,0.00000000
-5.97598799,1.59679410,0.15985889,1.27641794,0.00003212,0.05480726,0.12596150,0.09324928,0.18010197,0.00000000
-5.96998499,1.59911691,0.15907009,1.27555202,0.00004142,0.05661581,0.12691105,0.09469902,0.18037153,0.00000000
-5.96398199,1.60045354,0.15831134,1.27396137,0.00005342,0.05829444,0.12769379,0.09616017,0.18078623,0.00000000
-5.95797899,1.60135943,0.15768158,1.27203901,0.00006875,0.05984023,0.12839289,0.09767416,0.18145765,0.00000000
-5.95197599,1.60238367,0.15727872,1.27016478,0.00008819,0.06125250,0.12909834,0.09928258,0.18249425,0.00000000
-5.94597299,1.60405911,0.15719745,1.26870100,0.00011266,0.06253276,0.12990426,0.10102575,0.18399836,0.00000000
-5.93996998,1.60689399,0.15752725,1.26798958,0.00014328,0.06368447,0.13090610,0.10294140,0.18606342,0.00000000
-5.93396698,1.61136493,0.15835058,1.26835034,0.00018134,0.06471285,0.13219775,0.10506351,0.18877150,0.00000000
-5.92796398,1.61791166,0.15974145,1.27008051,0.00022838,0.06562466,0.13386880,0.10742122,0.19219122,0.00000000
-5.92196098,1.62693300,0.16176430,1.27345493,0.00028613,0.06642798,0.13600187,0.11003805,0.19637604,0.00000000
-5.91595798,1.63878437,0.16447322,1.27872671,0.00035661,0.06713199,0.13867032,0.11293130,0.20136318,0.00000000
-5.90995498,1.65377620,0.16791154,1.28612812,0.00044204,0.06774679,0.14193623,0.11611180,0.20717292,0.00000000
-5.90395198,1.67217340,0.17211177,1.29587123,0.00054494,0.06828319,0.14584889,0.11958388,0.21380855,0.00000000
-5.89794897,1.69419523,0.17709578,1.30814818,0.00066802,0.06875258,0.15044366,0.12334558,0.22125672,0.00000000
-5.89194597,1.72001559,0.18287525,1.32313083,0.00081423,0.06916673,0.15574136,0.12738915,0.22948827,0.00000000
-5.88594297,1.74976332,0.18945224,1.34096956,0.00098669,0.06953769,0.16174805,0.13170164,0.23845945,0.00000000
-5.87993997,1.78352222,0.19681983,1.36179127,0.00118865,0.06987762,0.16845525,0.13626571,0.24811339,0.00000000
-5.87393697,1.82133081,0.20496275,1.38569648,0.00142338,0.07019864,0.17584053,0.14106042,0.25838181,0.00000000
-5.86793397,1.86318144,0.21385794,1.41275564,0.00169416,0.07051266,0.18386837,0.14606204,0.26918681,0.00000000
-5.86193097,1.90901883,0.22347488,1.44300482,0.00200409,0.07083120,0.19249122,0.15124486,0.28044267,0.00000000
-5.85592796,1.95873811,0.23377585,1.47644090,0.00235602,0.07116515,0.20165073,0.15658182,0.29205761,0.00000000
-5.84992496,2.01218224,0.24471579,1.51301654,0.00275238,0.07152459,0.21127895,0.16204500,0.30393539,0.00000000
-5.84392196,2.06913911,0.25624205,1.55263524,0.00319509,0.07191848,0.22129959,0.16760599,0.31597667,0.00000000
-5.83791896,2.12933859,0.26829383,1.59514677,0.00368531,0.07235438,0.23162920,0.17323605,0.32808027,0.00000000
-5.83191596,2.19244964,0.28080156,1.64034323,0.00422337,0.07283821,0.24217816,0.17890610,0.34014409,0.00000000
-5.82591296,2.25807801,0.29368608,1.68795612,0.00480857,0.07337392,0.25285164,0.18458656,0.35206586,0.00000000
-5.81990995,2.32576477,0.30685793,1.73765474,0.00543910,0.07396325,0.26355037,0.19024717,0.36374373,0.00000000
-5.81390695,2.39498616,0.32021662,1.78904605,0.00611185,0.07460547,0.27417138,0.19585665,0.37507668,0.00000000
-5.80790395,2.46515511,0.33365032,1.84167645,0.00682238,0.07529723,0.28460860,0.20138248,0.38596488,0.00000000
-5.80190095,2.53562480,0.34703571,1.89503551,0.00756490,0.07603240,0.29475354,0.20679072,0.39631006,0.00000000
-5.79589795,2.60569462,0.36023844,1.94856181,0.00833221,0.07680202,0.30449602,0.21204601,0.40601598,0.00000000
-5.78989495,2.67461866,0.37311404,2.00165107,0.00911580,0.07759436,0.31372501,0.21711176,0.41498893,0.00000000
-5.78389195,2.74161707,0.38550953,2.05366641,0.00990595,0.07839504,0.32232977,0.22195058,0.42313855,0.00000000
-5.77788894,2.80589004,0.39726559,2.10395073,0.01069190,0.07918726,0.33020111,0.22652507,0.43037877,0.00000000
-5.77188594,2.86663442,0.40821943,2.15184094,0.01146206,0.07995213,0.33723307,0.23079881,0.43662910,0.00000000
-5.76588294,2.92306270,0.41820825,2.19668379,0.01220429,0.08066912,0.34332483,0.23473773,0.44181605,0.00000000
-5.75987994,2.97442375,0.42707314,2.23785283,0.01290621,0.08131656,0.34838296,0.23831170,0.44587492,0.00000000
-5.75387694,3.02002478,0.43466340,2.27476592,0.01355555,0.08187223,0.35232382,0.24149632,0.44875158,0.00000000
-5.74787394,3.05925378,0.44084105,2.30690284,0.01414051,0.08231402,0.35507625,0.24427482,0.45040453,0.00000000
