energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.99857532,0.00528579,0.02811305,0.55835334,0.10544248,0.01939179,0.59012102,0.18547628,0.02749321
-5.99399700,1.01532613,0.00568498,0.02963176,0.53294768,0.11452958,0.02068664,0.59729568,0.18518355,0.02814329
-5.98799400,1.04031490,0.00619709,0.03143709,0.51078744,0.12468931,0.02217160,0.60917653,0.18598770,0.02913349
-5.98199100,1.07359615,0.00682669,0.03352695,0.49207512,0.13588855,0.02384011,0.62580851,0.18789913,0.03047267
-5.97598799,1.11505597,0.00757768,0.03589352,0.47692701,0.14807549,0.02568235,0.64713835,0.19089603,0.03216518
-5.96998499,1.16441007,0.00845308,0.03852304,0.46537379,0.16117966,0.02768526,0.67301398,0.19492541,0.03421018
-5.96398199,1.22120859,0.00945477,0.04139570,0.45736482,0.17511272,0.02983274,0.70318784,0.19990562,0.03660118
-5.95797899,1.28484752,0.01058333,0.04448589,0.45277566,0.18976996,0.03210586,0.73732408,0.20573003,0.03932576
-5.95197599,1.35458601,0.01183778,0.04776248,0.45141816,0.20503261,0.03448335,0.77500920,0.21227177,0.04236549
-5.94597299,1.42956884,0.01321552,0.05118945,0.45305255,0.22077066,0.03694207,0.81576548,0.21938926,0.04569599
-5.93996998,1.50885295,0.01471218,0.05472661,0.45740082,0.23684633,0.03945764,0.85906683,0.22693226,0.04928724
-5.93396698,1.59143683,0.01632159,0.05833054,0.46416068,0.25311779,0.04200507,0.90435590,0.23474819,0.05310409
-5.92796398,1.67629146,0.01803577,0.06195566,0.47301925,0.26944309,0.04455949,0.95106210,0.24268834,0.05710685
-5.92196098,1.76239116,0.01984504,0.06555540,0.48366599,0.28568411,0.04709680,0.99861922,0.25061376,0.06125219
-5.91595798,1.84874325,0.02173804,0.06908340,0.49580415,0.30171020,0.04959433,1.04648216,0.25840050,0.06549403
-5.90995498,1.93441482,0.02370197,0.07249482,0.50916028,0.31740146,0.05203139,1.09414181,0.26594396,0.06978461
-5.90395198,2.01855572,0.02572274,0.07574750,0.52349138,0.33265141,0.05438973,1.14113740,0.27316218,0.07407556
-5.89794897,2.10041655,0.02778518,0.07880310,0.53858965,0.34736879,0.05665383,1.18706598,0.27999796,0.07831904
-5.89194597,2.17936106,0.02987328,0.08162815,0.55428442,0.36147868,0.05881112,1.23158831,0.28641974,0.08246880
-5.88594297,2.25487263,0.03197042,0.08419491,0.57044177,0.37492257,0.06085195,1.27443140,0.29242116,0.08648125
-5.87993997,2.32655472,0.03405965,0.08648197,0.58696161,0.38765756,0.06276942,1.31538749,0.29801958,0.09031630
-5.87393697,2.39412570,0.03612385,0.08847480,0.60377297,0.39965482,0.06455914,1.35430982,0.30325345,0.09393821
-5.86793397,2.45740874,0.03814599,0.09016591,0.62082768,0.41089722,0.06621880,1.39110566,0.30817899,0.09731618
-5.86193097,2.51631789,0.04010930,0.09155495,0.63809316,0.42137655,0.06774761,1.42572734,0.31286629,0.10042483
-5.85592796,2.57084145,0.04199745,0.09264841,0.65554482,0.43109048,0.06914581,1.45816190,0.31739505,0.10324447
-5.84992496,2.62102416,0.04379473,0.09345937,0.67315866,0.44003942,0.07041410,1.48842043,0.32185044,0.10576120
-5.84392196,2.66694977,0.04548617,0.09400689,0.69090483,0.44822368,0.07155305,1.51652786,0.32631920,0.10796696
-5.83791896,2.70872532,0.04705774,0.09431542,0.70874231,0.45564111,0.07256272,1.54251406,0.33088629,0.10985933
