energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.24636484,-2.50749377,0.01121876,-0.01271609,0.31490542,-0.38318111,0.19818647,-0.20638907,0.67306657,-0.87865303,0.62397479,-0.62116283,0.06086523,-0.06477946,0.94337823,-1.04163227
-5.99399700,2.17196983,-2.42667333,0.01089377,-0.01266624,0.29867071,-0.36993513,0.19749823,-0.20161072,0.62995629,-0.82121128,0.61412334,-0.61504669,0.05907053,-0.06363631,0.91532538,-1.00473680
-5.98799400,2.09692381,-2.34327899,0.01052920,-0.01255381,0.28191121,-0.35564038,0.19710878,-0.19738244,0.58962666,-0.76579523,0.60317425,-0.60729261,0.05706879,-0.06225275,0.88779641,-0.96778241
-5.98199100,2.02171400,-2.25795221,0.01013244,-0.01237816,0.26478159,-0.34040750,0.19694409,-0.19370673,0.55211813,-0.71276209,0.59127960,-0.59799561,0.05488392,-0.06064374,0.86090002,-0.93104822
-5.97598799,1.94679957,-2.17137879,0.00971125,-0.01214062,0.24744207,-0.32436484,0.19692085,-0.19057811,0.51741938,-0.66241101,0.57859245,-0.58728681,0.05254258,-0.05882845,0.83471866,-0.89481181
-5.96998499,1.87259714,-2.08427028,0.00927345,-0.01184438,0.23005433,-0.30765547,0.19694798,-0.18798127,0.48547119,-0.61498012,0.56526022,-0.57532816,0.05007339,-0.05682959,0.80930542,-0.85934198
-5.96398199,1.79946814,-1.99734422,0.00882662,-0.01149429,0.21277747,-0.29043385,0.19692864,-0.18588962,0.45617137,-0.57064517,0.55141878,-0.56230603,0.04750606,-0.05467274,0.78468189,-0.82489158
-5.95797899,1.72770903,-1.91130390,0.00837790,-0.01109664,0.19576416,-0.27286203,0.19676279,-0.18426422,0.42938037,-0.52951978,0.53718763,-0.54842390,0.04487057,-0.05238545,0.76083744,-0.79169056
-5.95197599,1.65754487,-1.82681840,0.00793373,-0.01065890,0.17915702,-0.25510571,0.19635012,-0.18305329,0.40492758,-0.49165720,0.52266627,-0.53389458,0.04219640,-0.04999644,0.73773002,-0.75993959
-5.94597299,1.58912669,-1.74450376,0.00749971,-0.01018937,0.16308561,-0.23733021,0.19559329,-0.18219233,0.38261807,-0.45705336,0.50793211,-0.51893216,0.03951176,-0.04753473,0.71528839,-0.72980450
-5.93996998,1.52253281,-1.66490603,0.00708046,-0.00969693,0.14766393,-0.21969655,0.19440133,-0.18160493,0.36223961,-0.42565110,0.49303994,-0.50374423,0.03684303,-0.04502878,0.69341603,-0.70141171
-5.93396698,1.45777404,-1.58848707,0.00667954,-0.00919066,0.13298853,-0.20235771,0.19269304,-0.18120425,0.34356980,-0.39734544,0.47802288,-0.48852459,0.03421419,-0.04250581,0.67199634,-0.67484495
-5.92796398,1.39480241,-1.51561358,0.00629948,-0.00867954,0.11913746,-0.18545538,0.19040019,-0.18089514,0.32638311,-0.37198956,0.46289479,-0.47344695,0.03164653,-0.03999110,0.65089910,-0.65014342
-5.92196098,1.33352302,-1.44654998,0.00594177,-0.00817217,0.10616972,-0.16911708,0.18747044,-0.18057689,0.31045756,-0.34940140,0.44765394,-0.45865976,0.02915835,-0.03750749,0.62998786,-0.62730146
-5.91595798,1.27380813,-1.38145539,0.00560695,-0.00767649,0.09412560,-0.15345396,0.18386978,-0.18014641,0.29558101,-0.32937066,0.43228759,-0.44428241,0.02676490,-0.03507496,0.60912774,-0.60626985
-5.90995498,1.21551277,-1.32038479,0.00529471,-0.00719951,0.08302738,-0.13855920,0.17958431,-0.17950179,0.28155673,-0.31166595,0.41677724,-0.43040309,0.02447834,-0.03271039,0.58819362,-0.58695876
-5.90395198,1.15849096,-1.26329433,0.00500405,-0.00674722,0.07288078,-0.12450714,0.17462145,-0.17854608,0.26820824,-0.29604199,0.40110418,-0.41707809,0.02230793,-0.03042749,0.56707785,-0.56924202
-5.89794897,1.10261154,-1.21005034,0.00473341,-0.00632437,0.06367663,-0.11135299,0.16901028,-0.17719098,0.25538316,-0.28224657,0.38525502,-0.40433277,0.02026017,-0.02823679,0.54569751,-0.55296293
-5.89194597,1.04777291,-1.16044179,0.00448086,-0.00593444,0.05539300,-0.09913328,0.16280115,-0.17536053,0.24295616,-0.27002723,0.36922677,-0.39216393,0.01833911,-0.02614581,0.52400053,-0.53794099
-5.88594297,0.99391580,-1.11419524,0.00424428,-0.00557962,0.04799740,-0.08786675,0.15606463,-0.17299431,0.23083078,-0.25913744,0.35303133,-0.38054343,0.01654664,-0.02415932,0.50197070,-0.52397954
-5.87993997,0.94103351,-1.07099190,0.00402147,-0.00526083,0.04144916,-0.07755589,0.14888963,-0.17005021,0.21894025,-0.24934215,0.33669908,-0.36942283,0.01488285,-0.02227966,0.47963100,-0.51087392
-5.87393697,0.88917930,-1.03048571,0.00381036,-0.00497777,0.03570171,-0.06818871,0.14138108,-0.16650659,0.20724736,-0.24042268,0.32028137,-0.35873884,0.01334634,-0.02050715,0.45704546,-0.49841977
-5.86793397,0.83847050,-0.99232174,0.00360911,-0.00472909,0.03070483,-0.05974086,0.13365700,-0.16236365,0.19574327,-0.23218083,0.30385189,-0.34841914,0.01193459,-0.01884044,0.43431923,-0.48642128
-5.86193097,0.78908955,-0.95615420,0.00341621,-0.00451251,0.02640663,-0.05217791,0.12584532,-0.15764403,0.18444566,-0.22444217,0.28750689,-0.33838839,0.01064426,-0.01727697,0.41159718,-0.47469891
-5.85592796,0.74128184,-0.92166314,0.00323059,-0.00432498,0.02275540,-0.04545770,0.11808049,-0.15239257,0.17339604,-0.21705842,0.27136420,-0.32857413,0.00947147,-0.01581338,0.38906086,-0.46309644
-5.84992496,0.69535084,-0.88856941,0.00305170,-0.00416292,0.01970112,-0.03953258,0.11049996,-0.14667531,0.16265666,-0.20990910,0.25556130,-0.31891227,0.00841207,-0.01444578,0.36692426,-0.45148706
-5.84392196,0.65165079,-0.85664727,0.00287951,-0.00402236,0.01719669,-0.03435160,0.10324081,-0.14057768,0.15230688,-0.20290229,0.24025245,-0.30935193,0.00746185,-0.01317015,0.34542846,-0.43977829
