energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.37835747,0.83601949,0.16581278,0.00214282,0.20550337,0.59248479,0.00000000
-5.99399700,1.20881232,0.73156166,0.14781325,0.00182091,0.18206416,0.51483923,0.00000000
-5.98799400,1.05456905,0.63606879,0.13129616,0.00154106,0.16045667,0.44475981,0.00000000
-5.98199100,0.91528246,0.54953668,0.11622490,0.00129909,0.14069392,0.38199666,0.00000000
-5.97598799,0.79044489,0.47181290,0.10255588,0.00109109,0.12276206,0.32622443,0.00000000
-5.96998499,0.67942237,0.40262126,0.09024159,0.00091348,0.10662500,0.27706035,0.00000000
-5.96398199,0.58149112,0.34158768,0.07923359,0.00076298,0.09222928,0.23408203,0.00000000
-5.95797899,0.49587339,0.28826609,0.06948561,0.00063667,0.07950916,0.19684457,0.00000000
-5.95197599,0.42177198,0.24216385,0.06095652,0.00053200,0.06839166,0.16489667,0.00000000
-5.94597299,0.35840277,0.20276581,0.05361351,0.00044676,0.05880161,0.13779543,0.00000000
-5.93996998,0.30502499,0.16955656,0.04743511,0.00037913,0.05066637,0.11511965,0.00000000
-5.93396698,0.26096894,0.14204045,0.04241447,0.00032767,0.04392046,0.09648173,0.00000000
-5.92796398,0.22566107,0.11975923,0.03856258,0.00029133,0.03850976,0.08153785,0.00000000
-5.92196098,0.19864645,0.10230711,0.03591157,0.00026948,0.03439543,0.06999688,0.00000000
-5.91595798,0.17960854,0.08934329,0.03451803,0.00026190,0.03155745,0.06162773,0.00000000
-5.90995498,0.16838632,0.08060197,0.03446628,0.00026880,0.02999765,0.05626553,0.00000000
-5.90395198,0.16498876,0.07589996,0.03587148,0.00029082,0.02974239,0.05381650,0.00000000
-5.89794897,0.16960629,0.07514192,0.03888245,0.00032907,0.03084455,0.05426176,0.00000000
-5.89194597,0.18261924,0.07832329,0.04368407,0.00038510,0.03338505,0.05765995,0.00000000
-5.88594297,0.20460256,0.08553096,0.05049897,0.00046092,0.03747350,0.06414868,0.00000000
-5.87993997,0.23632649,0.09694171,0.05958835,0.00055898,0.04324815,0.07394469,0.00000000
-5.87393697,0.27875238,0.11281815,0.07125169,0.00068217,0.05087478,0.08734259,0.00000000
-5.86793397,0.33302290,0.13350230,0.08582499,0.00083378,0.06054460,0.10471183,0.00000000
-5.86193097,0.40044582,0.15940653,0.10367737,0.00101743,0.07247087,0.12649185,0.00000000
-5.85592796,0.48247061,0.19100167,0.12520580,0.00123707,0.08688424,0.15318489,0.00000000
-5.84992496,0.58065715,0.22880231,0.15082760,0.00149682,0.10402672,0.18534631,0.00000000
-5.84392196,0.69663595,0.27334924,0.18097083,0.00180092,0.12414424,0.22357213,0.00000000
-5.83791896,0.83205980,0.32518886,0.21606232,0.00215359,0.14747777,0.26848358,0.00000000
-5.83191596,0.98854686,0.38485007,0.25651348,0.00255889,0.17425324,0.32070852,0.00000000
-5.82591296,1.16761586,0.45281863,0.30270409,0.00302055,0.20467032,0.38085987,0.00000000
-5.81990995,1.37061455,0.52950972,0.35496440,0.00354180,0.23889047,0.44951112,0.00000000
-5.81390695,1.59864296,0.61523933,0.41355599,0.00412519,0.27702445,0.52716945,0.00000000
-5.80790395,1.85247393,0.71019534,0.47865207,0.00477241,0.31911999,0.61424696,0.00000000
-5.80190095,2.13247357,0.81440941,0.55031806,0.00548408,0.36514995,0.71103079,0.00000000
-5.79589795,2.43852510,0.92773077,0.62849315,0.00625962,0.41500173,0.81765333,0.00000000
-5.78989495,2.76995968,1.04980341,0.71297408,0.00709711,0.46846846,0.93406353,0.00000000
-5.78389195,3.12549822,1.18004784,0.80340195,0.00799315,0.52524263,1.06000078,0.00000000
-5.77788894,3.50320804,1.31764882,0.89925325,0.00894286,0.58491284,1.19497280,0.00000000
-5.77188594,3.90047829,1.46155035,0.99983585,0.00993981,0.64696400,1.33823893,0.00000000
-5.76588294,4.31401735,1.61045875,1.10429096,0.01097613,0.71078163,1.48880033,0.00000000
-5.75987994,4.73987487,1.76285478,1.21160153,0.01204260,0.77566032,1.64539833,0.00000000
-5.75387694,5.17349025,1.91701514,1.32060737,0.01312886,0.84081642,1.80652187,0.00000000
-5.74787394,5.60976817,2.07104330,1.43002725,0.01422365,0.90540493,1.97042490,0.00000000
-5.74187094,6.04318044,2.22290936,1.53848732,0.01531513,0.96854016,2.13515382,0.00000000
-5.73586793,6.46789231,2.37049790,1.64455547,0.01639125,1.02931941,2.29858502,0.00000000
-5.72986493,6.87790976,2.51166257,1.74678043,0.01744011,1.08684918,2.45847170,0.00000000
-5.72386193,7.26724305,2.64428569,1.84373427,0.01845047,1.14027264,2.61249883,0.00000000
-5.71785893,7.63008083,2.76634064,1.93405666,0.01941208,1.18879733,2.75834467,0.00000000
-5.71185593,7.96096797,2.87595475,2.01649904,0.02031612,1.23172204,2.89374658,0.00000000
-5.70585293,8.25497978,2.97147019,2.08996685,0.02115559,1.26846136,3.01656882,0.00000000
-5.69984992,8.50788514,3.05150019,2.15355761,0.02192554,1.29856703,3.12486952,0.00000000
-5.69384692,8.71629102,3.11497834,2.20659326,0.02262338,1.32174484,3.21696404,0.00000000
-5.68784392,8.87776177,3.16119849,2.24864496,0.02324893,1.33786628,3.29148199,0.00000000
-5.68184092,8.99090715,3.18984363,2.27954900,0.02380445,1.34697425,3.34741516,0.00000000
-5.67583792,9.05543473,3.20100212,2.29941293,0.02429458,1.34928246,3.38415427,0.00000000
-5.66983492,9.07216370,3.19517051,2.30861149,0.02472610,1.34516857,3.40151257,0.00000000
-5.66383192,9.04299896,3.17324256,2.30777210,0.02510760,1.33516098,3.39973524,0.00000000
-5.65782891,8.97086620,3.13648472,2.29775081,0.02544909,1.31992019,3.37949374,0.00000000
-5.65182591,8.85961054,3.08649897,2.27959933,0.02576151,1.30021515,3.34186557,0.00000000
-5.64582291,8.71386311,3.02517440,2.25452484,0.02605613,1.27689587,3.28829988,0.00000000
-5.63981991,8.53888111,2.95462927,2.22384430,0.02634404,1.25086333,3.22057059,0.00000000
-5.63381691,8.34036846,2.87714593,2.18893520,0.02663551,1.22303802,3.14071886,0.00000000
-5.62781391,8.12428461,2.79510094,2.15118507,0.02693947,1.19432841,3.05098750,0.00000000
-5.62181091,7.89664950,2.71089298,2.11194192,0.02726299,1.16560071,2.95374989,0.00000000
-5.61580790,7.66335283,2.62687124,2.07246774,0.02761087,1.13765098,2.85143651,0.00000000
-5.60980490,7.42997488,2.54526682,2.03389689,0.02798530,1.11118082,2.74646185,0.00000000
-5.60380190,7.20162589,2.46812930,1.99720121,0.02838568,1.08677736,2.64115459,0.00000000
-5.59779890,6.98280933,2.39727077,1.96316288,0.02880855,1.06489819,2.53769353,0.00000000
-5.59179590,6.77731347,2.33421882,1.93235604,0.02924764,1.04586169,2.43805148,0.00000000
-5.58579290,6.58813398,2.28017987,1.90513748,0.02969405,1.02984291,2.34394869,0.00000000
-5.57978989,6.41742893,2.23601378,1.88164646,0.03013660,1.01687473,2.25681713,0.00000000
-5.57378689,6.26650602,2.20222015,1.86181311,0.03056221,1.00685430,2.17777628,0.00000000
-5.56778389,6.13584060,2.17893644,1.84537465,0.03095643,0.99955399,2.10762046,0.00000000
-5.56178089,6.02512188,2.16594756,1.83189845,0.03130398,0.99463631,2.04681766,0.00000000
-5.55577789,5.93332373,2.16270633,1.82081032,0.03158941,0.99167214,1.99551885,0.00000000
-5.54977489,5.85879584,2.16836372,1.81142687,0.03179767,0.99016126,1.95357701,0.00000000
-5.54377189,5.79937063,2.18180782,1.80299021,0.03191472,0.98955446,1.92057430,0.00000000
-5.53776888,5.75248079,2.20170984,1.79470345,0.03192809,0.98927637,1.89585612,0.00000000
-5.53176588,5.71528275,2.22657569,1.78576567,0.03182738,0.98874800,1.87857025,0.00000000
-5.52576288,5.68478115,2.25480120,1.77540496,0.03160465,0.98740852,1.86770953,0.00000000
-5.51975988,5.65795011,2.28472922,1.76290831,0.03125474,0.98473531,1.86215644,0.00000000
-5.51375688,5.63184713,2.31470661,1.74764759,0.03077546,0.98026184,1.86072798,0.00000000
-5.50775388,5.60371641,2.34313927,1.72910078,0.03016770,0.97359280,1.86221940,0.00000000
-5.50175088,5.57107870,2.36854342,1.70686803,0.02943537,0.96441626,1.86544553,0.00000000
-5.49574787,5.53180552,2.38959142,1.68068227,0.02858530,0.95251235,1.86927832,0.00000000
-5.48974487,5.48417622,2.40515062,1.65041452,0.02762698,0.93775855,1.87267991,0.00000000
-5.48374187,5.42691711,2.41431417,1.61607382,0.02657226,0.92013154,1.87473018,0.00000000
