energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.09253599,0.11249457,0.00115077,0.03884650,0.64046043,0.54218844,0.30372935
-5.99399700,1.14867454,0.11558739,0.00123539,0.04032861,0.67625823,0.57138332,0.31962247
-5.98799400,1.20347631,0.11865181,0.00131825,0.04164996,0.71122501,0.60075209,0.33488379
-5.98199100,1.25572269,0.12160749,0.00139805,0.04277565,0.74460590,0.62964406,0.34917354
-5.97598799,1.30428216,0.12438984,0.00147355,0.04367559,0.77568986,0.65744443,0.36217673
-5.96998499,1.34814367,0.12695250,0.00154360,0.04432539,0.80383024,0.68359203,0.37361236
-5.96398199,1.38644753,0.12926906,0.00160718,0.04470709,0.82846450,0.70759622,0.38324200
-5.95797899,1.41851258,0.13133401,0.00166346,0.04480963,0.84913212,0.72905217,0.39087725
-5.95197599,1.44385823,0.13316274,0.00171183,0.04462912,0.86548984,0.74765382,0.39638591
-5.94597299,1.46222029,0.13479069,0.00175193,0.04416888,0.87732356,0.76320361,0.39969642
-5.93996998,1.47355971,0.13627153,0.00178370,0.04343916,0.88455611,0.77561867,0.40080045
-5.93396698,1.47806350,0.13767464,0.00180735,0.04245675,0.88725052,0.78493274,0.39975336
-5.92796398,1.47613774,0.13908172,0.00182341,0.04124419,0.88560838,0.79129372,0.39667253
-5.92196098,1.46839253,0.14058302,0.00183269,0.03982900,0.87996325,0.79495662,0.39173358
-5.91595798,1.45561961,0.14227298,0.00183630,0.03824265,0.87076929,0.79627226,0.38516455
-5.90995498,1.43876317,0.14424582,0.00183560,0.03651942,0.85858538,0.79567183,0.37723828
-5.90395198,1.41888526,0.14659108,0.00183216,0.03469530,0.84405544,0.79364810,0.36826327
-5.89794897,1.39712699,0.14938940,0.00182774,0.03280682,0.82788554,0.79073392,0.35857338
-5.89194597,1.37466717,0.15270875,0.00182418,0.03088995,0.81081889,0.78747898,0.34851673
