energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up
-6.00000000,8.76381713,1.72613683,1.39840524,2.17389069,4.86465360,0.02863618,0.29430569,0.01767201,1.50597083
-5.99399700,8.64394182,1.67600534,1.40038444,2.10253878,4.81707524,0.02756421,0.28517637,0.01683959,1.46456654
-5.98799400,8.50728785,1.62032044,1.40098225,2.02523125,4.76030427,0.02637397,0.27569162,0.01597770,1.41942865
-5.98199100,8.35493258,1.55983259,1.40002632,1.94293123,4.69465307,0.02508413,0.26594384,0.01509411,1.37107419
-5.97598799,8.18820707,1.49534095,1.39737050,1.85666001,4.62059895,0.02371467,0.25602760,0.01419678,1.32006750
-5.96998499,8.00865183,1.42766990,1.39289421,1.76746600,4.53877185,0.02228642,0.24603649,0.01329368,1.26700134
-5.96398199,7.81796890,1.35764694,1.38650140,1.67639454,4.44993749,0.02082045,0.23606005,0.01239269,1.21247839
-5.95797899,7.61797221,1.28608282,1.37811919,1.58446010,4.35497669,0.01933761,0.22618100,0.01150144,1.15709389
-5.95197599,7.41053852,1.21375456,1.36769640,1.49262171,4.25486179,0.01785807,0.21647285,0.01062717,1.10142021
-5.94597299,7.19756094,1.14139174,1.35520215,1.40176263,4.15063108,0.01640091,0.20699801,0.00977668,1.04599385
-5.93996998,6.98090666,1.06966630,1.34062474,1.31267472,4.04336250,0.01498382,0.19780653,0.00895620,0.99130526
-5.93396698,6.76238054,0.99918601,1.32397093,1.22604784,3.93414753,0.01362286,0.18893540,0.00817135,0.93779179
-5.92796398,6.54369550,0.93049118,1.30526567,1.14246424,3.82406649,0.01233232,0.18040851,0.00742708,0.88583361
-5.92196098,6.32645021,0.86405457,1.28455236,1.06239766,3.71416598,0.01112464,0.17223722,0.00672770,0.83575268
-5.91595798,6.11211446,0.80028368,1.26189364,0.98621659,3.60543940,0.01001046,0.16442143,0.00607684,0.78781427
-5.90995498,5.90202159,0.73952515,1.23737253,0.91419114,3.49881079,0.00899864,0.15695113,0.00547748,0.74223072
-5.90395198,5.69736747,0.68207045,1.21109383,0.84650252,3.39512260,0.00809646,0.14980834,0.00493204,0.69916688
-5.89794897,5.49921487,0.62816232,1.18318572,0.78325438,3.29512710,0.00730973,0.14296914,0.00444238,0.65874671
-5.89194597,5.30850187,0.57800135,1.15380111,0.72448521,3.19948155,0.00664304,0.13640598,0.00400988,0.62106037
-5.88594297,5.12605296,0.53175213,1.12311874,0.67018079,3.10874643,0.00609991,0.13008976,0.00363549,0.58617130
-5.87993997,4.95259113,0.48954868,1.09134380,0.62028613,3.02338647,0.00568301,0.12399197,0.00331984,0.55412280
-5.87393697,4.78874971,0.45149856,1.05870771,0.57471630,2.94377350,0.00539431,0.11808641,0.00306322,0.52494364
-5.86793397,4.63508242,0.41768581,1.02546720,0.53336559,2.87019073,0.00523519,0.11235068,0.00286568,0.49865237
-5.86193097,4.49207075,0.38817221,0.99190240,0.49611484,2.80283741,0.00520652,0.10676730,0.00272703,0.47526016
-5.85592796,4.36012789,0.36299728,0.95831403,0.46283670,2.74183348,0.00530868,0.10132437,0.00264685,0.45477200
-5.84992496,4.23959864,0.34217678,0.92501972,0.43339897,2.68722354,0.00554150,0.09601585,0.00262451,0.43718638
-5.84392196,4.13075564,0.32570015,0.89234960,0.40766594,2.63897976,0.00590420,0.09084144,0.00265910,0.42249344
-5.83791896,4.03379190,0.31352703,0.86064134,0.38549825,2.59700366,0.00639519,0.08580614,0.00274944,0.41067197
-5.83191596,3.94881071,0.30558322,0.83023497,0.36675141,2.56112667,0.00701192,0.08091947,0.00289400,0.40168540
-5.82591296,3.87581377,0.30175644,0.80146758,0.35127337,2.53110968,0.00775064,0.07619452,0.00309085,0.39547728
-5.81990995,3.81468889,0.30189224,0.77466845,0.33890167,2.50664212,0.00860621,0.07164682,0.00333759,0.39196657
-5.81390695,3.76519875,0.30579052,0.75015466,0.32946046,2.48734096,0.00957182,0.06729316,0.00363129,0.39104311
-5.80790395,3.72697215,0.31320289,0.72822773,0.32275781,2.47275042,0.01063883,0.06315046,0.00396846,0.39256387
-5.80190095,3.69949926,0.32383135,0.70917121,0.31858373,2.46234298,0.01179659,0.05923467,0.00434499,0.39635010
-5.79589795,3.68213219,0.33732846,0.69324976,0.31670903,2.45552252,0.01303240,0.05555987,0.00475616,0.40218587
