energy_ev,total_up,Ca_p_up,Ca_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.14267847,0.00442265,0.00000000,0.78279971,1.19685512,0.00574952,0.35655912,0.01245514,0.50640424
-5.99399700,2.17585983,0.00471094,0.00000000,0.82440001,1.20286419,0.00583387,0.36155701,0.01272138,0.51854307
-5.98799400,2.21026798,0.00503469,0.00000000,0.86888803,1.20772405,0.00595510,0.36625010,0.01302441,0.53222625
-5.98199100,2.24706639,0.00539717,0.00000000,0.91666953,1.21206802,0.00611782,0.37080877,0.01337024,0.54777030
-5.97598799,2.28743929,0.00580140,0.00000000,0.96813935,1.21656939,0.00632572,0.37541510,0.01376390,0.56547599
-5.96998499,2.33254412,0.00624997,0.00000000,1.02366200,1.22191533,0.00658140,0.38025453,0.01420919,0.58561707
-5.96398199,2.38346224,0.00674498,0.00000000,1.08355059,1.22877963,0.00688630,0.38550709,0.01470850,0.60842902
-5.95797899,2.44114980,0.00728787,0.00000000,1.14804491,1.23779538,0.00724058,0.39133852,0.01526269,0.63409792
-5.95197599,2.50639087,0.00787929,0.00000000,1.21728959,1.24952878,0.00764307,0.39789183,0.01587099,0.66275006
-5.94597299,2.57975479,0.00851899,0.00000000,1.29131314,1.26445541,0.00809129,0.40527967,0.01653088,0.69444254
-5.93996998,2.66155966,0.00920571,0.00000000,1.37000907,1.28293973,0.00858145,0.41357788,0.01723816,0.72915522
-5.93396698,2.75184365,0.00993711,0.00000000,1.45312010,1.30521892,0.00910851,0.42282050,0.01798691,0.76678437
-5.92796398,2.85034544,0.01070967,0.00000000,1.54022642,1.33139168,0.00966629,0.43299660,0.01876959,0.80713844
-5.92196098,2.95649518,0.01151866,0.00000000,1.63073891,1.36141236,0.01024757,0.44404908,0.01957719,0.84993617
-5.91595798,3.06941616,0.01235815,0.00000000,1.72389829,1.39509088,0.01084425,0.45587541,0.02039936,0.89480725
-5.90995498,3.18793795,0.01322103,0.00000000,1.81878043,1.43209811,0.01144752,0.46833046,0.02122463,0.94129578
-5.90395198,3.31062038,0.01409905,0.00000000,1.91430846,1.47197660,0.01204806,0.48123119,0.02204064,0.98886647
-5.89794897,3.43578781,0.01498295,0.00000000,2.00927146,1.51415617,0.01263621,0.49436305,0.02283444,1.03691365
-5.89194597,3.56157271,0.01586256,0.00000000,2.10234954,1.55797343,0.01320220,0.50748777,0.02359273,1.08477291
-5.88594297,3.68596666,0.01672702,0.00000000,2.19214476,1.60269455,0.01373636,0.52035225,0.02430220,1.13173508
-5.87993997,3.80687724,0.01756494,0.00000000,2.27721676,1.64754006,0.01422933,0.53269806,0.02494983,1.17706224
-5.87393697,3.92218838,0.01836468,0.00000000,2.35612212,1.69171073,0.01467225,0.54427113,0.02552320,1.22000531
-5.86793397,4.02982204,0.01911456,0.00000000,2.42745586,1.73441327,0.01505698,0.55483126,0.02601075,1.25982263
-5.86193097,4.12779862,0.01980316,0.00000000,2.48989347,1.77488479,0.01537623,0.56416086,0.02640212,1.29579895
-5.85592796,4.21429394,0.02041960,0.00000000,2.54223182,1.81241508,0.01562377,0.57207265,0.02668834,1.32726422
-5.84992496,4.28769044,0.02095377,0.00000000,2.58342721,1.84636568,0.01579453,0.57841588,0.02686208,1.35361146
-5.84392196,4.34662070,0.02139666,0.00000000,2.61262883,1.87618523,0.01588472,0.58308084,0.02691782,1.37431313
-5.83791896,4.39000176,0.02174053,0.00000000,2.62920633,1.90142044,0.01589193,0.58600143,0.02685199,1.38893540
-5.83191596,4.41705895,0.02197917,0.00000000,2.63277009,1.92172254,0.01581511,0.58715574,0.02666304,1.39714980
-5.82591296,4.42733878,0.02210806,0.00000000,2.62318347,1.93684926,0.01565469,0.58656463,0.02635149,1.39874186
-5.81990995,4.42071059,0.02212448,0.00000000,2.60056639,1.94666240,0.01541246,0.58428843,0.02591993,1.39361638
-5.81390695,4.39735748,0.02202760,0.00000000,2.56529029,1.95112162,0.01509158,0.58042205,0.02537293,1.38179934
-5.80790395,4.35775732,0.02181852,0.00000000,2.51796452,1.95027509,0.01469650,0.57508872,0.02471695,1.36343619
-5.80190095,4.30265531,0.02150022,0.00000000,2.45941522,1.94424765,0.01423281,0.56843279,0.02396019,1.33878687
-5.79589795,4.23302964,0.02107750,0.00000000,2.39065738,1.93322763,0.01370711,0.56061205,0.02311236,1.30821769
-5.78989495,4.15005224,0.02055685,0.00000000,2.31286168,1.91745298,0.01312689,0.55178994,0.02218452,1.27219047
-5.78389195,4.05504674,0.01994628,0.00000000,2.22731762,1.89719788,0.01250029,0.54212822,0.02118876,1.23124937
-5.77788894,3.94944558,0.01925511,0.00000000,2.13539444,1.87276042,0.01183592,0.53178032,0.02013796,1.18600601
-5.77188594,3.83474839,0.01849374,0.00000000,2.03850182,1.84445218,0.01114272,0.52088593,0.01904551,1.13712339
-5.76588294,3.71248315,0.01767338,0.00000000,1.93805179,1.81259017,0.01042965,0.50956696,0.01792501,1.08529927
-5.75987994,3.58417175,0.01680581,0.00000000,1.83542326,1.77749144,0.00970558,0.49792512,0.01679000,1.03124944
-5.75387694,3.45130089,0.01590309,0.00000000,1.73193067,1.73947033,0.00897910,0.48604102,0.01565367,0.97569170
-5.74787394,3.31529890,0.01497727,0.00000000,1.62879744,1.69883842,0.00825828,0.47397506,0.01452866,0.91933065
-5.74187094,3.17751875,0.01404020,0.00000000,1.52713492,1.65590660,0.00755064,0.46176954,0.01342679,0.86284412
-5.73586793,3.03922699,0.01310327,0.00000000,1.42792729,1.61098896,0.00686292,0.44945216,0.01235894,0.80687124
-5.72986493,2.90159819,0.01217721,0.00000000,1.33202212,1.56440774,0.00620108,0.43704027,0.01133485,0.75200254
-5.72386193,2.76571386,0.01127191,0.00000000,1.24012654,1.51649865,0.00557016,0.42454564,0.01036303,0.69877226
-5.71785893,2.63256518,0.01039635,0.00000000,1.15280827,1.46761593,0.00497434,0.41197942,0.00945075,0.64765283
-5.71185593,2.50305814,0.00955841,0.00000000,1.07050096,1.41813647,0.00441686,0.39935677,0.00860395,0.59905166
-5.70585293,2.37802023,0.00876493,0.00000000,0.99351280,1.36846241,0.00390013,0.38670086,0.00782736,0.55331001
-5.69984992,2.25820773,0.00802160,0.00000000,0.92203768,1.31902182,0.00342570,0.37404607,0.00712448,0.51070388
-5.69384692,2.14431257,0.00733303,0.00000000,0.85616796,1.27026727,0.00299441,0.36143995,0.00649776,0.47144681
-5.68784392,2.03696844,0.00670279,0.00000000,0.79590805,1.22267216,0.00260645,0.34894400,0.00594871,0.43569418
-5.68184092,1.93675550,0.00613346,0.00000000,0.74118800,1.17672500,0.00226151,0.33663320,0.00547809,0.40354896
-5.67583792,1.84420373,0.00562679,0.00000000,0.69187677,1.13292189,0.00195883,0.32459423,0.00508606,0.37506851
-5.66983492,1.75979487,0.00518375,0.00000000,0.64779451,1.09175764,0.00169739,0.31292275,0.00477243,0.35027215
-5.66383192,1.68396311,0.00480472,0.00000000,0.60872379,1.05371603,0.00147601,0.30171974,0.00453686,0.32914921
-5.65782891,1.61709497,0.00448957,0.00000000,0.57441950,1.01925978,0.00129347,0.29108732,0.00437904,0.31166732
-5.65182591,1.55952856,0.00423783,0.00000000,0.54461756,0.98882077,0.00114862,0.28112428,0.00429889,0.29778043
-5.64582291,1.51155273,0.00404880,0.00000000,0.51904236,0.96279100,0.00104049,0.27192158,0.00429677,0.28743647
-5.63981991,1.47340616,0.00392166,0.00000000,0.49741323,0.94151470,0.00096838,0.26355828,0.00437359,0.28058414
-5.63381691,1.44527672,0.00385556,0.00000000,0.47944989,0.92528185,0.00093192,0.25609796,0.00453091,0.27717876
-5.62781391,1.42730100,0.00384971,0.00000000,0.46487726,0.91432326,0.00093112,0.24958589,0.00477105,0.27718662
-5.62181091,1.41956396,0.00390339,0.00000000,0.45342951,0.90880727,0.00096642,0.24404717,0.00509705,0.28058793
-5.61580790,1.42209835,0.00401600,0.00000000,0.44485367,0.90883770,0.00103867,0.23948577,0.00551266,0.28737790
-5.60980490,1.43488361,0.00418703,0.00000000,0.43891256,0.91445317,0.00114912,0.23588458,0.00602223,0.29756601
