energy_ev,total_up,Pt_p_up,Pt_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,0.82645621,0.15569739,0.70175274,0.12667155,0.00997602,0.00200698,0.06038145
-5.99399700,0.84723673,0.14698295,0.72867444,0.13098896,0.01015913,0.00172991,0.05922292
-5.98799400,0.87413499,0.13978061,0.76051759,0.13608777,0.01042736,0.00148276,0.05858916
-5.98199100,0.90630180,0.13399946,0.79651444,0.14183178,0.01077110,0.00126462,0.05843383
-5.97598799,0.94277492,0.12952336,0.83580419,0.14806737,0.01117934,0.00107430,0.05870108
-5.96998499,0.98250811,0.12621757,0.87745696,0.15462807,0.01163994,0.00091041,0.05932781
-5.96398199,1.02440388,0.12393578,0.92050111,0.16133959,0.01214003,0.00077145,0.06024626
-5.95797899,1.06734923,0.12252725,0.96395342,0.16802546,0.01266646,0.00065588,0.06138660
-5.95197599,1.11025320,0.12184404,1.00685113,0.17451296,0.01320616,0.00056222,0.06267978
-5.94597299,1.15208531,0.12174792,1.04828495,0.18063913,0.01374667,0.00048908,0.06406020
-5.93996998,1.19191336,0.12211699,1.08743186,0.18625672,0.01427650,0.00043524,0.06546842
-5.93396698,1.22893956,0.12285171,1.12358657,0.19123988,0.01478564,0.00039967,0.06685369
-5.92796398,1.26253334,0.12388030,1.15619027,0.19548925,0.01526588,0.00038157,0.06817619
-5.92196098,1.29225971,0.12516330,1.18485555,0.19893641,0.01571121,0.00038036,0.06940908
-5.91595798,1.31790177,0.12669728,1.20938624,0.20154733,0.01611805,0.00039571,0.07054009
-5.90995498,1.33947640,0.12851753,1.22979120,0.20332484,0.01648549,0.00042753,0.07157279
-5.90395198,1.35724210,0.13069968,1.24629111,0.20430978,0.01681536,0.00047591,0.07252730
-5.89794897,1.37169838,0.13336027,1.25931783,0.20458101,0.01711230,0.00054113,0.07344054
-5.89194597,1.38357639,0.13665603,1.26950575,0.20425393,0.01738356,0.00062362,0.07436599
-5.88594297,1.39382068,0.14078209,1.27767527,0.20347779,0.01763891,0.00072386,0.07537281
-5.87993997,1.40356237,0.14596892,1.28480862,0.20243168,0.01789025,0.00084241,0.07654452
-5.87393697,1.41408441,0.15247807,1.29201862,0.20131936,0.01815124,0.00097974,0.07797704
-5.86793397,1.42677993,0.16059674,1.30051130,0.20036308,0.01843681,0.00113627,0.07977635
-5.86193097,1.44310474,0.17063120,1.31154351,0.19979652,0.01876261,0.00131224,0.08205559
-5.85592796,1.46452571,0.18289912,1.32637694,0.19985712,0.01914436,0.00150767,0.08493175
-5.84992496,1.49246652,0.19772094,1.34623023,0.20077800,0.01959727,0.00172229,0.08852213
-5.84392196,1.52825276,0.21541027,1.37223072,0.20277979,0.02013537,0.00195549,0.09294041
-5.83791896,1.57305828,0.23626373,1.40536780,0.20606249,0.02077090,0.00220629,0.09829265
-5.83191596,1.62785465,0.26055010,1.44644950,0.21079780,0.02151373,0.00247328,0.10467319
-5.82591296,1.69336581,0.28849927,1.49606417,0.21712207,0.02237087,0.00275465,0.11216064
-5.81990995,1.77002939,0.32029117,1.55454864,0.22513020,0.02334604,0.00304813,0.12081404
-5.81390695,1.85796658,0.35604500,1.62196441,0.23487057,0.02443938,0.00335105,0.13066934
-5.80790395,1.95696171,0.39580908,1.69808288,0.24634146,0.02564728,0.00366036,0.14173632
-5.80190095,2.06645262,0.43955179,1.78238050,0.25948881,0.02696229,0.00397269,0.15399611
-5.79589795,2.18553253,0.48715398,1.87404417,0.27420578,0.02837326,0.00428442,0.16739937
-5.78989495,2.31296361,0.53840314,1.97198721,0.29033388,0.02986553,0.00459174,0.18186538
-5.78389195,2.44720238,0.59298995,2.07487538,0.30766591,0.03142127,0.00489079,0.19728188
-5.77788894,2.58643604,0.65050728,2.18116233,0.32595061,0.03302003,0.00517770,0.21350607
-5.77188594,2.72862914,0.71045220,2.28913348,0.34489887,0.03463920,0.00544878,0.23036647
