energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.69539100,0.06337093,0.14179170,0.02235584,1.51627932,0.90752853,0.79073060
-5.99399700,2.66559188,0.06762211,0.14337994,0.02129941,1.49339783,0.88820656,0.77952520
-5.98799400,2.64812233,0.07187747,0.14528318,0.02039710,1.47801525,0.87385916,0.77212564
-5.98199100,2.64160288,0.07608789,0.14739531,0.01964143,1.46939533,0.86406955,0.76814802
-5.97598799,2.64441726,0.08020387,0.14960467,0.01902208,1.46665851,0.85832994,0.76713453
-5.96998499,2.65478441,0.08417675,0.15179819,0.01852654,1.46882222,0.85606598,0.76857442
-5.96398199,2.67083003,0.08795991,0.15386542,0.01814073,1.47484110,0.85666108,0.77192507
-5.95797899,2.69065500,0.09150995,0.15570228,0.01784959,1.48364548,0.85947976,0.77663205
-5.95197599,2.71239825,0.09478766,0.15721430,0.01763767,1.49417692,0.86388900,0.78214779
-5.94597299,2.73429215,0.09775886,0.15831946,0.01748963,1.50541974,0.86927727,0.78794800
-5.93996998,2.75470927,0.10039509,0.15895033,0.01739066,1.51642771,0.87507057,0.79354568
-5.93396698,2.77219935,0.10267397,0.15905555,0.01732689,1.52634564,0.88074529,0.79850239
-5.92796398,2.78551657,0.10457952,0.15860068,0.01728564,1.53442542,0.88583791,0.80243660
-5.92196098,2.79363690,0.10610213,0.15756837,0.01725568,1.54003693,0.88995141,0.80502935
-5.91595798,2.79576644,0.10723840,0.15595788,0.01722734,1.54267382,0.89275872,0.80602720
-5.90995498,2.79134130,0.10799081,0.15378411,0.01719265,1.54195488,0.89400347,0.80524277
-5.90395198,2.78002030,0.10836721,0.15107614,0.01714535,1.53762134,0.89349833,0.80255329
-5.89794897,2.76167172,0.10838022,0.14787534,0.01708089,1.52953100,0.89112143,0.79789729
-5.89194597,2.73635518,0.10804653,0.14423331,0.01699637,1.51764961,0.88681120,0.79126992
-5.88594297,2.70430015,0.10738612,0.14020963,0.01689049,1.50204037,0.88056005,0.78271729
-5.87993997,2.66588208,0.10642155,0.13586947,0.01676344,1.48285201,0.87240729,0.77232999
-5.87393697,2.62159723,0.10517709,0.13128135,0.01661676,1.46030603,0.86243155,0.76023629
-5.86793397,2.57203728,0.10367804,0.12651494,0.01645322,1.43468362,0.85074309,0.74659503
-5.86193097,2.51786424,0.10194997,0.12163907,0.01627664,1.40631264,0.83747624,0.73158866
-5.85592796,2.45978656,0.10001813,0.11671992,0.01609175,1.37555492,0.82278211,0.71541648
-5.84992496,2.39853679,0.09790688,0.11181961,0.01590399,1.34279425,0.80682184,0.69828819
-5.84392196,2.33485130,0.09563919,0.10699491,0.01571937,1.30842526,0.78976050,0.68041800
-5.83791896,2.26945231,0.09323634,0.10229638,0.01554422,1.27284334,0.77176177,0.66201923
-5.83191596,2.20303259,0.09071763,0.09776778,0.01538508,1.23643576,0.75298348,0.64329971
-5.82591296,2.13624291,0.08810025,0.09344575,0.01524848,1.19957417,0.73357410,0.62445779
-5.81990995,2.06968241,0.08539924,0.08935976,0.01514077,1.16260850,0.71367019,0.60567916
-5.81390695,2.00389198,0.08262756,0.08553231,0.01506802,1.12586242,0.69339491,0.58713454
-5.80790395,1.93935059,0.07979629,0.08197940,0.01503585,1.08963027,0.67285749,0.56897813
-5.80190095,1.87647439,0.07691489,0.07871102,0.01504935,1.05417556,0.65215358,0.55134691
-5.79589795,1.81561859,0.07399149,0.07573198,0.01511301,1.01973083,0.63136661,0.53436065
-5.78989495,1.75708157,0.07103332,0.07304269,0.01523071,0.98649888,0.61056964,0.51812268
-5.78389195,1.70111097,0.06804715,0.07064004,0.01540568,0.95465503,0.58982804,0.50272121
-5.77788894,1.64791123,0.06503965,0.06851838,0.01564053,0.92435030,0.56920228,0.48823107
-5.77188594,1.59765189,0.06201790,0.06667034,0.01593734,0.89571501,0.54875104,0.47471577
-5.76588294,1.55047620,0.05898969,0.06508773,0.01629770,0.86886269,0.52853419,0.46222962
-5.75987994,1.50650930,0.05596391,0.06376228,0.01672280,0.84389373,0.50861541,0.45081977
-5.75387694,1.46586522,0.05295073,0.06268628,0.01721350,0.82089865,0.48906437,0.44052800
-5.74787394,1.42865243,0.04996182,0.06185307,0.01777041,0.79996043,0.46995813,0.43139197
-5.74187094,1.39497719,0.04701036,0.06125739,0.01839393,0.78115587,0.45138178,0.42344602
-5.73586793,1.36494460,0.04411100,0.06089552,0.01908430,0.76455572,0.43342805,0.41672117
-5.72986493,1.33865703,0.04127974,0.06076529,0.01984154,0.75022347,0.41619605,0.41124450
-5.72386193,1.31621019,0.03853364,0.06086588,0.02066538,0.73821290,0.39978902,0.40703775
-5.71785893,1.29768684,0.03589055,0.06119747,0.02155523,0.72856451,0.38431135,0.40411537
-5.71185593,1.28314875,0.03336870,0.06176079,0.02250997,0.72130102,0.36986482,0.40248207
-5.70585293,1.27262736,0.03098633,0.06255654,0.02352779,0.71642239,0.35654452,0.40213001
