energy_ev,total_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,2.34875931,1.21715534,0.53728617,0.03704128,1.34146856,0.02725274,0.00000000
-5.99399700,2.24886542,1.16838685,0.51135495,0.03537326,1.27511280,0.02578152,0.00000000
-5.98799400,2.14539975,1.11665217,0.48459286,0.03362732,1.20656305,0.02428580,0.00000000
-5.98199100,2.03953656,1.06255945,0.45729403,0.03182010,1.13655823,0.02278752,0.00000000
-5.97598799,1.93244466,1.00673499,0.42975298,0.02996962,1.06584068,0.02130732,0.00000000
-5.96998499,1.82526344,0.94980983,0.40225853,0.02809473,0.99514131,0.01986413,0.00000000
-5.96398199,1.71908068,0.89240641,0.37508814,0.02621467,0.92516561,0.01847488,0.00000000
-5.95797899,1.61491274,0.83512576,0.34850281,0.02434843,0.85658089,0.01715430,0.00000000
-5.95197599,1.51368781,0.77853574,0.32274280,0.02251435,0.79000511,0.01591473,0.00000000
-5.94597299,1.41623253,0.72316048,0.29802407,0.02072958,0.72599767,0.01476611,0.00000000
-5.93996998,1.32326209,0.66947153,0.27453568,0.01900972,0.66505226,0.01371603,0.00000000
-5.93396698,1.23537417,0.61788081,0.25243805,0.01736847,0.60759187,0.01276977,0.00000000
-5.92796398,1.15304631,0.56873565,0.23186220,0.01581742,0.55396591,0.01193052,0.00000000
-5.92196098,1.07663672,0.52231591,0.21290965,0.01436585,0.50444941,0.01119956,0.00000000
-5.91595798,1.00638815,0.47883317,0.19565316,0.01302070,0.45924410,0.01057649,0.00000000
-5.90995498,0.94243425,0.43843196,0.18013804,0.01178660,0.41848105,0.01005951,0.00000000
-5.90395198,0.88480813,0.40119276,0.16638393,0.01066592,0.38222467,0.00964566,0.00000000
-5.89794897,0.83345235,0.36713669,0.15438689,0.00965899,0.35047773,0.00933107,0.00000000
-5.89194597,0.78822995,0.33623141,0.14412175,0.00876427,0.32318698,0.00911121,0.00000000
-5.88594297,0.74893584,0.30839803,0.13554446,0.00797858,0.30024920,0.00898110,0.00000000
-5.87993997,0.71530810,0.28351860,0.12859439,0.00729745,0.28151726,0.00893545,0.00000000
-5.87393697,0.68703870,0.26144398,0.12319659,0.00671530,0.26680600,0.00896881,0.00000000
-5.86793397,0.66378336,0.24200150,0.11926373,0.00622575,0.25589766,0.00907565,0.00000000
-5.86193097,0.64517011,0.22500237,0.11669785,0.00582190,0.24854688,0.00925037,0.00000000
-5.85592796,0.63080663,0.21024839,0.11539192,0.00549650,0.24448498,0.00948736,0.00000000
-5.84992496,0.62028611,0.19753791,0.11523104,0.00524217,0.24342369,0.00978089,0.00000000
-5.84392196,0.61319186,0.18667073,0.11609360,0.00505155,0.24505840,0.01012507,0.00000000
-5.83791896,0.60910073,0.17745211,0.11785217,0.00491742,0.24907081,0.01051379,0.00000000
-5.83191596,0.60758560,0.16969557,0.12037445,0.00483279,0.25513146,0.01094058,0.00000000
-5.82591296,0.60821734,0.16322487,0.12352416,0.00479095,0.26290209,0.01139856,0.00000000
-5.81990995,0.61056643,0.15787501,0.12716206,0.00478548,0.27203803,0.01188031,0.00000000
-5.81390695,0.61420465,0.15349251,0.13114712,0.00481030,0.28219091,0.01237790,0.00000000
-5.80790395,0.61870718,0.14993516,0.13533789,0.00485962,0.29301169,0.01288284,0.00000000
-5.80190095,0.62365529,0.14707138,0.13959416,0.00492797,0.30415427,0.01338610,0.00000000
-5.79589795,0.62863986,0.14477932,0.14377880,0.00501016,0.31527954,0.01387824,0.00000000
-5.78989495,0.63326583,0.14294607,0.14775988,0.00510131,0.32606004,0.01434952,0.00000000
-5.78389195,0.63715748,0.14146684,0.15141293,0.00519683,0.33618502,0.01479011,0.00000000
-5.77788894,0.63996452,0.14024449,0.15462335,0.00529245,0.34536584,0.01519030,0.00000000
-5.77188594,0.64136871,0.13918924,0.15728880,0.00538425,0.35334153,0.01554079,0.00000000
-5.76588294,0.64109072,0.13821885,0.15932152,0.00546872,0.35988413,0.01583295,0.00000000
-5.75987994,0.63889692,0.13725899,0.16065042,0.00554278,0.36480381,0.01605916,0.00000000
-5.75387694,0.63460555,0.13624395,0.16122283,0.00560386,0.36795320,0.01621302,0.00000000
-5.74787394,0.62809201,0.13511749,0.16100588,0.00564994,0.36923092,0.01628969,0.00000000
-5.74187094,0.61929282,0.13383383,0.15998726,0.00567960,0.36858391,0.01628606,0.00000000
-5.73586793,0.60820786,0.13235852,0.15817548,0.00569209,0.36600843,0.01620091,0.00000000
-5.72986493,0.59490071,0.13066923,0.15559938,0.00568728,0.36154962,0.01603501,0.00000000
-5.72386193,0.57949689,0.12875625,0.15230704,0.00566575,0.35529955,0.01579116,0.00000000
-5.71785893,0.56217997,0.12662262,0.14836411,0.00562869,0.34739368,0.01547410,0.00000000
-5.71185593,0.54318561,0.12428390,0.14385142,0.00557789,0.33800603,0.01509038,0.00000000
-5.70585293,0.52279376,0.12176742,0.13886224,0.00551568,0.32734303,0.01464817,0.00000000
-5.69984992,0.50131926,0.11911110,0.13349910,0.00544481,0.31563644,0.01415697,0.00000000
-5.69384692,0.47910135,0.11636192,0.12787030,0.00536835,0.30313551,0.01362732,0.00000000
-5.68784392,0.45649244,0.11357397,0.12208646,0.00528956,0.29009882,0.01307040,0.00000000
-5.68184092,0.43384670,0.11080625,0.11625697,0.00521175,0.27678609,0.01249774,0.00000000
-5.67583792,0.41150903,0.10812046,0.11048676,0.00513816,0.26345031,0.01192077,0.00000000
-5.66983492,0.38980489,0.10557866,0.10487330,0.00507182,0.25033059,0.01135055,0.00000000
-5.66383192,0.36903136,0.10324114,0.09950416,0.00501544,0.23764596,0.01079746,0.00000000
-5.65782891,0.34945001,0.10116459,0.09445503,0.00497130,0.22559036,0.01027091,0.00000000
-5.65182591,0.33128174,0.09940063,0.08978845,0.00494118,0.21432913,0.00977920,0.00000000
-5.64582291,0.31470377,0.09799486,0.08555315,0.00492636,0.20399695,0.00932940,0.00000000
-5.63981991,0.29984899,0.09698642,0.08178408,0.00492755,0.19469737,0.00892731,0.00000000
-5.63381691,0.28680754,0.09640826,0.07850310,0.00494495,0.18650392,0.00857751,0.00000000
-5.62781391,0.27563046,0.09628785,0.07572027,0.00497830,0.17946258,0.00828345,0.00000000
-5.62181091,0.26633528,0.09664860,0.07343560,0.00502698,0.17359556,0.00804765,0.00000000
-5.61580790,0.25891307,0.09751168,0.07164128,0.00509010,0.16890607,0.00787191,0.00000000
-5.60980490,0.25333671,0.09889829,0.07032419,0.00516661,0.16538389,0.00775756,0.00000000
-5.60380190,0.24956977,0.10083215,0.06946852,0.00525549,0.16301138,0.00770575,0.00000000
