energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.03358666,0.00733777,0.08653661,0.02368737,1.10241552,0.73592394,0.36305043
-5.99399700,2.02358646,0.00774906,0.08799559,0.02554284,1.09648233,0.73271748,0.36143039
-5.98799400,2.02516135,0.00825595,0.09069285,0.02773952,1.09586762,0.73372905,0.36180390
-5.98199100,2.03908814,0.00885992,0.09466870,0.03027582,1.10097745,0.73927984,0.36433001
-5.97598799,2.06595904,0.00956174,0.09994833,0.03314377,1.11212642,0.74962850,0.36913796
-5.96998499,2.10615803,0.01036142,0.10654150,0.03632852,1.12952393,0.76496377,0.37632305
-5.96398199,2.15984404,0.01125820,0.11444252,0.03980803,1.15326405,0.78539959,0.38594352
-5.95797899,2.22694208,0.01225059,0.12363069,0.04355304,1.18331967,0.81097293,0.39801891
-5.95197599,2.30714330,0.01333645,0.13407121,0.04752728,1.21954153,0.84164469,0.41252986
-5.94597299,2.39991452,0.01451317,0.14571648,0.05168796,1.26166244,0.87730366,0.42941950
-5.93996998,2.50451742,0.01577783,0.15850782,0.05598653,1.30930683,0.91777365,0.44859656
-5.93396698,2.62003687,0.01712746,0.17237758,0.06036976,1.36200543,0.96282354,0.46993992
-5.92796398,2.74541738,0.01855933,0.18725145,0.06478103,1.41921456,1.01217967,0.49330453
-5.92196098,2.87950610,0.02007117,0.20305096,0.06916186,1.48033906,1.06554018,0.51852840
-5.91595798,3.02110013,0.02166148,0.21969597,0.07345363,1.54475801,1.12259023,0.54544017
-5.90995498,3.16899570,0.02332974,0.23710713,0.07759929,1.61185151,1.18301745,0.57386687
-5.90395198,3.32203620,0.02507657,0.25520787,0.08154521,1.68102725,1.24652640,0.60364138
-5.89794897,3.47915620,0.02690378,0.27392605,0.08524288,1.75174524,1.31285118,0.63460895
-5.89194597,3.63941868,0.02881442,0.29319504,0.08865050,1.82353899,1.38176515,0.66663243
-5.88594297,3.80204275,0.03081255,0.31295393,0.09173427,1.89603197,1.45308708,0.69959571
-5.87993997,3.96642003,0.03290306,0.33314715,0.09446945,1.96894807,1.52668311,0.73340502
-5.87393697,4.13211825,0.03509119,0.35372310,0.09684100,2.04211534,1.60246416,0.76798797
-5.86793397,4.29887161,0.03738207,0.37463216,0.09884384,2.11546260,1.68037883,0.80329031
-5.86193097,4.46655822,0.03978009,0.39582391,0.10048264,2.18900906,1.76040216,0.83927046
