energy_ev,total_up,Al_p_up,Al_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,2.80963046,0.12944079,0.00000000,1.42755813,0.78540223,1.12896425,0.00000000
-5.99399700,2.81602460,0.12462534,0.00000000,1.42615972,0.79331034,1.13757366,0.00000000
-5.98799400,2.82498952,0.12013247,0.00000000,1.42704997,0.80170780,1.14636263,0.00000000
-5.98199100,2.83659737,0.11598695,0.00000000,1.43042281,0.81065588,1.15521700,0.00000000
-5.97598799,2.85097440,0.11221205,0.00000000,1.43647768,0.82023650,1.16406759,0.00000000
-5.96998499,2.86830610,0.10882921,0.00000000,1.44541875,0.83055301,1.17289511,0.00000000
-5.96398199,2.88883965,0.10585774,0.00000000,1.45745385,0.84172996,1.18173302,0.00000000
-5.95797899,2.91288296,0.10331449,0.00000000,1.47279261,0.85391150,1.19066837,0.00000000
-5.95197599,2.94079991,0.10121353,0.00000000,1.49164373,0.86725852,1.19984024,0.00000000
-5.94597299,2.97300113,0.09956580,0.00000000,1.51421108,0.88194409,1.20943562,0.00000000
-5.93996998,3.00993019,0.09837873,0.00000000,1.54068827,0.89814744,1.21968265,0.00000000
-5.93396698,3.05204503,0.09765589,0.00000000,1.57125155,0.91604636,1.23084129,0.00000000
-5.92796398,3.09979483,0.09739662,0.00000000,1.60605096,0.93580826,1.24319147,0.00000000
-5.92196098,3.15359291,0.09759561,0.00000000,1.64519966,0.95758007,1.25701923,0.00000000
-5.91595798,3.21378650,0.09824258,0.00000000,1.68876162,0.98147753,1.27260114,0.00000000
-5.90995498,3.28062453,0.09932189,0.00000000,1.73673821,1.00757403,1.29018763,0.00000000
-5.90395198,3.35422500,0.10081230,0.00000000,1.78905390,1.03588984,1.30998601,0.00000000
-5.89794897,3.43454349,0.10268667,0.00000000,1.84554212,1.06638213,1.33214402,0.00000000
-5.89194597,3.52134479,0.10491194,0.00000000,1.90593186,1.09893649,1.35673455,0.00000000
-5.88594297,3.61417938,0.10744910,0.00000000,1.96983612,1.13336041,1.38374271,0.00000000
-5.87993997,3.71236656,0.11025340,0.00000000,2.03674310,1.16937939,1.41305571,0.00000000
-5.87393697,3.81498581,0.11327475,0.00000000,2.10601113,1.20663604,1.44445650,0.00000000
-5.86793397,3.92087758,0.11645827,0.00000000,2.17686810,1.24469252,1.47762159,0.00000000
-5.86193097,4.02865428,0.11974508,0.00000000,2.24841627,1.28303643,1.51212338,0.00000000
-5.85592796,4.13672189,0.12307331,0.00000000,2.31964269,1.32109021,1.54743719,0.00000000
-5.84992496,4.24331172,0.12637927,0.00000000,2.38943553,1.35822384,1.58295284,0.00000000
-5.84392196,4.34652179,0.12959870,0.00000000,2.45660618,1.39377048,1.61799039,0.00000000
-5.83791896,4.44436625,0.13266828,0.00000000,2.51991650,1.42704449,1.65181945,0.00000000
-5.83191596,4.53483104,0.13552701,0.00000000,2.57811056,1.45736124,1.68368130,0.00000000
-5.82591296,4.61593366,0.13811774,0.00000000,2.62994961,1.48405788,1.71281291,0.00000000
-5.81990995,4.68578439,0.14038854,0.00000000,2.67424897,1.50651415,1.73847167,0.00000000
-5.81390695,4.74264637,0.14229395,0.00000000,2.70991521,1.52417252,1.75995987,0.00000000
-5.80790395,4.78499188,0.14379613,0.00000000,2.73598202,1.53655662,1.77664776,0.00000000
-5.80190095,4.81155231,0.14486566,0.00000000,2.75164305,1.54328731,1.78799436,0.00000000
-5.79589795,4.82135961,0.14548220,0.00000000,2.75628014,1.54409556,1.79356487,0.00000000
-5.78989495,4.81377754,0.14563473,0.00000000,2.74948566,1.53883176,1.79304432,0.00000000
-5.78389195,4.78852134,0.14532162,0.00000000,2.73107771,1.52747096,1.78624680,0.00000000
-5.77788894,4.74566524,0.14455036,0.00000000,2.70110759,1.51011387,1.77312011,0.00000000
-5.77188594,4.68563779,0.14333697,0.00000000,2.65985904,1.48698378,1.75374584,0.00000000
-5.76588294,4.60920548,0.14170527,0.00000000,2.60783944,1.45841941,1.72833509,0.00000000
