energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.62173419,-0.56712837,0.00203780,-0.00526752,0.09457129,-0.06185731,0.47465862,-0.12941178,0.17091638,-0.05240615,0.34497641,-0.11794171,0.24533688,-0.06712478,0.01002064,-0.00281117,0.84301925,-0.27897607
-5.99399700,1.65648091,-0.55607128,0.00206613,-0.00488202,0.09510921,-0.05997181,0.48325542,-0.13025873,0.17790582,-0.05054694,0.35365124,-0.11464878,0.24831325,-0.06568232,0.01007773,-0.00285881,0.86294249,-0.27510628
-5.98799400,1.68698665,-0.54832648,0.00210169,-0.00452631,0.09515863,-0.05819951,0.49016728,-0.13217575,0.18509113,-0.04931359,0.36168850,-0.11223430,0.25025141,-0.06433197,0.01008276,-0.00292607,0.88095373,-0.27314651
-5.98199100,1.71387370,-0.54431916,0.00214414,-0.00419879,0.09474909,-0.05658937,0.49556000,-0.13528848,0.19255979,-0.04871379,0.36923091,-0.11075579,0.25123725,-0.06314142,0.01003921,-0.00301681,0.89738676,-0.27332028
-5.97598799,1.73790916,-0.54450851,0.00219323,-0.00389874,0.09392196,-0.05519315,0.49964849,-0.13972516,0.20040535,-0.04876317,0.37644845,-0.11027923,0.25138438,-0.06218090,0.00995187,-0.00313497,0.91264643,-0.27586781
-5.96998499,1.75996826,-0.54936741,0.00224881,-0.00362610,0.09272867,-0.05406341,0.50268728,-0.14561055,0.20872210,-0.04948388,0.38352962,-0.11087540,0.25082936,-0.06152065,0.00982669,-0.00328442,0.92718900,-0.28103559
-5.96398199,1.78099154,-0.55936110,0.00231071,-0.00338141,0.09122860,-0.05325136,0.50495901,-0.15305979,0.21759922,-0.05090293,0.39067156,-0.11261584,0.24972600,-0.06122851,0.00967057,-0.00346880,0.94149962,-0.28906545
-5.95797899,1.80193822,-0.57492569,0.00237874,-0.00316559,0.08948670,-0.05280480,0.50676166,-0.16217221,0.22711464,-0.05305037,0.39806931,-0.11556878,0.24823894,-0.06136738,0.00949117,-0.00369135,0.95606767,-0.30018347
-5.95197599,1.82373774,-0.59644755,0.00245260,-0.00297979,0.08757084,-0.05276611,0.50839488,-0.17302548,0.23732912,-0.05595753,0.40590481,-0.11979509,0.24653669,-0.06199301,0.00929663,-0.00395476,0.97136138,-0.31458931
-5.94597299,1.84724187,-0.62424432,0.00253185,-0.00282528,0.08554922,-0.05317051,0.51014629,-0.18567029,0.24828061,-0.05965531,0.41433613,-0.12534450,0.24478472,-0.06315185,0.00909533,-0.00426104,0.98780290,-0.33244639
-5.93996998,1.87318007,-0.65854831,0.00261588,-0.00270325,0.08348773,-0.05404448,0.51227834,-0.20012588,0.25997948,-0.06417255,0.42348754,-0.13225234,0.24313863,-0.06487932,0.00889568,-0.00461136,1.00574505,-0.35387320
-5.93396698,1.90212003,-0.69949300,0.00270388,-0.00261472,0.08144757,-0.05540453,0.51501628,-0.21637665,0.27240471,-0.06953460,0.43344085,-0.14053678,0.24173791,-0.06719830,0.00870586,-0.00500597,1.02545110,-0.37893631
-5.92796398,1.93443579,-0.74710309,0.00279480,-0.00256041,0.07948308,-0.05725625,0.51853811,-0.23436991,0.28550146,-0.07576222,0.44422861,-0.15019683,0.24070046,-0.07011811,0.00853362,-0.00544413,1.04707859,-0.40764510
-5.92196098,1.97028484,-0.80128847,0.00288742,-0.00254066,0.07763996,-0.05959385,0.52296663,-0.25401507,0.29918011,-0.08287057,0.45582940,-0.16121107,0.24011818,-0.07363390,0.00838613,-0.00592399,1.07066798,-0.43994866
-5.91595798,2.00959558,-0.86184238,0.00298031,-0.00255534,0.07595393,-0.06239991,0.52836434,-0.27518428,0.31331704,-0.09086859,0.46816567,-0.17353726,0.24005377,-0.07772642,0.00826983,-0.00644266,1.09613690,-0.47573474
-5.90995498,2.05206574,-0.92844362,0.00307190,-0.00260379,0.07444987,-0.06564569,0.53473111,-0.29771451,0.32775704,-0.09975860,0.48110410,-0.18711270,0.24053885,-0.08236229,0.00819034,-0.00699617,1.12328025,-0.51483096
-5.90395198,2.09717177,-1.00066286,0.00316051,-0.00268478,0.07314144,-0.06929166,0.54200486,-0.32141110,0.34231740,-0.10953610,0.49445866,-0.20185543,0.24157345,-0.08749475,0.00815240,-0.00757952,1.15177614,-0.55700806
-5.89794897,2.14418887,-1.07797249,0.00324441,-0.00279652,0.07203118,-0.07328850,0.55006515,-0.34605257,0.35679358,-0.12018980,0.50799611,-0.21766609,0.24312693,-0.09306471,0.00815989,-0.00818682,1.18119739,-0.60198508
-5.89194597,2.19222035,-1.15975961,0.00332190,-0.00293661,0.07111114,-0.07757832,0.55873932,-0.37139658,0.37096610,-0.13170173,0.52144381,-0.23443040,0.24514004,-0.09900224,0.00821582,-0.00881136,1.21102813,-0.64943620
-5.88594297,2.24023508,-1.24534157,0.00339135,-0.00310207,0.07036389,-0.08209623,0.56781101,-0.39718670,0.38460856,-0.14404751,0.53449944,-0.25202204,0.24752818,-0.10522842,0.00832243,-0.00944583,1.24068440,-0.69899882
-5.87993997,2.28711085,-1.33398313,0.00345129,-0.00328941,0.06976385,-0.08677201,0.57703036,-0.42315979,0.39749616,-0.15719655,0.54684212,-0.27030585,0.25018562,-0.11165736,0.00848120,-0.01008246,1.26953793,-0.75028255
-5.87393697,2.33168164,-1.42491461,0.00350048,-0.00349464,0.06927895,-0.09153205,0.58612559,-0.44905356,0.40941459,-0.17111226,0.55814452,-0.28914110,0.25299034,-0.11819843,0.00869301,-0.01071330,1.29694188,-0.80287863
-5.86793397,2.37278636,-1.51734995,0.00353794,-0.00371336,0.06887243,-0.09630129,0.59481506,-0.47461398,0.42016873,-0.18575217,0.56808520,-0.30838464,0.25580940,-0.12475867,0.00895820,-0.01133037,1.32225709,-0.85636929
-5.86193097,2.40931678,-1.61050408,0.00356301,-0.00394082,0.06850481,-0.10100515,0.60281957,-0.49960217,0.42959067,-0.20106785,0.57636088,-0.32789385,0.25850448,-0.13124511,0.00927666,-0.01192600,1.34487793,-0.91033667
-5.85592796,2.44026243,-1.70360859,0.00357536,-0.00417207,0.06813575,-0.10557143,0.60987401,-0.52380048,0.43754683,-0.21700477,0.58269778,-0.34752907,0.26093743,-0.13756709,0.00964796,-0.01249302,1.36425620,-0.96437077
-5.84992496,2.46475044,-1.79592529,0.00357504,-0.00440201,0.06772592,-0.10993209,0.61573804,-0.54701743,0.44394375,-0.23350196,0.58686180,-0.36715556,0.26297553,-0.14363841,0.01007137,-0.01302503,1.37992234,-1.01807632
-5.84392196,2.48207876,-1.88675703,0.00356245,-0.00462553,0.06723869,-0.11402475,0.62020532,-0.56909123,0.44873226,-0.25049154,0.58866687,-0.38664477,0.26449633,-0.14937930,0.01054594,-0.01351661,1.39150289,-1.07107804
-5.83791896,2.49174155,-1.97545558,0.00353835,-0.00483767,0.06664162,-0.11779400,0.62311094,-0.58989195,0.45190984,-0.26789822,0.58798140,-0.40587493,0.26539186,-0.15471808,0.01107050,-0.01396354,1.39873368,-1.12302447
