energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.50380727,0.00452366,0.05740286,0.14822129,0.24947077,0.00000000,0.13962493,0.08269198
-5.99399700,0.54864742,0.00491164,0.06175494,0.16252951,0.27394739,0.00000000,0.15171627,0.08916248
-5.98799400,0.59682337,0.00530701,0.06615405,0.17883883,0.30091959,0.00000000,0.16450759,0.09592255
-5.98199100,0.64794623,0.00570747,0.07053714,0.19706273,0.33024352,0.00000000,0.17789518,0.10289044
-5.97598799,0.70160715,0.00611114,0.07484142,0.21710002,0.36175724,0.00000000,0.19177427,0.10998386
-5.96998499,0.75738086,0.00651663,0.07900587,0.23883335,0.39527959,0.00000000,0.20604081,0.11712144
-5.96398199,0.81482922,0.00692316,0.08297269,0.26212780,0.43060915,0.00000000,0.22059318,0.12422426
-5.95797899,0.87350469,0.00733064,0.08668874,0.28682976,0.46752344,0.00000000,0.23533359,0.13121719
-5.95197599,0.93295355,0.00773971,0.09010677,0.31276619,0.50577834,0.00000000,0.25016927,0.13803010
-5.94597299,0.99271880,0.00815177,0.09318646,0.33974439,0.54510784,0.00000000,0.26501316,0.14459885
-5.93996998,1.05234266,0.00856897,0.09589528,0.36755225,0.58522425,0.00000000,0.27978432,0.15086601
-5.93396698,1.11136862,0.00899408,0.09820891,0.39595915,0.62581882,0.00000000,0.29440770,0.15678131
-5.92796398,1.16934311,0.00943044,0.10011148,0.42471747,0.66656303,0.00000000,0.30881365,0.16230177
-5.92196098,1.22581683,0.00988178,0.10159542,0.45356474,0.70711038,0.00000000,0.32293682,0.16739151
-5.91595798,1.28034592,0.01035201,0.10266101,0.48222637,0.74709896,0.00000000,0.33671487,0.17202138
-5.90995498,1.33249315,0.01084503,0.10331569,0.51041899,0.78615477,0.00000000,0.35008692,0.17616826
-5.90395198,1.38182938,0.01136447,0.10357304,0.53785424,0.82389578,0.00000000,0.36299186,0.17981428
-5.89794897,1.42793541,0.01191343,0.10345174,0.56424302,0.85993688,0.00000000,0.37536674,0.18294594
-5.89194597,1.47040470,0.01249429,0.10297427,0.58930008,0.89389553,0.00000000,0.38714545,0.18555316
-5.88594297,1.50884685,0.01310840,0.10216569,0.61274881,0.92539822,0.00000000,0.39825766,0.18762850
-5.87993997,1.54289230,0.01375595,0.10105240,0.63432615,0.95408760,0.00000000,0.40862836,0.18916645
-5.87393697,1.57219806,0.01443579,0.09966099,0.65378756,0.97963011,0.00000000,0.41817803,0.19016299
-5.86793397,1.59645456,0.01514534,0.09801734,0.67091178,1.00172393,0.00000000,0.42682344,0.19061532
-5.86193097,1.61539354,0.01588050,0.09614583,0.68550545,1.02010706,0.00000000,0.43447926,0.19052194
