energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-6.00000000,5.10622896,0.02589046,1.19142507,0.05370238,1.71123786,0.20940358,0.35988277,2.76327702,1.39198931
-5.99399700,5.15218186,0.02624994,1.20182498,0.05422603,1.73124578,0.21159446,0.35946778,2.79028845,1.39410119
-5.98799400,5.18918638,0.02658415,1.20875447,0.05471911,1.74957321,0.21358589,0.35866271,2.81080072,1.39344331
-5.98199100,5.21568601,0.02688641,1.21186215,0.05516664,1.76568254,0.21532098,0.35736358,2.82395495,1.38969220
-5.97598799,5.23032326,0.02715052,1.21086846,0.05555666,1.77907758,0.21674765,0.35547713,2.82902256,1.38258486
-5.96998499,5.23199128,0.02737106,1.20557565,0.05588081,1.78932386,0.21782118,0.35292385,2.82543105,1.37192977
-5.96398199,5.21987947,0.02754376,1.19587565,0.05613470,1.79606767,0.21850660,0.34964068,2.81278591,1.35761603
-5.95797899,5.19351093,0.02766570,1.18175529,0.05631836,1.79905271,0.21878078,0.34558340,2.79088721,1.33962033
-5.95197599,5.15276914,0.02773559,1.16329875,0.05643641,1.79813356,0.21863401,0.34072832,2.75974018,1.31801109
-5.94597299,5.09791240,0.02775389,1.14068683,0.05649815,1.79328484,0.21807107,0.33507341,2.71955897,1.29294947
-5.93996998,5.02957492,0.02772290,1.11419321,0.05651750,1.78460586,0.21711160,0.32863860,2.67076332,1.26468728
-5.93396698,4.94875399,0.02764674,1.08417762,0.05651266,1.77232001,0.21578984,0.32146536,2.61396813,1.23356150
-5.92796398,4.85678367,0.02753129,1.05107632,0.05650573,1.75676903,0.21415360,0.31361541,2.54996629,1.19998585
-5.92196098,4.75529580,0.02738394,1.01539017,0.05652208,1.73840224,0.21226266,0.30516885,2.47970547,1.16443955
-5.91595798,4.64616999,0.02721341,0.97767082,0.05658955,1.71776111,0.21018645,0.29622154,2.40425973,1.12745384
-5.90995498,4.53147464,0.02702935,0.93850555,0.05673765,1.69545996,0.20800127,0.28688208,2.32479718,1.08959670
-5.90395198,4.41340147,0.02684197,0.89850130,0.05699650,1.67216346,0.20578717,0.27726839,2.24254507,1.05145653
-5.89794897,4.29419647,0.02666165,0.85826870,0.05739587,1.64856213,0.20362446,0.26750412,2.15875362,1.01362533
-5.89194597,4.17609009,0.02649845,0.81840642,0.05796414,1.62534691,0.20159026,0.25771509,2.07466014,0.97668221
-5.88594297,4.06122959,0.02636168,0.77948662,0.05872730,1.60318388,0.19975506,0.24802576,1.99145486,0.94117769
-5.87993997,3.95161644,0.02625948,0.74204189,0.05970799,1.58269044,0.19817951,0.23855610,1.91024969,0.90761953
-5.87393697,3.84905098,0.02619846,0.70655408,0.06092472,1.56441386,0.19691167,0.22941881,1.83205103,0.87646045
-5.86793397,3.75508654,0.02618333,0.67344525,0.06239119,1.54881315,0.19598473,0.22071702,1.75773764,0.84808825
-5.86193097,3.67099434,0.02621669,0.64307108,0.06411574,1.53624516,0.19541537,0.21254260,1.68804403,0.82281840
-5.85592796,3.59774026,0.02629882,0.61571657,0.06610101,1.52695505,0.19520291,0.20497498,1.62354981,0.80088942
-5.84992496,3.53597348,0.02642765,0.59159416,0.06834383,1.52107180,0.19532905,0.19808056,1.56467513,0.78246086
-5.84392196,3.48602696,0.02659874,0.57084398,0.07083522,1.51860837,0.19575858,0.19191261,1.51168171,0.76761381
-5.83791896,3.44792858,0.02680541,0.55353612,0.07356059,1.51946650,0.19644065,0.18651161,1.46467934,0.75635368
-5.83191596,3.42142169,0.02703894,0.53967445,0.07650010,1.52344548,0.19731074,0.18190587,1.42363684,0.74861498
-5.82591296,3.40599325,0.02728887,0.52920179,0.07962919,1.53025429,0.19829326,0.17811240,1.38839665,0.74426745
-5.81990995,3.40090747,0.02754333,0.52200593,0.08291908,1.53952623,0.19930448,0.17513784,1.35869219,0.74312349
-5.81390695,3.40524275,0.02778946,0.51792617,0.08633749,1.55083502,0.20025577,0.17297936,1.33416672,0.74494604
-5.80790395,3.41792977,0.02801387,0.51676010,0.08984931,1.56371159,0.20105703,0.17162542,1.31439273,0.74945677
-5.80190095,3.43778877,0.02820309,0.51827020,0.09341725,1.57766042,0.20162003,0.17105631,1.29889090,0.75634406
-5.79589795,3.46356414,0.02834404,0.52219001,0.09700251,1.59217485,0.20186158,0.17124445,1.28714768,0.76527054
-5.78989495,3.49395515,0.02842450,0.52822988,0.10056536,1.60675047,0.20170638,0.17215437,1.27863085,0.77587985
-5.78389195,3.52764177,0.02843348,0.53608193,0.10406572,1.62089623,0.20108948,0.17374249,1.27280260,0.78780269
-5.77788894,3.56330525,0.02836163,0.54542447,0.10746360,1.63414300,0.19995816,0.17595662,1.26912973,0.80066191
-5.77188594,3.59964362,0.02820151,0.55592569,0.11071948,1.64604953,0.19827331,0.17873545,1.26709116,0.81407679
-5.76588294,3.63538242,0.02794777,0.56724696,0.11379468,1.65620592,0.19601011,0.18200790,1.26618273,0.82766673
-5.75987994,3.66928184,0.02759736,0.57904572,0.11665165,1.66423503,0.19315823,0.18569272,1.26591973,0.84105438
-5.75387694,3.70014123,0.02714953,0.59097827,0.11925424,1.66979230,0.18972138,0.18969829,1.26583780,0.85386854
-5.74787394,3.72680247,0.02660580,0.60270262,0.12156798,1.67256450,0.18571642,0.19392273,1.26549258,0.86574706
-5.74187094,3.74815346,0.02596987,0.61388154,0.12356033,1.67226820,0.18117205,0.19825463,1.26445897,0.87633992
-5.73586793,3.76313301,0.02524742,0.62418603,0.12520109,1.66864834,0.17612720,0.20257422,1.26233061,0.88531277
-5.72986493,3.77073814,0.02444588,0.63329927,0.12646271,1.66147765,0.17062919,0.20675518,1.25871996,0.89235091
-5.72386193,3.77003454,0.02357416,0.64092110,0.12732080,1.65055716,0.16473180,0.21066706,1.25325972,0.89716395
-5.71785893,3.76017031,0.02264233,0.64677295,0.12775458,1.63571816,0.15849335,0.21417820,1.24560560,0.89949089
-5.71185593,3.74039302,0.02166126,0.65060317,0.12774749,1.61682561,0.15197486,0.21715915,1.23544071,0.89910573
-5.70585293,3.71006938,0.02064236,0.65219258,0.12728772,1.59378289,0.14523834,0.21948637,1.22248143,0.89582321
-5.69984992,3.66870666,0.01959724,0.65135987,0.12636885,1.56653765,0.13834540,0.22104613,1.20648449,0.88950455
-5.69384692,3.61597441,0.01853743,0.64796682,0.12499035,1.53508827,0.13135594,0.22173831,1.18725481,0.88006271
-5.68784392,3.55172518,0.01747413,0.64192274,0.12315809,1.49949040,0.12432727,0.22148003,1.16465371,0.86746706
-5.68184092,3.47601245,0.01641806,0.63318812,0.12088467,1.45986291,0.11731338,0.22020885,1.13860662,0.85174679
-5.67583792,3.38910435,0.01537923,0.62177693,0.11818964,1.41639279,0.11036452,0.21788527,1.10910994,0.83299307
-5.66983492,3.29149164,0.01436695,0.60775764,0.11509953,1.36933820,0.10352698,0.21449464,1.07623622,0.81135939
-5.66383192,3.18388900,0.01338966,0.59125249,0.11164762,1.31902937,0.09684299,0.21004804,1.04013731,0.78706018
-5.65782891,3.06722870,0.01245503,0.57243513,0.10787355,1.26586691,0.09035088,0.20458237,1.00104492,0.76036736
-5.65182591,2.94264647,0.01156991,0.55152661,0.10382267,1.21031733,0.08408518,0.19815937,0.95926854,0.73160503
-5.64582291,2.81145969,0.01074045,0.52878975,0.09954512,1.15290580,0.07807689,0.19086385,0.91519045,0.70114224
-5.63981991,2.67513860,0.00997212,0.50452208,0.09509482,1.09420637,0.07235370,0.18280100,0.86925810,0.66938433
-5.63381691,2.53527151,0.00926985,0.47904771,0.09052821,1.03482988,0.06694022,0.17409308,0.82197397,0.63676284
-5.62781391,2.39352561,0.00863812,0.45270844,0.08590293,0.97541019,0.06185819,0.16487551,0.77388348,0.60372464
-5.62181091,2.25160486,0.00808100,0.42585430,0.08127642,0.91658928,0.05712658,0.15529265,0.72556142,0.57072064
-5.61580790,2.11120714,0.00760229,0.39883431,0.07670456,0.85900187,0.05276179,0.14549343,0.67759749,0.53819450
-5.60980490,1.97398226,0.00720554,0.37198741,0.07224035,0.80326041,0.04877759,0.13562695,0.63058161,0.50657192
-5.60380190,1.84149282,0.00689409,0.34563427,0.06793274,0.74994094,0.04518525,0.12583837,0.58508972,0.47625083
-5.59779890,1.71517964,0.00667108,0.32007019,0.06382566,0.69957064,0.04199350,0.11626514,0.54167051,0.44759294
-5.59179590,1.59633283,0.00653943,0.29555928,0.05995723,0.65261736,0.03920853,0.10703371,0.50083375,0.42091696
-5.58579290,1.48606977,0.00650180,0.27233025,0.05635927,0.60948179,0.03683397,0.09825691,0.46304046,0.39649353
-5.57978989,1.38532047,0.00656053,0.25057379,0.05305709,0.57049224,0.03487097,0.09003191,0.42869539,0.37454229
-5.57378689,1.29482045,0.00671753,0.23044162,0.05006955,0.53590231,0.03331818,0.08243891,0.39814177,0.35523069
-5.56778389,1.21511108,0.00697420,0.21204714,0.04740938,0.50589121,0.03217187,0.07554050,0.37165856,0.33867477
-5.56178089,1.14654656,0.00733130,0.19546745,0.04508376,0.48056666,0.03142604,0.06938164,0.34945993,0.32494156
-5.55577789,1.08930689,0.00778883,0.18074668,0.04309507,0.45996990,0.03107256,0.06399017,0.33169693,0.31405288
-5.54977489,1.04341551,0.00834595,0.16790025,0.04144183,0.44408252,0.03110139,0.05937787,0.31846106,0.30599016
-5.54377189,1.00876051,0.00900083,0.15691977,0.04011968,0.43283441,0.03150079,0.05554185,0.30978937,0.30070009
-5.53776888,0.98511792,0.00975060,0.14777838,0.03912244,0.42611262,0.03225756,0.05246621,0.30567088,0.29810058
-5.53176588,0.97217575,0.01059129,0.14043616,0.03844313,0.42377029,0.03335731,0.05012397,0.30605381,0.29808674
-5.52576288,0.96955776,0.01151782,0.13484531,0.03807486,0.42563542,0.03478474,0.04847899,0.31085347,0.30053664
-5.51975988,0.97684546,0.01252399,0.13095487,0.03801164,0.43151902,0.03652385,0.04748802,0.31996026,0.30531652
-5.51375688,0.99359783,0.01360253,0.12871491,0.03824900,0.44122218,0.03855829,0.04710257,0.33324769,0.31228521
-5.50775388,1.01936784,0.01474523,0.12807976,0.03878435,0.45454196,0.04087152,0.04727082,0.35057999,0.32129773
-5.50175088,1.05371533,0.01594305,0.12901047,0.03961717,0.47127591,0.04344707,0.04793927,0.37181914,0.33220794
-5.49574787,1.09621613,0.01718628,0.13147628,0.04074898,0.49122513,0.04626868,0.04905423,0.39683113,0.34487023
-5.48974487,1.14646729,0.01846477,0.13545519,0.04218301,0.51419593,0.04932050,0.05056319,0.42549118,0.35914036
-5.48374187,1.20408874,0.01976810,0.14093363,0.04392374,0.54000019,0.05258715,0.05241584,0.45768786,0.37487554
-5.47773887,1.26872158,0.02108585,0.14790536,0.04597628,0.56845458,0.05605381,0.05456507,0.49332592,0.39193387
-5.47173587,1.34002358,0.02240779,0.15636971,0.04834553,0.59937886,0.05970617,0.05696752,0.53232769,0.41017346
-5.46573287,1.41766242,0.02372412,0.16632933,0.05103538,0.63259356,0.06353046,0.05958416,0.57463313,0.42945113
-5.45972986,1.50130722,0.02502562,0.17778748,0.05404774,0.66791713,0.06751327,0.06238049,0.62019828,0.44962126
-5.45372686,1.59061903,0.02630383,0.19074523,0.05738169,0.70516299,0.07164144,0.06532661,0.66899227,0.47053462
-5.44772386,1.68524087,0.02755110,0.20519845,0.06103263,0.74413663,0.07590185,0.06839714,0.72099286,0.49203751
-5.44172086,1.78478786,0.02876070,0.22113495,0.06499151,0.78463296,0.08028112,0.07157087,0.77618065,0.51397127
-5.43571786,1.88883803,0.02992677,0.23853173,0.06924427,0.82643411,0.08476536,0.07483035,0.83453209,0.53617221
-5.42971486,1.99692410,0.03104429,0.25735246,0.07377135,0.86930784,0.08933986,0.07816131,0.89601150,0.55847209
-5.42371186,2.10852688,0.03210896,0.27754539,0.07854745,0.91300663,0.09398870,0.08155190,0.96056250,0.58069895
-5.41770885,2.22307031,0.03311707,0.29904152,0.08354146,0.95726756,0.09869448,0.08499194,1.02809903,0.60267852
-5.41170585,2.33991873,0.03406533,0.32175326,0.08871658,1.00181297,0.10343797,0.08847205,1.09849649,0.62423588
-5.40570285,2.45837634,0.03495071,0.34557356,0.09403064,1.04635206,0.10819788,0.09198279,1.17158341,0.64519755
-5.39969985,2.57768916,0.03577022,0.37037546,0.09943665,1.09058324,0.11295065,0.09551382,1.24713409,0.66539367
-5.39369685,2.69704966,0.03652083,0.39601223,0.10488341,1.13419735,0.11767038,0.09905313,1.32486282,0.68466045
-5.38769385,2.81560402,0.03719928,0.42231797,0.11031645,1.17688170,0.12232874,0.10258634,1.40441998,0.70284260
