energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,P_s_up,P_s_down,P_p_up,P_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.25038123,-3.25038123,1.21683236,-1.21683236,0.58947178,-0.58947178,0.09339433,-0.09339433,0.60857655,-0.60857655,0.04796581,-0.04796581,1.22204966,-1.22204966
-5.99399700,3.27907797,-3.27907797,1.27056288,-1.27056288,0.58316874,-0.58316874,0.09125468,-0.09125468,0.62275113,-0.62275113,0.04736276,-0.04736276,1.22935990,-1.22935990
-5.98799400,3.30267450,-3.30267450,1.32212488,-1.32212488,0.57640095,-0.57640095,0.08900168,-0.08900168,0.63694002,-0.63694002,0.04667066,-0.04667066,1.23358225,-1.23358225
-5.98199100,3.32041777,-3.32041777,1.37071486,-1.37071486,0.56915110,-0.56915110,0.08664255,-0.08664255,0.65082921,-0.65082921,0.04589180,-0.04589180,1.23455606,-1.23455606
-5.97598799,3.33153861,-3.33153861,1.41553715,-1.41553715,0.56138723,-0.56138723,0.08418268,-0.08418268,0.66408754,-0.66408754,0.04502859,-0.04502859,1.23213363,-1.23213363
-5.96998499,3.33527937,-3.33527937,1.45582709,-1.45582709,0.55306557,-0.55306557,0.08162597,-0.08162596,0.67637738,-0.67637738,0.04408348,-0.04408348,1.22618602,-1.22618602
-5.96398199,3.33092430,-3.33092430,1.49087438,-1.49087438,0.54413422,-0.54413422,0.07897526,-0.07897526,0.68736589,-0.68736589,0.04305903,-0.04305903,1.21660967,-1.21660967
-5.95797899,3.31783128,-3.31783128,1.52004582,-1.52004582,0.53453738,-0.53453738,0.07623290,-0.07623290,0.69673638,-0.69673638,0.04195798,-0.04195798,1.20333368,-1.20333368
-5.95197599,3.29546286,-3.29546285,1.54280602,-1.54280602,0.52421996,-0.52421996,0.07340125,-0.07340125,0.70419908,-0.70419908,0.04078341,-0.04078341,1.18632691,-1.18632691
-5.94597299,3.26341477,-3.26341477,1.55873508,-1.55873508,0.51313221,-0.51313221,0.07048334,-0.07048334,0.70950093,-0.70950093,0.03953890,-0.03953890,1.16560457,-1.16560457
-5.93996998,3.22144029,-3.22144028,1.56754242,-1.56754242,0.50123411,-0.50123411,0.06748337,-0.06748337,0.71243390,-0.71243390,0.03822868,-0.03822868,1.14123361,-1.14123361
-5.93396698,3.16946871,-3.16946871,1.56907586,-1.56907586,0.48849935,-0.48849935,0.06440723,-0.06440723,0.71284136,-0.71284136,0.03685784,-0.03685784,1.11333657,-1.11333657
-5.92796398,3.10761710,-3.10761710,1.56332559,-1.56332559,0.47491851,-0.47491851,0.06126284,-0.06126284,0.71062240,-0.71062240,0.03543240,-0.03543240,1.08209338,-1.08209338
-5.92196098,3.03619425,-3.03619425,1.55042286,-1.55042286,0.46050150,-0.46050150,0.05806044,-0.05806044,0.70573384,-0.70573384,0.03395939,-0.03395939,1.04774090,-1.04774090
-5.91595798,2.95569685,-2.95569685,1.53063343,-1.53063342,0.44527892,-0.44527892,0.05481269,-0.05481269,0.69819001,-0.69819001,0.03244689,-0.03244689,1.01057008,-1.01057008
-5.90995498,2.86679802,-2.86679802,1.50434628,-1.50434628,0.42930248,-0.42930248,0.05153461,-0.05153461,0.68806029,-0.68806029,0.03090396,-0.03090396,0.97092083,-0.97092083
-5.90395198,2.77032888,-2.77032887,1.47205820,-1.47205820,0.41264441,-0.41264441,0.04824342,-0.04824342,0.67546487,-0.67546487,0.02934049,-0.02934049,0.92917475,-0.92917475
-5.89794897,2.66725438,-2.66725437,1.43435514,-1.43435514,0.39539601,-0.39539601,0.04495821,-0.04495821,0.66056880,-0.66056880,0.02776707,-0.02776707,0.88574610,-0.88574610
-5.89194597,2.55864477,-2.55864477,1.39189144,-1.39189144,0.37766547,-0.37766547,0.04169955,-0.04169955,0.64357496,-0.64357496,0.02619466,-0.02619466,0.84107153,-0.84107153
-5.88594297,2.44564437,-2.44564437,1.34536788,-1.34536788,0.35957507,-0.35957507,0.03848892,-0.03848892,0.62471626,-0.62471626,0.02463440,-0.02463440,0.79559900,-0.79559900
-5.87993997,2.32943943,-2.32943943,1.29550994,-1.29550994,0.34125812,-0.34125812,0.03534825,-0.03534825,0.60424757,-0.60424757,0.02309726,-0.02309726,0.74977658,-0.74977657
-5.87393697,2.21122681,-2.21122681,1.24304711,-1.24304711,0.32285571,-0.32285571,0.03229929,-0.03229929,0.58243784,-0.58243784,0.02159374,-0.02159374,0.70404167,-0.70404167
