energy_ev,total_up,Ga_p_up,Ga_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-2.35617809,2.43992596,0.26200120,0.00000000,0.44935052,1.84700572,0.03646576,0.37435024
-2.35017509,2.47062754,0.26864484,0.00000000,0.45839743,1.86359611,0.03850675,0.38439403
-2.34417209,2.50994239,0.27698073,0.00000000,0.46815620,1.88602675,0.04081946,0.39578073
-2.33816908,2.55736304,0.28692310,0.00000000,0.47861651,1.91390368,0.04338554,0.40843507
-2.33216608,2.61213703,0.29834678,0.00000000,0.48973616,1.94665634,0.04618019,0.42224342
-2.32616308,2.67326669,0.31108645,0.00000000,0.50143578,1.98354165,0.04917206,0.43705127
-2.32016008,2.73951675,0.32493704,0.00000000,0.51359504,2.02365405,0.05232331,0.45266200
-2.31415708,2.80943083,0.33965552,0.00000000,0.52605065,2.06594156,0.05559002,0.46883746
-2.30815408,2.88135719,0.35496421,0.00000000,0.53859670,2.10922789,0.05892273,0.48530031
-2.30215108,2.95348359,0.37055570,0.00000000,0.55098739,2.15224037,0.06226735,0.50173862
-2.29614807,3.02388077,0.38609929,0.00000000,0.56294215,2.19364295,0.06556632,0.51781239
-2.29014507,3.09055360,0.40124893,0.00000000,0.57415318,2.23207346,0.06875996,0.53316211
-2.28414207,3.15149810,0.41565237,0.00000000,0.58429503,2.26618383,0.07178812,0.54741893
-2.27813907,3.20476258,0.42896121,0.00000000,0.59303581,2.29468196,0.07459190,0.56021617
-2.27213607,3.24851033,0.44084151,0.00000000,0.60004963,2.31637356,0.07711553,0.57120167
-2.26613307,3.28108146,0.45098445,0.00000000,0.60502948,2.33020238,0.07930817,0.58005030
-2.26013007,3.30105110,0.45911671,0.00000000,0.60770007,2.33528705,0.08112570,0.58647617
-2.25412706,3.30728135,0.46500981,0.00000000,0.60782974,2.33095299,0.08253238,0.59024389
-2.24812406,3.29896454,0.46848831,0.00000000,0.60524111,2.31675795,0.08350213,0.59117818
-2.24212106,3.27565565,0.46943620,0.00000000,0.59981959,2.29250998,0.08401965,0.58917149
-2.23611806,3.23729241,0.46780119,0.00000000,0.59151947,2.25827698,0.08408107,0.58418905
-2.23011506,3.18420168,0.46359679,0.00000000,0.58036729,2.21438725,0.08369420,0.57627119
-2.22411206,3.11709199,0.45690195,0.00000000,0.56646222,2.16142108,0.08287834,0.56553267
-2.21810905,3.03703212,0.44785822,0.00000000,0.54997343,2.10019340,0.08166364,0.55215911
-2.21210605,2.94541684,0.43666473,0.00000000,0.53113474,2.03172851,0.08009008,0.53640056
-2.20610305,2.84392100,0.42357093,0.00000000,0.51023668,1.95722762,0.07820598,0.51856268
-2.20010005,2.73444406,0.40886773,0.00000000,0.48761647,1.87803075,0.07606624,0.49899573
-2.19409705,2.61904752,0.39287718,0.00000000,0.46364636,1.79557443,0.07373036,0.47808208
-2.18809405,2.49988780,0.37594133,0.00000000,0.43872097,1.71134708,0.07126025,0.45622268
-2.18209105,2.37914748,0.35841066,0.00000000,0.41324425,1.62684378,0.06871799,0.43382323
-2.17608804,2.25896779,0.34063271,0.00000000,0.38761653,1.54352227,0.06616363,0.41128052
